Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,top  1. | top  1. [2.12],40+,top
2,JESSICA,PILZ,AUT,40+  3. | top  1. [3.00],35+,top
3,ANAK,VERHOEVEN,BEL,top  1. | top  1. [2.12],36,46+
4,ASHIMA,SHIRAISHI,USA,35   13. | 49+  6. [8.83],33+,39+
5,MINA,MARKOVIC,SLO,36+  10. | 47+  7. [10.22],33+,39+
6,VITA,LUKAN,SLO,36+  10. | 47+  7. [10.22],35,33+
7,MIA,KRAMPL,SLO,37+  6. | top  1. [4.42],33+,33+
8,NOLWENN,ARC,FRA,37   8. | 42   30. [16.23],33+,33+
9,HÉLÈNE,JANICOT,FRA,34+  14. | 43+  19. [19.24],33+,
10,KATHARINA,POSCH,AUT,34+  14. | 42+  23. [21.93],33+,
11,MANON,HILY,FRA,38+  5. | 46+  13. [8.22],33,
12,LAURA,ROGORA,ITA,36+  10. | 47+  7. [10.22],33,
13,HANNAH,SCHUBERT,AUT,40   4. | top  1. [3.46],29.5+,
14,NOLWEN,BERTHIER,FRA,33+  25. | 43   22. [24.15],29+,
15,SALOMÉ,ROMAIN,FRA,37   8. | 47+  7. [8.99],29,
16,MATHILDE,BECERRA,FRA,34+  14. | 45+  15. [16.66],28+,
17,AYA,ONOE,JPN,34+  14. | 44+  16. [17.47],28+,
18,CHRISTINE,SCHRANZ,AUT,33+  25. | 43+  19. [23.02],28+,
19,TINA JOHNSEN,HAFSAAS,NOR,34+  14. | 42   30. [23.95],28+,
20,LUCKA,RAKOVEC,SLO,29+  37. | 44+  16. [24.87],28+,
21,JULIA,FISER,AUT,31+  32. | 47+  7. [17.71],27+,
22,SEURAN,HAN,KOR,33+  25. | 44   18. [21.84],27+,
23,CAMILLE,POUGET,FRA,34+  14. | 38+  36. [25.99],26+,
24,NATSUMI,HIRANO,JPN,37+  6. | 46+  13. [9.37],21+,
25,ANNE-SOPHIE,KOLLER,SUI,34+  14. | 47+  7. [13.26],14.5+,
26,MOE,YOSHIMURA,JPN,34   24. | 42+  23. [24.98],14.5+,
27,YUKI,HIROSHIGE,JPN,34+  14. | 37   39. [27.03],,
28,TJASA,KALAN,SLO,32+  29. | 42+  23. [27.46],,
29,NINA,ARTHAUD,FRA,32   30. | 42+  23. [28.16],,
29,TJASA,SLEMENSEK,SLO,32   30. | 42+  23. [28.16],,
31,NIKKI,VAN BERGEN,NED,31+  32. | 42+  23. [29.29],,
32,CLAIRE,BUHRFEIND,USA,34+  14. | 32   44. [29.49],,
33,VANDA,MICHALKOVA,SVK,26+  42. | 43+  19. [29.83],,
34,IEVGENIIA,KAZBEKOVA,UKR,31   35. | 42+  23. [30.38],,
35,KATHERINE,CHOONG,SUI,34+  14. | 27   57. [33.04],,
36,MINSEON,KIM,KOR,31+  32. | 40+  34. [33.74],,
37,STASA,GEJO,SRB,28   40. | 42   30. [35.21],,
38,SANDRA,LETTNER,AUT,29   39. | 41   33. [35.87],,
39,ASJA,GOLLO,ITA,31   35. | 38+  36. [36.00],,
40,VALENTINA,AGUADO,ARG,26+  42. | 40+  34. [39.18],,
41,CLAUDIA,GHISOLFI,ITA,33+  25. | 27   57. [39.54],,
42,EMILY,PHILLIPS,GBR,29+  37. | 33   42. [39.92],,
43,KENZA,SLAMTI,FRA,26+  42. | 38   38. [41.12],,
44,ANDREA,EBNER,ITA,26+  42. | 36   41. [42.71],,
45,CHLOE,CAULIER,BEL,23+  51. | 37   39. [45.32],,
46,REBECCA,FRANGOS,CAN,26+  42. | 32   44. [45.73],,
47,ALANNAH,YIP,CAN,24   50. | 32   44. [48.48],,
48,HELOÏSE,DOUMONT,BEL,27   41. | 27   57. [49.18],,
49,SARA,CARAMELLA,ITA,26+  42. | 28+  54. [49.25],,
50,SOPHIA,KWON,USA,23+  51. | 32   44. [49.44],,
51,MAYA,MADERE,USA,22   59. | 33   42. [50.50],,
52,ALEJANDRA,CONTRERAS,CHI,25+  48. | 29+  53. [50.70],,
53,LILLI,KIESGEN,GER,22+  55. | 32   44. [51.53],,
53,LYNN,VAN DER MEER,NED,22+  55. | 32   44. [51.53],,
55,SILVIA,CASSOL,ITA,23+  51. | 30+  51. [51.75],,
56,JENNIFER,WOOD,GBR,22+  55. | 30+  51. [53.94],,
57,CELINE,CUYPERS,BEL,20   62. | 32   44. [53.98],,
58,JOANNA,NEAME,GBR,25+  48. | 26+  62. [55.06],,
59,RHOSLYN,FRUGTNIET,GBR,22+  55. | 28   56. [56.25],,
60,LIA,WIECKOWSKI,CAN,22   59. | 28+  54. [57.18],,
61,LÉNA,GROSPIRON,FRA,23   54. | 26+  62. [58.09],,
62,MAGGIE,HAMMER,USA,22   59. | 27   57. [59.50],,
63,THAIS MAKINO,SHIRAIWA,BRA,13+  65. | 27   57. [62.17],,
64,PATRÍCIA,ANTUNES,BRA,14+  63. | 18+  64. [63.75],,
65,LUANA,RISCADO,BRA,14+  63. | 9   66. [64.74],,
66,PATRYCJA,CHUDZIAK,POL,13+  65. | 16+  65. [65.25],,
