Rank,Name,,Country,Qualification,Semi-Final,Final
1,JESSICA,PILZ,AUT,42+  6. | top  1. [5.61],47+,top
2,JANJA,GARNBRET,SLO,top  1. | top  1. [3.24],44,50+
3,JAIN,KIM,KOR,top  1. | top  1. [3.24],41+,48+
4,ASHIMA,SHIRAISHI,USA,38+  21. | 46+  7. [14.25],40+,44
5,MEI,KOTAKE,JPN,42+  6. | 40+  24. [15.30],43+,42+
6,ANAK,VERHOEVEN,BEL,top  1. | top  1. [3.24],43+,41
7,AKIYO,NOGUCHI,JPN,top  1. | top  1. [3.24],40+,40+
8,HANNAH,SCHUBERT,AUT,42+  6. | 42+  12. [11.42],40+,40+
9,TJASA,KALAN,SLO,38+  21. | 41+  19. [23.78],40+,
10,MANON,HILY,FRA,top  1. | 43   11. [5.74],40,
11,VITA,LUKAN,SLO,39   20. | top  1. [8.37],40,
12,MINA,MARKOVIC,SLO,42+  6. | 43+  10. [9.49],40,
13,ANNE-SOPHIE,KOLLER,SUI,42+  6. | 39+  30. [17.23],38+,
14,MIHO,NONAKA,JPN,38+  21. | 42+  12. [20.51],37+,
14,SALOMÉ,ROMAIN,FRA,38+  21. | 42+  12. [20.51],37+,
16,TINA JOHNSEN,HAFSAAS,NOR,41+  13. | 40   29. [19.42],36+,
17,NINA,ARTHAUD,FRA,38+  21. | 42+  12. [20.51],36+,
17,AYA,ONOE,JPN,38+  21. | 42+  12. [20.51],36+,
19,CLAIRE,BUHRFEIND,USA,33+  42. | 44   9. [21.42],36+,
20,KATHARINA,POSCH,AUT,38+  21. | 41+  19. [23.78],36+,
21,MIA,KRAMPL,SLO,42+  6. | 44+  8. [8.49],35+,
22,JULIA,FISER,AUT,39+  16. | 42+  12. [15.93],35+,
23,NOLWENN,ARC,FRA,40+  14. | 40+  24. [19.42],35+,
24,EKATERINA,KIPRIIANOVA,RUS,39+  16. | 40+  24. [21.33],35+,
25,IULIIA,PANTELEEVA,RUS,42+  6. | 39+  30. [17.23],32+,
26,MICHELLE,HULLIGER,SUI,40+  14. | 39+  30. [21.87],32+,
27,NOLWEN,BERTHIER,FRA,38+  21. | 41   21. [25.26],,
27,FUTABA,ITO,JPN,38+  21. | 41   21. [25.26],,
27,NIKKI,VAN BERGEN,NED,38+  21. | 41   21. [25.26],,
30,LANA,SKUSEK,SLO,39+  16. | 38+  37. [26.12],,
31,SEURAN,HAN,KOR,38+  21. | 40+  24. [27.46],,
32,JULIA,CHANOURDIE,FRA,38+  21. | 39+  30. [30.94],,
32,HELOÏSE,DOUMONT,BEL,38+  21. | 39+  30. [30.94],,
32,CLAUDIA,GHISOLFI,ITA,38+  21. | 39+  30. [30.94],,
35,CAMILLE,POUGET,FRA,38+  21. | 38+  37. [33.63],,
36,YUKI,HIROSHIGE,JPN,37+  38. | 39+  30. [35.64],,
37,LYNN,VAN DER MEER,NED,33+  42. | 40+  24. [36.41],,
38,EMILY,PHILLIPS,GBR,38+  21. | 35   49. [37.89],,
39,CHRISTINE,SCHRANZ,AUT,39+  16. | 19   85. [38.57],,
40,IEVGENIIA,KAZBEKOVA,UKR,38+  21. | 34+  51. [38.83],,
41,LAURA,ROGORA,ITA,18   90. | 42   18. [40.25],,
42,HANNAH,SLANEY,GBR,37+  38. | 36+  44. [41.85],,
43,PETRA,KLINGLER,SUI,36+  40. | 36+  44. [42.66],,
44,ELISKA,ADAMOVSKA,CZE,33+  42. | 38+  37. [44.60],,
44,ASJA,GOLLO,ITA,33+  42. | 38+  37. [44.60],,
44,KENZA,SLAMTI,FRA,33+  42. | 38+  37. [44.60],,
47,MATHILDE,BECERRA,FRA,35+  41. | 34+  51. [46.17],,
48,URSKA,REPUSIC,SLO,33+  42. | 38   42. [46.28],,
49,STASA,GEJO,SRB,33+  42. | 37   43. [46.83],,
50,VANDA,MICHALKOVA,SVK,33+  42. | 36+  44. [48.17],,
51,ELENA,KRASOVSKAIA,RUS,33+  42. | 36   48. [49.48],,
52,KATHERINE,CHOONG,SUI,33+  42. | 35   49. [50.24],,
53,LAMU,RENQING,CHN,33+  42. | 34+  51. [51.50],,
54,SOFYA,YOKOYAMA,SUI,33+  42. | 34   54. [52.48],,
55,ALANNAH,YIP,CAN,32+  61. | 36+  44. [53.75],,
56,CELINE,CUYPERS,BEL,33+  42. | 33   59. [55.55],,
56,HUNG YING,LEE,TPE,33+  42. | 33   59. [55.55],,
58,MINSEON,KIM,KOR,33+  42. | 32+  63. [56.68],,
59,MAGDALENA,RÖCK,AUT,33+  42. | 29+  66. [58.67],,
60,ERINA,MIURA,JPN,32+  61. | 33+  55. [59.90],,
61,SILVIA,CASSOL,ITA,33+  42. | 27+  70. [60.17],,
61,KAJSA,ROSEN,SWE,33+  42. | 27+  70. [60.17],,
63,CHLOE,CAULIER,BEL,32   67. | 33+  55. [61.76],,
63,GIORGIA,TESIO,ITA,32   67. | 33+  55. [61.76],,
65,MAJA,RUDKA,POL,32+  61. | 33   59. [61.98],,
65,JARA,SPÄTE,SUI,32+  61. | 33   59. [61.98],,
67,ANDREA,KÜMIN,SUI,31+  69. | 33+  55. [62.89],,
68,LUIZA,EMELEVA,RUS,33+  42. | 25+  78. [63.87],,
69,REBECCA,FRANGOS,CAN,31+  69. | 29+  66. [68.74],,
70,LÉNA,GROSPIRON,FRA,32+  61. | 26   74. [69.24],,
70,EVGENIIA,MALAMID,RUS,32+  61. | 26   74. [69.24],,
72,MARTINA,ZANETTI,ITA,27   77. | 32   64. [70.43],,
73,RHOSLYN,FRUGTNIET,GBR,27+  75. | 29+  66. [71.39],,
74,ELISKA,NOVOTNA,CZE,30+  72. | 27+  70. [71.75],,
75,JENNIFER,WOOD,GBR,23   80. | 31+  65. [72.11],,
76,ALEJANDRA,CONTRERAS,CHI,27   77. | 29+  66. [72.33],,
77,GIULIA,MEDICI,ITA,29+  74. | 27   73. [73.50],,
78,IDA,KUPS,POL,31+  69. | 25+  78. [74.83],,
79,ANDREA,ROJAS,ECU,30+  72. | 25+  78. [76.16],,
80,ITZIAR,ZABALA ZURINAGA,ESP,21+  83. | 26   74. [79.40],,
81,LIA,WIECKOWSKI,CAN,22+  81. | 25+  78. [80.50],,
82,THAIS MAKINO,SHIRAIWA,BRA,22   82. | 25+  78. [80.99],,
83,MARGARYTA,ZAKHAROVA,UKR,18+  86. | 26   74. [81.28],,
84,NATALIA,KALUCKA,POL,27+  75. | 17+  88. [81.74],,
85,MARGARITA,AGAMBAYEVA,KAZ,25+  79. | 18   87. [82.90],,
86,TIFFANY,MELIUS,AUS,21+  83. | 20   84. [83.75],,
87,RAHIL,RAMEZANI,IRI,21   85. | 18+  86. [85.50],,
88,ALEKSANDRA,KALUCKA,POL,14+  92. | 20+  83. [87.38],,
89,ALEXANDRA,ZHIZNEVSKAYA,KAZ,18+  86. | 17+  88. [88.00],,
90,PATRÍCIA,ANTUNES,BRA,18+  86. | 17   90. [88.99],,
90,LUANA,RISCADO,BRA,18+  86. | 17   90. [88.99],,
92,ASSEL,MARLENOVA,KAZ,16+  91. | 15   92. [91.50],,
