Rank,Name,,Country,Qualification,Semi-Final,Final
1,KAI,HARADA,JPN,4t5z 14 14,4t4z 10 10,4t4z 7 6
2,JONGWON,CHON,KOR,5t5z 16 12,4t4z 9 6,3t4z 9 10
3,GREGOR,VEZONIK,SLO,2t5z 6 13,4t4z 10 9,3t4z 9 17
4,KEITA,WATABE,JPN,4t4z 11 10,4t4z 11 10,2t4z 6 10
5,KOKORO,FUJII,JPN,4t5z 13 12,4t4z 7 7,2t2z 5 4
6,NATHAN,PHILLIPS,GBR,3t3z 8 6,4t4z 12 6,1t2z 5 6
7,TOMOA,NARASAKI,JPN,5t5z 9 9,3t4z 3 4,
8,JERNEJ,KRUDER,SLO,4t5z 6 8,3t4z 6 6,
9,JAN,HOJER,GER,2t3z 9 7,3t4z 7 8,
10,JAKOB,SCHUBERT,AUT,1t5z 6 15,3t4z 8 8,
11,MICKAEL,MAWEM,FRA,4t5z 8 9,3t3z 4 3,
12,ALEKSEY,RUBTSOV,RUS,3t4z 9 9,3t3z 7 5,
13,GABRIELE,MORONI,ITA,4t5z 13 14,3t3z 7 6,
14,MANUEL,CORNU,FRA,2t4z 6 9,3t3z 10 4,
15,YOSHIYUKI,OGATA,JPN,3t5z 7 8,3t3z 10 6,
16,FLORIAN,KLINGLER,AUT,3t4z 10 8,2t4z 8 11,
17,ADAM,ONDRA,CZE,4t5z 10 10,2t2z 4 4,
18,NIMROD,MARCUS,ISR,3t4z 8 16,1t3z 2 5,
19,SERGII,TOPISHKO,UKR,1t5z 1 13,1t3z 4 7,
20,WILLIAM,RIDAL,GBR,3t4z 9 10,1t3z 4 9,
21,GHOLAMALI,BARATZADEH,IRI,1t4z 4 9,,
21,SASCHA,LEHMANN,SUI,3t4z 10 11,,
23,JONATAN,FLOR VAZQUEZ,ESP,3t4z 15 10,,
23,TOMOAKI,TAKATA,JPN,1t4z 4 12,,
25,ALEXANDER,MEGOS,GER,3t4z 18 15,,
25,VADIM,TIMONOV,RUS,1t4z 5 14,,
27,NATHANIEL,COLEMAN,USA,1t3z 2 5,,
27,REI,SUGIMOTO,JPN,2t5z 4 11,,
29,MARTIN,STRANIK,CZE,2t4z 8 11,,
29,ELIAS,WEILER,AUT,1t3z 3 6,,
31,NILS,FAVRE,SUI,1t2z 1 2,,
31,RUDOLPH,RUANA,USA,2t4z 15 18,,
33,SAM,AVEZOU,FRA,1t2z 2 3,,
33,MATTHEW,COUSINS,GBR,2t3z 2 18,,
35,JASON,HOLOWACH,CAN,1t2z 2 4,,
35,DIMITRI,VOGT,SUI,2t3z 11 18,,
37,CHEUNG-CHI SHOJI,CHAN,HKG,2t3z 14 12,,
37,MEICHI,NARASAKI,JPN,1t2z 3 2,,
39,YUVAL,SHEMLA,ISR,1t4z 2 17,,
39,DOMEN,SKOFIC,SLO,0t4z 0 11,,
41,YANNICK,FLOHÉ,GER,1t4z 4 17,,
41,EGOR,KRYACHKOV,RUS,0t3z 0 7,,
43,ERIC,LOPEZ MATEOS,ESP,0t3z 0 8,,
43,THILO JELDRIK,SCHRÖTER,NOR,1t4z 10 22,,
43,DMITRII,SHARAFUTDINOV,RUS,0t3z 0 8,,
46,FEDIR,SAMOILOV,UKR,1t3z 2 10,,
47,MARCELLO,BOMBARDI,ITA,0t3z 0 9,,
47,SIMON,LORENZI,BEL,1t3z 3 6,,
47,SERGEI,LUZHETSKII,RUS,0t3z 0 9,,
50,ALEX,KHAZANOV,ISR,1t3z 3 8,,
51,SEAN,BAILEY,USA,1t3z 4 8,,
51,YUFEI,PAN,CHN,0t3z 0 18,,
53,NICKY,DE LEEUW,NED,0t2z 0 2,,
53,ROBERT,LUBY,SVK,0t2z 0 2,,
53,ANZE,PEHARC,SLO,0t2z 0 2,,
53,LUCAS,UCHIDA,CAN,1t3z 4 10,,
57,JAN-LUCA,POSCH,AUT,1t3z 6 10,,
58,HUALONG,SONG,CHN,1t2z 6 7,,
59,KIPRAS,BALTRUNAS,LTU,0t2z 0 3,,
59,ISAAC,ESTEVEZ,ECU,0t2z 0 3,,
59,STEPHANE,HANSSENS,BEL,0t2z 0 3,,
59,PEDRO FERREIRA,NICOLOSO,BRA,1t1z 2 1,,
59,JEAN,OURIQUES,BRA,0t2z 0 3,,
59,SERGIO,PASTOR MARTÍNEZ,ESP,0t2z 0 3,,
