Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,9. [9.38],38+,36+
2,ADAM,ONDRA,CZE,1. [1.22],34,36+
3,ALEXANDER,MEGOS,GER,4. [4.69],35+,33.5
4,MEICHI,NARASAKI,JPN,12. [12.37],34+,31+
5,DOMEN,SKOFIC,SLO,1. [2.24],39,29+
6,JAKUB,KONECNY,CZE,7. [8.89],34,29+
6,TOMOAKI,TAKATA,JPN,8. [9.35],34,29+
8,SASCHA,LEHMANN,SUI,6. [6.00],34,23
9,MARCELLO,BOMBARDI,ITA,6. [8.14],34,20+
10,KAI,HARADA,JPN,10. [10.58],34,16+
11,MAX,RUDIGIER,AUT,4. [4.69],33,
11,JORG,VERHOEVEN,NED,8. [8.25],33,
13,WILLIAM,BOSI,GBR,9. [9.54],32+,
13,THOMAS,JOANNES,FRA,12. [13.85],32+,
13,TOMOA,NARASAKI,JPN,5. [6.24],32+,
13,LOÏC,TIMMERMANS,BEL,7. [7.35],32+,
17,GEORG,PARMA,AUT,13. [14.49],31+,
17,HANNES,PUMAN,SWE,11. [12.12],31+,
17,SHUTA,TANAKA,JPN,11. [12.69],31+,
20,SEAN,BAILEY,USA,2. [3.54],27,
21,ALEKSEY,RUBTSOV,RUS,10. [10.58],24+,
22,STEFANO,GHISOLFI,ITA,2. [1.73],23,
23,RUDOLPH,RUANA,USA,3. [5.36],22,
24,LUKA,POTOCAR,SLO,4. [5.66],19+,
24,FEDIR,SAMOILOV,UKR,13. [13.36],19+,
24,FRANCESCO,VETTORATA,ITA,3. [4.58],19+,
27,MARTIN,BERGANT,SLO,14. [14.66],,
27,KOKORO,FUJII,JPN,14. [14.31],,
29,YANNICK,FLOHÉ,GER,15. [14.73],,
29,JAN,HOJER,GER,15. [15.43],,
31,YOSHIYUKI,OGATA,JPN,16. [15.43],,
31,EVGENII,ZAZULIN,RUS,16. [17.94],,
33,JONGWON,CHON,KOR,17. [17.39],,
33,NICOLAS,COLLIN,BEL,17. [18.21],,
35,JERNEJ,KRUDER,SLO,18. [20.15],,
