Rank,Name,,Country,Qualification,Semi-Final,Final
1,JESSICA,PILZ,AUT,1. [1.22],top,top
2,JANJA,GARNBRET,SLO,1. [1.41],top,top
3,JAIN,KIM,KOR,2. [1.94],top,34+
4,MEI,KOTAKE,JPN,6. [9.22],44+,33+
5,ASHIMA,SHIRAISHI,USA,3. [2.83],45+,32
6,ANAK,VERHOEVEN,BEL,2. [2.00],top,31+
7,MIA,KRAMPL,SLO,9. [9.49],45,31+
8,AKIYO,NOGUCHI,JPN,3. [2.74],44+,31+
8,HANNAH,SCHUBERT,AUT,4. [3.46],44+,31+
10,LAURA,ROGORA,ITA,7. [8.66],44+,24+
11,CHRISTINE,SCHRANZ,AUT,4. [4.00],43,
11,MOLLY,THOMPSON-SMITH,GBR,5. [5.48],43,
13,PETRA,KLINGLER,SUI,11. [11.66],42.5+,
14,HÉLÈNE,JANICOT,FRA,10. [11.40],42.5,
15,ANNE-SOPHIE,KOLLER,SUI,10. [9.87],42+,
16,MIHO,NONAKA,JPN,6. [8.31],40+,
17,KATHERINE,CHOONG,SUI,7. [8.66],39+,
17,MANON,HILY,FRA,11. [11.66],39+,
17,EKATERINA,KIPRIIANOVA,RUS,11. [12.04],39+,
17,SOL,SA,KOR,7. [10.10],39+,
21,MARGO,HAYES,USA,13. [12.85],38+,
22,SANDRA,LETTNER,AUT,8. [11.12],38,
22,LUCKA,RAKOVEC,SLO,5. [7.75],38,
24,IEVGENIIA,KAZBEKOVA,UKR,12. [12.91],36+,
25,HELOÏSE,DOUMONT,BEL,8. [11.12],35+,
26,ANNA,ZAIKINA,RUS,13. [13.04],26+,
27,KATJA,DEBEVEC,SLO,14. [13.67],,
27,VITA,LUKAN,SLO,14. [13.36],,
29,MICHELLE,HULLIGER,SUI,15. [15.17],,
29,TJASA,KALAN,SLO,15. [13.96],,
31,KYRA,CONDIE,USA,16. [14.28],,
31,IULIIA,PANTELEEVA,RUS,16. [15.47],,
31,BROOKE,RABOUTOU,USA,16. [15.47],,
34,URSKA,REPUSIC,SLO,17. [15.97],,
35,OCEANIA,MACKENZIE,AUS,18. [16.75],,
35,VANDA,MICHALKOVA,SVK,18. [16.16],,
35,KATHARINA,POSCH,AUT,18. [16.75],,
38,STASA,GEJO,SRB,19. [18.56],,
39,CLAIRE,BUHRFEIND,USA,20. [21.35],,
39,ASJA,GOLLO,ITA,20. [18.89],,
41,CHLOE,CAULIER,BEL,21. [19.90],,
41,DELANEY,MILLER,USA,21. [22.30],,
43,TINA JOHNSEN,HAFSAAS,NOR,22. [21.02],,
43,EVA MARIA,HAMMELMÜLLER,AUT,22. [22.49],,
43,ELENA,KRASOVSKAIA,RUS,22. [21.02],,
43,IDA,KUPS,POL,22. [21.02],,
43,MINA,MARKOVIC,SLO,22. [21.02],,
48,IVA,ONDRA,CZE,23. [23.16],,
49,ALEX,PUCCIO,USA,24. [24.29],,
50,LAURA,STÖCKLER,AUT,25. [24.69],,
51,ANDREA,KÜMIN,SUI,26. [24.82],,
51,ALANNAH,YIP,CAN,26. [21.11],,
53,ALEJANDRA,CONTRERAS,CHI,27. [24.89],,
53,JULIA,FISER,AUT,27. [24.87],,
55,ANDREA,EBNER,ITA,28. [25.75],,
55,ELISKA,NOVOTNA,CZE,28. [27.50],,
57,ELISKA,ADAMOVSKA,CZE,29. [28.53],,
57,JENNIFER,WOOD,GBR,29. [30.24],,
59,CELINE,CUYPERS,BEL,30. [32.50],,
59,MARTINA,ZANETTI,ITA,30. [28.89],,
61,SOPHIA,KWON,USA,31. [33.17],,
61,SABINA,VECEROVA,CZE,31. [29.93],,
63,FRANCIS,GUILLEN,VEN,32. [33.47],,
63,TIFFANY,MELIUS,AUS,32. [30.98],,
65,LESLIE,ROMERO,VEN,33. [31.31],,
65,LENKA,SLEZAKOVA,CZE,33. [33.92],,
67,REBECCA,FRANGOS,CAN,34. [33.99],,
67,NAAMA,YOHAI,ISR,34. [32.97],,
69,VALERI,KREMER,ISR,35. [34.77],,
69,LUCINDA ANN,TURNBULL,AUS,35. [34.41],,
69,NIKKI,VAN BERGEN,NED,35. [34.77],,
72,ALMA,BESTVATER,GER,36. [35.30],,
73,ALEKSANDRA,KALUCKA,POL,37. [34.94],,
73,THAIS MAKINO,SHIRAIWA,BRA,37. [36.75],,
75,NATALIA,KALUCKA,POL,38. [38.07],,
75,ANNA,TSYGANOVA,RUS,38. [35.18],,
77,BABETTE,ROY,CAN,39. [38.23],,
77,MUYKUAY,SILVA,CHI,39. [38.15],,
77,MARGARYTA,ZAKHAROVA,UKR,39. [38.23],,
80,MARGARITA,AGAMBAYEVA,KAZ,40. [38.68],,
81,ANNA,BROZEK,POL,41. [40.62],,
81,JEONGRAN,KO,KOR,41. [39.59],,
81,NITSA,TVAURI,GEO,41. [40.62],,
84,ANOUCK,JAUBERT,FRA,42. [40.89],,
85,PRATEEKSHA,ARUN,IND,43. [42.50],,
85,LUANA,RISCADO,BRA,43. [42.47],,
87,PATRYCJA,CHUDZIAK,POL,44. [43.59],,
87,DI,NIU,CHN,44. [42.51],,
89,ERICA,GATLAND,NZL,45. [42.71],,
89,CAMILA,MACEDO,BRA,45. [44.36],,
91,ROXY,PERRY,AUS,46. [45.60],,
91,MARIYA,TEREKHOVA,KAZ,46. [44.82],,
93,ALEJANDRA,INZUNZA,CHI,47. [46.00],,
93,ANDREA,ROJAS,ECU,47. [45.13],,
95,YOUJIN,CHA,KOR,48. [45.23],,
95,EMMA,HORAN,AUS,48. [46.74],,
97,ANNA,KRAJUSHKINA,EST,49. [48.44],,
97,ALEKSANDRA,MIROSLAW,POL,49. [46.90],,
