Rank,Name,,Country,Qualification,Final
1,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.726,5.63
2,BASSA,MAWEM,FRA,5.874,fall
3,STANISLAV,KOKORIN,RUS,6.044,6.02
4,QIXIN,ZHONG,CHN,6.114,fall
5,VLADISLAV,DEULIN,RUS,6.016,5.90
6,KOSTIANTYN,PAVLENKO,UKR,6.220,6.02
7,ALEKSANDR,SHIKOV,RUS,5.891,6.36
8,JAN,KRIZ,CZE,6.276,6.46
9,PENGHUI,LIN,CHN,6.359,6.04
10,MARCIN,DZIENSKI,POL,6.288,6.42
11,ALEKSANDR,SHILOV,RUS,6.304,6.43
12,JORDAN,FISHMAN,USA,6.383,8.97
13,DMITRII,TIMOFEEV,RUS,6.331,12.23
14,LUDOVICO,FOSSALI,ITA,6.193,false start
15,LEONARDO,GONTERO,ITA,6.259,fall
16,AMIR,MAIMURATOV,KAZ,6.373,false start
17,JOE,GOODACRE,USA,6.410,
17,YONGSU,LEE,KOR,6.410,
19,ALMAZ,NAGAEV,RUS,6.516,
20,CARLOS,GRANJA,ECU,6.527,
21,TOMOA,NARASAKI,JPN,6.697,
22,RISHAT,KHAIBULLIN,KAZ,6.718,
23,LUKAS,KNAPP,AUT,6.733,
24,MICKAEL,MAWEM,FRA,6.769,
25,ISAAC,ESTEVEZ,ECU,6.788,
26,ALIMZHAN,MYRZABEKOV,KAZ,6.798,
27,TOBIAS,PLANGGER,AUT,6.816,
28,ROMAN,KOVALYEV,KGZ,6.826,
29,DONGHYUN,JANG,KOR,6.856,
30,CHEUNG-CHI SHOJI,CHAN,HKG,6.862,
31,GUANGFENG,LI,CHN,7.016,
32,DANNY,VALENCIA,ECU,7.047,
33,JAN,HOJER,GER,7.079,
34,NICKOLAIE,RIVADENEIRA,ECU,7.104,
35,MANUEL,CORNU,FRA,7.170,
36,KOKORO,FUJII,JPN,7.283,
37,JOSH,LEVIN,USA,7.331,
38,CHINGKHEINGANBA,MAIBAM,IND,7.398,
39,PHANUPHONG,BUNPRAKOP,THA,7.435,
40,HUALONG,SONG,CHN,7.504,
41,GALO,HERNANDEZ,ECU,7.543,
42,MEICHI,NARASAKI,JPN,7.620,
42,KA-CHUN,YAU,HKG,7.620,
44,MIKEL ASIER,LINACISORO MOLINA,ESP,7.749,
45,THATTANA,RAKSACHAT,THA,7.795,
46,KAI,HARADA,JPN,7.810,
47,RUDOLPH,RUANA,USA,7.840,
47,REI,SUGIMOTO,JPN,7.840,
49,YUFEI,PAN,CHN,7.860,
50,WILLIAM,BOSI,GBR,7.884,
51,ARTYOM,DEVYATERIKOV,KAZ,7.949,
52,MINYOUNG,LEE,KOR,8.042,
53,SASCHA,LEHMANN,SUI,8.119,
54,NATHANIEL,COLEMAN,USA,8.149,
55,CESAR,GROSSO,BRA,8.184,
56,YANNICK,FLOHÉ,GER,8.203,
57,HANWOOL,KIM,KOR,8.219,
58,GIORGI,DJAPARIDZE,GEO,8.331,
59,KRITSADAKORN,THONGMUNG,THA,8.343,
60,DIMITRI,VOGT,SUI,8.380,
61,KEITA,WATABE,JPN,8.464,
62,ALEKSEY,RUBTSOV,RUS,8.518,
63,MICHAEL,PICCOLRUAZ,ITA,8.611,
64,JERNEJ,KRUDER,SLO,8.669,
65,SEAN,MCCOLL,CAN,8.729,
66,MACIEJ,DOBRZANSKI,POL,8.760,
66,RONNY,ESCOBAR,CHI,8.760,
68,SEMEN,OVCHINNIKOV,RUS,8.898,
69,RAM,LEVIN,ISR,8.901,
70,MARCELLO,BOMBARDI,ITA,8.982,
71,GHOLAMALI,BARATZADEH,IRI,9.010,
71,PETER,KURIC,SVK,9.010,
73,CALRIN,CURTIS,RSA,9.054,
74,OLEKSII,KRYNETSKYI,UKR,9.139,
75,SIMON,LORENZI,BEL,9.190,
75,HANNES,PUMAN,SWE,9.190,
77,SIRAPOB,JIRAJATURAPAK,THA,9.239,
78,FELIPE,HO FOGANHOLO,BRA,9.241,
