Rank,Name,,Country,Qualification,Final
1,ALEKSANDRA,MIROSLAW,POL,7.631,7.56
2,ANNA,BROZEK,POL,7.990,7.91
3,MARIIA,KRASAVINA,RUS,7.887,wildcard
4,ALEKSANDRA,KALUCKA,POL,7.935,false start
5,PATRYCJA,CHUDZIAK,POL,8.290,7.88
6,ALLA,MARENYCH,UKR,8.452,8.17
7,YILING,SONG,CHN,7.990,8.90
8,ANNA,TSYGANOVA,RUS,7.944,false start
9,DI,NIU,CHN,8.410,8.03
10,NATALIA,KALUCKA,POL,8.410,8.27
11,EKATERINA,BARASHCHUK,RUS,8.436,8.302
12,ELIZAVETA,IVANOVA,RUS,8.243,8.304
13,IULIIA,KAPLINA,RUS,8.290,8.43
14,CUILIAN,HE,CHN,8.450,10.36
15,ANOUCK,JAUBERT,FRA,7.789,fall
16,VICTOIRE,ANDRIER,FRA,8.306,fall
17,AURELIA,SARISSON,FRA,8.477,
18,MINGWEI,NI,CHN,8.579,
19,LAURA,LAMMER,AUT,8.754,
20,ELENA,TIMOFEEVA,RUS,8.796,
21,LESLIE,ROMERO,VEN,8.803,
22,ALEXANDRA,ELMER,AUT,8.867,
23,PIPER,KELLY,USA,8.899,
24,KAMILLA,KUSHAEVA,RUS,8.991,
25,MIHO,NONAKA,JPN,9.061,
26,LAURA,STÖCKLER,AUT,9.138,
27,ASSEL,MARLENOVA,KAZ,9.164,
28,ANDREA,ROJAS,ECU,9.302,
29,NINA,LACH,AUT,9.537,
30,CLAIRE,BUHRFEIND,USA,9.731,
31,SOL,SA,KOR,9.806,
32,TETIANA,KOLKOTINA,UKR,9.993,
33,PETRA,KLINGLER,SUI,10.010,
34,KYRA,CONDIE,USA,10.068,
35,STASA,GEJO,SRB,10.181,
36,ALEJANDRA,CONTRERAS,CHI,10.196,
37,IULIIA,PANTELEEVA,RUS,10.360,
37,ALANNAH,YIP,CAN,10.360,
39,OCEANIA,MACKENZIE,AUS,10.383,
40,CHLOE,CAULIER,BEL,10.430,
41,YOUJIN,CHA,KOR,10.455,
42,HANA,KRIZOVA,CZE,10.477,
43,KSENIIA,PETROVA,RUS,10.492,
44,MARGARYTA,ZAKHAROVA,UKR,10.514,
45,AKIYO,NOGUCHI,JPN,10.548,
46,BROOKE,RABOUTOU,USA,10.571,
47,JANJA,GARNBRET,SLO,10.624,
48,SANDRA,LETTNER,AUT,10.690,
49,BABETTE,ROY,CAN,10.740,
50,ANDREA,KÜMIN,SUI,11.018,
51,MARGARITA,AGAMBAYEVA,KAZ,11.070,
52,PRATTHANA,RAKSACHAT,THA,11.154,
53,FRANCIS,GUILLEN,VEN,11.266,
54,JAIN,KIM,KOR,11.316,
55,JEONGRAN,KO,KOR,11.475,
56,ALMA,BESTVATER,GER,11.536,
57,NARADA,DISYABUT,THA,11.808,
58,JESSICA,PILZ,AUT,11.998,
59,MEI,KOTAKE,JPN,12.047,
60,MARGO,HAYES,USA,12.344,
61,CELINE,CUYPERS,BEL,12.486,
62,TIFFANY,MELIUS,AUS,12.577,
63,IEVGENIIA,KAZBEKOVA,UKR,12.663,
64,ANNE-SOPHIE,KOLLER,SUI,12.678,
65,ANDREA,EBNER,ITA,12.832,
66,URSKA,REPUSIC,SLO,13.005,
67,EKATERINA,KIPRIIANOVA,RUS,13.396,
68,IDA,KUPS,POL,13.656,
69,REBECCA,FRANGOS,CAN,14.019,
70,JENNIFER,WOOD,GBR,14.050,
71,MIA,KRAMPL,SLO,14.071,
72,HELOÏSE,DOUMONT,BEL,14.300,
73,DENISA,MERCOVA,CZE,14.414,
74,VITA,LUKAN,SLO,14.564,
75,ALEX,PUCCIO,USA,14.602,
76,MEAGAN,MARTIN,USA,14.768,
77,KATJA,DEBEVEC,SLO,14.808,
78,ASHIMA,SHIRAISHI,USA,15.007,
79,THAIS MAKINO,SHIRAIWA,BRA,15.350,
80,LUCY,WHITEHEAD,NZL,15.576,
81,MUYKUAY,SILVA,CHI,15.715,
82,LUANA,RISCADO,BRA,15.907,
83,NAAMA,YOHAI,ISR,17.154,
84,ALEJANDRA,INZUNZA,CHI,17.913,
85,ERICA,GATLAND,NZL,19.327,
86,CAMILA,MACEDO,BRA,20.660,
87,PATRÍCIA,ANTUNES,BRA,23.547,
88,VALERI,KREMER,ISR,24.396,
89,ELISABETTA,DALLA BRIDA,ITA,false start,
89,MAGGIE,HAMMER,USA,false start,
89,MANON,HILY,FRA,false start,
89,ELENA,KRASOVSKAIA,RUS,false start,
89,ANTONIA,VALENZUELA,CHI,false start,
89,MARTINA,ZANETTI,ITA,false start,
