Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,34+  25. | top  1. [10.20],30+,38+
2,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [3.16],29+,38+
3,TOMOA,NARASAKI,JPN,35   21. | top  1. [9.49],28+,33+
4,STEFANO,GHISOLFI,ITA,38+  11. | 33+  8. [9.59],28+,33+
5,MAX,RUDIGIER,AUT,top  1. | 21+  45. [10.95],top,32+
6,HYUNBIN,MIN,KOR,32+  36. | 31+  9. [19.37],30,22+
7,DOMEN,SKOFIC,SLO,39+  5. | 28+  12. [10.06],29+,22+
8,YUKI,HADA,JPN,39+  5. | 31+  9. [8.44],28+,22+
9,ALEXANDER,MEGOS,GER,32+  36. | top  1. [12.57],28+,
10,KOKORO,FUJII,JPN,32+  36. | 28+  12. [23.09],28+,
11,HANNES,PUMAN,SWE,39+  5. | 22+  24. [15.37],26+,
12,SHUTA,TANAKA,JPN,35+  15. | 22+  24. [23.48],25+,
13,LOÏC,TIMMERMANS,BEL,39+  5. | 22+  24. [15.37],23+,
14,MINORU,NAKANO,JPN,35+  15. | 22+  24. [23.48],23+,
15,LUKA,POTOCAR,SLO,35   21. | 27   20. [21.48],22+,
16,TAISEI,HOMMA,JPN,top  1. | 10   66. [12.85],21+,
17,SASCHA,LEHMANN,SUI,top  1. | top  1. [3.16],21,
18,YANNICK,FLOHÉ,GER,38   13. | 28+  12. [13.25],21,
19,YOSHIYUKI,OGATA,JPN,39+  5. | 29+  11. [9.08],20+,
20,GAUTIER,SUPPER,FRA,23   80. | top  1. [17.89],20+,
21,GEORG,PARMA,AUT,35   21. | 27+  17. [20.12],20+,
22,HANWOOL,KIM,KOR,32+  36. | top  1. [12.57],19+,
23,JAN,HOJER,GER,34+  25. | 28+  12. [18.73],19+,
24,THOMAS,JOANNES,FRA,35+  15. | 27+  17. [17.75],18,
25,KAI,LIGHTNER,USA,35+  15. | 28   16. [16.73],17+,
26,JERNEJ,KRUDER,SLO,35+  15. | 26+  22. [19.84],17+,
27,MARTIN,BERGANT,SLO,37   14. | 22   40. [24.25],,
28,ARSÈNE,DUVAL,FRA,39+  5. | 7+  81. [25.02],,
29,KAI,HARADA,JPN,32+  36. | 27   20. [28.46],,
30,SEAN,BAILEY,USA,32+  36. | 26+  22. [29.81],,
31,HIDEMASA,NISHIDA,JPN,33+  28. | 22+  24. [29.96],,
32,JORG,VERHOEVEN,NED,29+  49. | 27+  17. [30.45],,
33,WILLIAM,BOSI,GBR,33   30. | 22+  24. [32.00],,
33,MIKHAIL,CHERNIKOV,RUS,33   30. | 22+  24. [32.00],,
33,ALEKSEY,RUBTSOV,RUS,33   30. | 22+  24. [32.00],,
36,FRANCESCO,VETTORATA,ITA,38+  11. | 1+  91. [32.35],,
37,FILIP,SCHENK,ITA,34+  25. | 22   40. [33.05],,
38,DIMITRI,VOGT,SUI,33   30. | 22   40. [36.95],,
39,MARCELLO,BOMBARDI,ITA,32   44. | 22+  24. [37.44],,
40,YUVAL,SHEMLA,ISR,35+  15. | 7+  81. [38.23],,
41,SIMON,LORENZI,BEL,30   48. | 22+  24. [38.88],,
42,JAVIER,CANO BLAZQUEZ,ESP,29+  49. | 22+  24. [40.28],,
42,RUDOLPH,RUANA,USA,29+  49. | 22+  24. [40.28],,
44,VLADISLAV,SHEVCHENKO,RUS,32+  36. | 22   40. [40.73],,
45,SANGWON,SON,KOR,28+  56. | 22+  24. [42.00],,
46,FEDIR,SAMOILOV,UKR,35   21. | 8   79. [42.29],,
47,NIMROD,MARCUS,ISR,28   57. | 22+  24. [42.37],,
48,HAIBIN,QU,CHN,33+  28. | 9   69. [44.98],,
49,RUSTAM,GELMANOV,RUS,26+  64. | 22+  24. [46.28],,
50,OBED,HARDMEIER,SUI,31+  46. | 21+  45. [47.24],,
51,MILAN,PRESKAR,SLO,21+  81. | 22+  24. [50.51],,
52,JAMES,POPE,GBR,33   30. | 8   79. [50.83],,
53,NICOLAS,COLLIN,BEL,29+  49. | 20+  52. [52.00],,
54,LUCAS,UCHIDA,CAN,33   30. | 7+  81. [52.09],,
