Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,41+  9. | top  1. [4.50],46,44+
2,JESSICA,PILZ,AUT,42+  4. | 45+  3. [4.58],44+,42
3,JAIN,KIM,KOR,top  1. | 41+  17. [6.16],43,41+
4,MANON,HILY,FRA,42+  4. | 42+  10. [8.83],36+,36+
5,AKIYO,NOGUCHI,JPN,top  1. | top  1. [1.73],36+,35+
6,MIHO,NONAKA,JPN,40+  20. | 38+  26. [25.74],37+,32+
7,MEI,KOTAKE,JPN,40+  20. | 41+  17. [21.79],37,31+
8,ASHIMA,SHIRAISHI,USA,top  1. | 43   6. [3.87],35+,31+
9,TJASA,KALAN,SLO,41+  9. | 43   6. [10.06],35+,
9,ANNE-SOPHIE,KOLLER,SUI,41+  9. | 43   6. [10.06],35+,
9,VITA,LUKAN,SLO,41+  9. | 43   6. [10.06],35+,
12,JULIA,CHANOURDIE,FRA,41+  9. | 42+  10. [13.25],35+,
13,AYA,ONOE,JPN,41+  9. | 41+  17. [16.02],35+,
14,MIA,KRAMPL,SLO,40+  20. | 42+  10. [18.03],35+,
15,JULIA,FISER,AUT,40+  20. | 37+  28. [27.16],35,
16,HANNAH,SCHUBERT,AUT,41+  9. | 42+  10. [13.25],34+,
17,TINA JOHNSEN,HAFSAAS,NOR,37   36. | 41+  17. [26.15],32+,
18,FUTABA,ITO,JPN,42+  4. | 43+  5. [5.48],30+,
19,MINA,MARKOVIC,SLO,41   19. | 45+  3. [8.15],29+,
20,CHRISTINE,SCHRANZ,AUT,40+  20. | 41+  17. [21.79],29+,
21,MICHELLE,HULLIGER,SUI,41+  9. | 42+  10. [13.25],29,
22,YUKI,HIROSHIGE,JPN,42+  4. | 37+  28. [13.30],28+,
23,SEURAN,HAN,KOR,34+  39. | 42+  10. [23.64],28+,
24,STASA,GEJO,SRB,40+  20. | 37+  28. [27.16],28+,
25,PETRA,KLINGLER,SUI,41+  9. | 39   25. [18.37],26+,
26,IULIIA,PANTELEEVA,RUS,40+  20. | 41   22. [23.98],17+,
27,ANAK,VERHOEVEN,BEL,42+  4. | 42+  10. [8.83],14+,
28,KATHARINA,POSCH,AUT,40+  20. | 36+  32. [28.28],,
29,MATHILDE,BECERRA,FRA,41+  9. | 21+  60. [28.46],,
30,MAGDALENA,RÖCK,AUT,36+  37. | 41   22. [29.37],,
31,EKATERINA,KIPRIIANOVA,RUS,40+  20. | 32+  36. [30.62],,
32,SALOMÉ,ROMAIN,FRA,34+  39. | 41   22. [31.45],,
33,NIKKI,VAN BERGEN,NED,39+  31. | 34+  33. [32.48],,
34,KATHERINE,CHOONG,SUI,34+  39. | 38+  26. [33.76],,
35,ZOÉ,EGLI,SUI,40+  20. | 28+  45. [33.91],,
35,IEVGENIIA,KAZBEKOVA,UKR,40+  20. | 28+  45. [33.91],,
37,LAMU,RENQING,CHN,38+  33. | 32+  36. [35.18],,
38,NOLWEN,BERTHIER,FRA,37+  35. | 32+  36. [36.23],,
39,MINSEON,KIM,KOR,34+  39. | 34+  33. [37.95],,
40,URSKA,REPUSIC,SLO,38   34. | 30+  43. [38.24],,
41,LANA,SKUSEK,SLO,34+  39. | 32+  36. [40.16],,
42,ELENA,KRASOVSKAIA,RUS,31+  48. | 33+  35. [41.20],,
43,GIORGIA,TESIO,ITA,39+  31. | 27   53. [41.24],,
44,SILVIA,CASSOL,ITA,36+  37. | 28+  45. [41.53],,
45,NOLWENN,ARC,FRA,34+  39. | 32   40. [41.73],,
45,HUNG YING,LEE,TPE,34+  39. | 32   40. [41.73],,
47,CLAUDIA,GHISOLFI,ITA,11   64. | 37+  28. [43.45],,
48,LAURA,ROGORA,ITA,34+  39. | 28   48. [45.67],,
49,EMILY,PHILLIPS,GBR,28+  51. | 31+  42. [46.28],,
50,JARA,SPÄTE,SUI,24+  54. | 29+  44. [48.74],,
51,ERINA,MIURA,JPN,31+  48. | 27+  50. [49.73],,
52,HELOÏSE,DOUMONT,BEL,34+  39. | 22+  59. [50.37],,
53,ALMA,BESTVATER,GER,29+  50. | 27+  50. [50.50],,
54,SOFYA,YOKOYAMA,SUI,22+  55. | 28   48. [51.88],,
55,CHLOE,CAULIER,BEL,26   53. | 27+  50. [51.99],,
56,CELINE,CUYPERS,BEL,26+  52. | 25   56. [53.96],,
57,EVGENIIA,MALAMID,RUS,22+  55. | 24+  57. [56.24],,
58,REBECCA,FRANGOS,CAN,21+  57. | 27   53. [56.44],,
58,ANDREA,KÜMIN,SUI,21+  57. | 27   53. [56.44],,
60,MARTINA,ZANETTI,ITA,21+  57. | 23   58. [58.50],,
61,MAGGIE,HAMMER,USA,21+  57. | 20+  61. [60.48],,
61,TIFFANY,MELIUS,AUS,21+  57. | 20+  61. [60.48],,
63,OLIVIA,CAMPTON-SMITH,AUS,21   62. | 20+  61. [62.00],,
64,ANDREA,ROJAS,ECU,20+  63. | 19   64. [63.50],,
