Rank,Name,,Country,Qualification,Final
1,ANOUCK,JAUBERT,FRA,7.890,7.98
2,VICTOIRE,ANDRIER,FRA,8.570,8.21
3,MARIIA,KRASAVINA,RUS,7.860,9.62
4,YILING,SONG,CHN,8.610,fall
5,ANNA,BROZEK,POL,8.620,8.24
6,ELISABETTA,DALLA BRIDA,ITA,8.790,8.82
7,IULIIA,KAPLINA,RUS,7.900,8.93
8,ELENA,REMIZOVA,RUS,8.640,10.67
9,MINGWEI,NI,CHN,9.000,8.47
10,KLAUDIA,BUCZEK,POL,8.630,8.86
11,ELIZAVETA,IVANOVA,RUS,8.750,9.17
12,CUILIAN,HE,CHN,8.650,11.05
13,PATRYCJA,CHUDZIAK,POL,8.280,fall
14,DARIA,KAN,RUS,8.710,false start
15,AURELIA,SARISSON,FRA,8.970,false start
16,ELMA,FLEURET,FRA,9.010,fall
17,ELENA,TIMOFEEVA,RUS,9.080,
18,ALEXANDRA,ELMER,AUT,9.220,
19,SILVIA,PORTA,ITA,9.460,
20,CAPUCINE,VIGLIONE,FRA,9.800,
21,ANDREA,ROJAS,ECU,9.810,
22,ELENA,KRASOVSKAIA,RUS,9.820,
23,MIHO,NONAKA,JPN,9.840,
24,PETRA,KLINGLER,SUI,9.940,
25,NINA,LACH,AUT,10.180,
26,HUNG YING,LEE,TPE,10.420,
27,MARTINA,ZANETTI,ITA,10.620,
28,ALMA,BESTVATER,GER,10.640,
29,TETIANA,KOLKOTINA,UKR,10.850,
30,HANA,KRIZOVA,CZE,10.990,
31,STASA,GEJO,SRB,11.020,
32,JARA,SPÄTE,SUI,11.110,
33,IULIIA,PANTELEEVA,RUS,11.160,
34,FUTABA,ITO,JPN,11.180,
35,CHLOE,CAULIER,BEL,11.360,
36,JANJA,GARNBRET,SLO,11.430,
37,LAMU,RENQING,CHN,11.470,
38,FRANCESCA,VASI,ITA,11.640,
39,AKIYO,NOGUCHI,JPN,12.150,
40,MAGGIE,HAMMER,USA,12.440,
41,GIORGIA,TESIO,ITA,12.450,
42,ANDREA,KÜMIN,SUI,12.590,
43,SOFYA,YOKOYAMA,SUI,12.670,
44,JAIN,KIM,KOR,12.950,
45,URSKA,REPUSIC,SLO,13.680,
46,EKATERINA,KIPRIIANOVA,RUS,13.740,
47,MEI,KOTAKE,JPN,14.520,
48,ANNE-SOPHIE,KOLLER,SUI,14.710,
49,MIA,KRAMPL,SLO,14.800,
50,TIFFANY,MELIUS,AUS,15.060,
51,HELOÏSE,DOUMONT,BEL,16.150,
52,REBECCA,FRANGOS,CAN,16.600,
53,CELINE,CUYPERS,BEL,false start,
