Rank,Name,,Country,Qualification,Semi-Final
1,ROMAIN,DESGRANGES,FRA,37+  2. | 32+  7. [4.58],35+
2,JAKOB,SCHUBERT,AUT,39+  1. | top  1. [1.58],32+
3,HYUNBIN,MIN,KOR,33+  7. | top  1. [5.12],32
4,HIDEMASA,NISHIDA,JPN,27+  20. | 24+  22. [22.25],31+
5,STEFANO,GHISOLFI,ITA,36+  3. | 33   5. [4.06],28+
6,FRANCESCO,VETTORATA,ITA,28   19. | 32   15. [17.44],28+
7,FEDIR,SAMOILOV,UKR,27+  20. | 32   15. [18.76],28
8,TAISEI,HOMMA,JPN,35+  4. | 32+  7. [6.48],26+
9,MARCELLO,BOMBARDI,ITA,33+  7. | 32+  7. [10.50],26+
10,MASAHIRO,HIGUCHI,JPN,33+  7. | 32+  7. [10.50],26
11,HIROTO,SHIMIZU,JPN,27+  20. | top  1. [7.42],25+
12,NICOLAS,COLLIN,BEL,33+  7. | 32   15. [12.96],25+
12,HAIBIN,QU,CHN,32+  16. | 32+  7. [12.96],25+
14,MINORU,NAKANO,JPN,33+  7. | 31+  18. [13.75],25+
15,TAITO,NAKAGAMI,JPN,33   15. | 30+  19. [16.88],25+
16,MAX,RUDIGIER,AUT,29   18. | top  1. [6.71],25
17,SASCHA,LEHMANN,SUI,33+  7. | 33   5. [7.60],25
18,GEORG,PARMA,AUT,27+  20. | 30   20. [20.98],25
19,DOMEN,SKOFIC,SLO,34+  5. | 32+  7. [7.60],21+
20,YUKI,HADA,JPN,33+  7. | 32+  7. [10.50],19+
21,ELAN,JONASMCRAE,CAN,33+  7. | 24+  22. [15.37],19+
22,MARTIN,KUHNEL,USA,27+  20. | 20   24. [22.98],19+
23,LOÏC,TIMMERMANS,BEL,34+  5. | 32+  7. [7.60],18+
24,YOSHIYUKI,OGATA,JPN,32   17. | 26   21. [18.89],18
25,WAN JAE,JO,KOR,18+  26. | 13+  25. [26.50],9+
26,ALFIAN,MUHAMMAD FAJRI,INA,18+  26. | 13+  25. [26.50],9
27,JOHN,BROSLER,USA,23+  25. | 13   28. [26.46],7
28,AIDAN,DOYLE,CAN,17+  29. | 13+  25. [27.46],
29,PANGERAN,SEPTO WIBOWO SIBURIAN,INA,18+  26. | 12+  29. [27.98],
30,ASPAR,ASPAR,INA,15+  30. | 8+  32. [30.98],
31,SABRI,SABRI,INA,15   31. | 10   31. [31.00],
32,BRANDON,BARRACLOUGH,CAN,9+  34. | 11+  30. [31.94],
33,MARCIN,DZIENSKI,POL,10+  32. | 5   34. [32.98],
34,VEDDRIQ,LEONARDO,INA,10   33. | 5+  33. [33.00],
