Rank,Name,,Country,Qualification,Semi-Final
1,JANJA,GARNBRET,SLO,top  1. | top  1. [3.35],36+
1,JAIN,KIM,KOR,top  1. | top  1. [3.35],36+
3,JESSICA,PILZ,AUT,top  1. | top  1. [3.35],36
4,AKIYO,NOGUCHI,JPN,top  1. | top  1. [3.35],35+
5,KATHARINA,POSCH,AUT,28   11. | 33+  9. [10.22],31
6,TJASA,KALAN,SLO,34+  5. | top  1. [5.20],22+
6,MIA,KRAMPL,SLO,34+  5. | top  1. [5.20],22+
8,MANON,HILY,FRA,29+  9. | top  1. [6.54],22+
9,HANNAH,SCHUBERT,AUT,34+  5. | 32+  12. [8.83],22+
10,NATSUMI,HIRANO,JPN,23+  17. | top  1. [8.87],22+
11,CHRISTINE,SCHRANZ,AUT,30+  8. | 33   11. [9.38],22+
12,FUTABA,ITO,JPN,29+  9. | 32+  12. [11.11],22+
13,MEI,KOTAKE,JPN,27+  12. | 32+  12. [12.75],22+
14,MIU,KURITA,JPN,27+  12. | 31+  16. [14.58],22+
15,AYA,ONOE,JPN,26+  14. | 32   15. [14.75],22+
16,HELOÏSE,DOUMONT,BEL,26+  14. | 25+  22. [18.06],22+
17,FANNY,GIBERT,FRA,21+  20. | 30+  19. [19.49],22+
18,LAN,KIM,KOR,20+  21. | 29+  20. [20.75],22+
19,OCEANIA,MACKENZIE,AUS,22+  19. | 29+  20. [19.74],22
20,HONGCHUN,XIANG,CHN,20   22. | 25+  22. [22.25],22
21,TINA JOHNSEN,HAFSAAS,NOR,24+  16. | 31+  16. [16.49],21
22,MINA,MARKOVIC,SLO,23+  17. | 33+  9. [12.89],17+
23,JULIA,FISER,AUT,10   31. | 31+  16. [22.96],17
24,DINARA,FAKHRITDINOVA,RUS,10+  26. | 21+  24. [25.92],13+
25,ZHUOYING,CHEN,CHN,18+  25. | 17   27. [25.98],13+
26,ANNA,TSYGANOVA,RUS,19+  23. | 15+  29. [26.11],13+
27,REBECCA,FRANGOS,CAN,19+  23. | 15   30. [26.55],
28,YUKI,HIROSHIGE,JPN,10+  26. | 18   25. [26.72],
29,ANOUCK,JAUBERT,FRA,10+  26. | 16   28. [28.00],
30,NURUL,IQAMAH,INA,9+  32. | 18   25. [28.79],
31,ARIES,SUSANTI RAHAYU,INA,10+  26. | 14   31. [29.70],
32,RAJIAH,SALLSABILLAH,INA,10+  26. | 13+  33. [30.40],
33,SARI,AGUSTINA,INA,9+  32. | 14   31. [32.00],
34,MULYANI,MUDJI,INA,2+  34. | 13   34. [34.00],
35,ANNA,BROZEK,POL,1+  35. | 2   35. [35.00],
