Rank,Name,,Country,Qualification,Final
1,ASPAR,ASPAR,INA,5.922,5.81
2,LUDOVICO,FOSSALI,ITA,6.250,5.94
3,REZA,ALIPOUR SHENAZANDIFARD,IRI,6.279,5.96
4,ALEKSANDR,SHILOV,RUS,6.370,5.99
5,SERGEI,RUKIN,RUS,6.014,5.92
6,JINXIN,LI,CHN,6.200,6.16
7,DMITRII,TIMOFEEV,RUS,5.929,6.27
8,DANYIL,BOLDYREV,UKR,6.110,6.54
9,BASSA,MAWEM,FRA,5.923,5.95
10,ALFIAN,MUHAMMAD FAJRI,INA,6.013,6.12
11,KOSTIANTYN,PAVLENKO,UKR,6.280,6.29
12,PANGERAN,SEPTO WIBOWO SIBURIAN,INA,6.210,6.30
13,VLADISLAV,DEULIN,RUS,6.150,6.40
14,GIAN LUCA,ZODDA,ITA,6.278,6.54
15,VEDDRIQ,LEONARDO,INA,6.100,7.22
16,ALEKSANDR,SHIKOV,RUS,5.910,fall
17,HINAYAH,MUHAMMAD,INA,6.380,
18,JAN,KRIZ,CZE,6.390,
19,PENGHUI,LIN,CHN,6.410,
20,SABRI,SABRI,INA,6.440,
21,MARCIN,DZIENSKI,POL,6.540,
22,STANISLAV,KOKORIN,RUS,6.550,
23,YURONG,DUAN,CHN,6.680,
24,MILAD,ALIPOUR SHENAZANDIFAR,IRI,6.770,
25,ZHIXUAN,CHEN,CHN,6.780,
26,GUILLAUME,MORO,FRA,7.140,
27,JAKOB,SCHUBERT,AUT,7.630,
28,SASCHA,LEHMANN,SUI,8.020,
29,EHSAN,DELFANIYAN,IRI,8.120,
30,YOSHIYUKI,OGATA,JPN,8.400,
31,NICOLAS,COLLIN,BEL,8.440,
32,JOHN,BROSLER,USA,8.610,
33,MARCELLO,BOMBARDI,ITA,9.100,
34,AIDAN,DOYLE,CAN,9.190,
35,LOÏC,TIMMERMANS,BEL,9.470,
36,FEDIR,SAMOILOV,UKR,11.040,
