Rank,Name,,Country,Qualification,Semi-Final,Final
1,CHAEHYUN,SEO,KOR,39+  1. | top  1. [1.73],top,top
2,JANJA,GARNBRET,SLO,38+  3. | top  1. [2.45],43+,top
3,NATSUKI,TANII,JPN,39+  1. | top  1. [1.73],43+,41+
4,MIA,KRAMPL,SLO,37   4. | 35+  4. [6.32],43,36
5,ASHIMA,SHIRAISHI,USA,30+  9. | 35+  4. [9.75],41+,36
6,YUETONG,ZHANG,CHN,31+  7. | 35+  4. [8.37],42+,33+
7,VITA,LUKAN,SLO,30   11. | 35+  4. [10.72],37.5,32+
8,NINA,ARTHAUD,FRA,22+  22. | 26   26. [24.42],37.5+,24+
9,CHRISTINE,SCHRANZ,AUT,27+  14. | 35+  4. [11.83],36+,
10,MEI,KOTAKE,JPN,33   5. | 25   32. [12.65],36+,
11,NATSUMI,HIRANO,JPN,32   6. | 35+  4. [7.75],35+,
12,MINA,MARKOVIC,SLO,18   32. | 35+  4. [18.57],35+,
13,MARGO,HAYES,USA,27   15. | 32+  19. [17.16],34+,
14,LUCKA,RAKOVEC,SLO,18   32. | 35+  4. [18.57],34+,
15,IEVGENIIA,KAZBEKOVA,UKR,17+  38. | 35+  4. [19.75],34+,
16,MOLLY,THOMPSON-SMITH,GBR,30+  9. | 35+  4. [9.75],33+,
17,TJASA,KALAN,SLO,18+  25. | 35+  4. [16.73],33+,
18,LAURA,ROGORA,ITA,18   32. | 35+  4. [18.57],33+,
19,KATHARINA,POSCH,AUT,26+  17. | 33+  17. [17.49],32+,
20,ANNE-SOPHIE,KOLLER,SUI,27   15. | 26   26. [20.27],32+,
21,JULIA,FISER,AUT,30   11. | 20.5   41. [21.71],32,
22,HELOÏSE,DOUMONT,BEL,29   13. | 33   18. [15.30],31+,
23,FANNY,GIBERT,FRA,18+  25. | 28+  23. [25.65],31+,
24,JULIA,CHANOURDIE,FRA,31   8. | 35+  4. [8.94],26+,
25,CLAUDIA,GHISOLFI,ITA,24+  21. | 30   22. [21.49],26+,
26,NOLWENN,ARC,FRA,21+  24. | 28+  23. [23.75],24+,
27,SOL,SA,KOR,18   32. | 31   21. [26.92],,
28,BROOKE,RABOUTOU,USA,26+  17. | 20+  43. [28.62],,
29,MICHELLE,HULLIGER,SUI,18+  25. | 25+  28. [28.74],,
30,LYNN,VAN DER MEER,NED,25+  20. | 20+  43. [30.17],,
31,VALENTINA,AGUADO,ARG,18   32. | 25+  28. [31.90],,
32,KAJSA,ROSEN,SWE,22+  22. | 20+  43. [32.00],,
33,LÉA,DELACQUIS,FRA,26+  17. | 17   62. [33.81],,
34,YUKI,HIROSHIGE,JPN,18+  25. | 20.3+  42. [34.29],,
35,RISA,OTA,JPN,11+  59. | 32   20. [35.36],,
36,VANDA,MICHALKOVA,SVK,18   32. | 20.5+  38. [36.68],,
37,NOLWEN,BERTHIER,FRA,12+  52. | 27+  25. [36.74],,
38,ZOÉ,EGLI,SUI,18+  25. | 19+  49. [37.79],,
38,REBECCA,FRANGOS,CAN,18+  25. | 19+  49. [37.79],,
40,CAMILLE,POUGET,FRA,17   41. | 24+  33. [37.95],,
41,TINA JOHNSEN,HAFSAAS,NOR,13   48. | 25+  28. [38.21],,
42,LAN,KIM,KOR,17+  38. | 20+  43. [42.12],,
42,MIU,KURITA,JPN,17+  38. | 20+  43. [42.12],,
44,KYRA,CONDIE,USA,11+  59. | 25+  28. [42.94],,
45,LUCIA,DÖRFFEL,GER,12+  52. | 22.5+  35. [43.47],,
46,MANON,HILY,FRA,13   48. | 20.5+  38. [43.94],,
47,BRÉANNE,ROBERT,FRA,18+  25. | 15+  67. [43.95],,
48,LÉNA,GROSPIRON,FRA,17   41. | 20+  43. [44.23],,
49,OCEANIA,MACKENZIE,AUS,11+  59. | 24+  33. [45.76],,
50,ALANNAH,YIP,CAN,11+  59. | 21+  36. [47.76],,
51,EMILY,PHILLIPS,GBR,17   41. | 19   54. [48.85],,
52,SANDRA,LETTNER,AUT,11+  59. | 20.5+  38. [49.37],,
53,CHLOE,CAULIER,BEL,11   67. | 21+  36. [50.00],,
54,ANDREA,ROJAS,ECU,13   48. | 19+  49. [50.24],,
55,SIENNA,KOPF,USA,17   41. | 18+  58. [50.58],,
56,ILARIA,SCOLARIS,ITA,17   41. | 17   62. [52.25],,
57,ANOUCK,JAUBERT,FRA,13   48. | 19   54. [52.41],,
58,SOFYA,YOKOYAMA,SUI,13+  47. | 18+  58. [52.88],,
59,RONG,JIANG,CHN,12+  52. | 19   54. [54.74],,
59,JOANNA,NEAME,GBR,12+  52. | 19   54. [54.74],,
61,KATHERINE,CHOONG,SUI,11+  59. | 19+  49. [56.46],,
62,MARIA,BENACH ZUBERO,ESP,15+  46. | 15   72. [58.15],,
63,NATALIA,KALUCKA,POL,11   67. | 19+  49. [59.11],,
64,RUT,MONSECH GASCA,ESP,12   57. | 16   66. [61.60],,
65,ALLISON,VEST,CAN,12   57. | 15+  67. [62.99],,
66,RHOSLYN,FRUGTNIET,GBR,11+  59. | 17   62. [63.00],,
67,INDIANA,CHAPMAN,CAN,12+  52. | 15   72. [63.00],,
68,SOPHIE,BUITENDYK,CAN,11+  59. | 15+  67. [65.67],,
69,KÄTHE,ATKINS,GER,9+  71. | 18+  58. [65.91],,
69,SILVIA,CASSOL,ITA,9+  71. | 18+  58. [65.91],,
71,LEONIE,LOCHNER,GER,11   67. | 17   62. [65.95],,
72,PATRYCJA,CHUDZIAK,POL,11   67. | 15   72. [70.96],,
73,RACHELLE,DE CHARMOY,RSA,9+  71. | 15+  67. [70.97],,
74,ALEKSANDRA,KALUCKA,POL,7+  77. | 15+  67. [72.89],,
75,AMANDA,SPEED,NZL,9+  71. | 12+  76. [74.48],,
76,LUCINDA ANN,TURNBULL,AUS,9   76. | 15   72. [74.74],,
77,SARAH,TETZLAFF,NZL,9+  71. | 9+  78. [75.70],,
78,ANNA,BROZEK,POL,5+  79. | 11   77. [77.99],,
79,ROXY,PERRY,AUS,7   78. | 9+  78. [78.25],,
