Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [2.24],44+,47+
2,ALEXANDER,MEGOS,GER,40+  2. | top  1. [3.16],35,44
3,JAKOB,SCHUBERT,AUT,32+  4. | top  1. [5.00],36+,43+
4,WILLIAM,BOSI,GBR,21.5+  22. | 40   17. [20.82],38+,39+
5,ALBERTO,GINÉS LÓPEZ,ESP,20+  39. | top  1. [17.03],42+,33+
6,MARTIN,STRANIK,CZE,30+  7. | 41+  12. [9.54],35+,31+
7,SEAN,MCCOLL,CAN,21.5+  22. | 36+  25. [25.75],36,25+
8,KAI,HARADA,JPN,32+  4. | top  1. [5.00],38+,22
9,ALISTAIR,DUVAL,FRA,24   16. | 38   20. [18.55],35,
10,YANNICK,FLOHÉ,GER,27+  12. | 38+  18. [15.80],34+,
11,KOKORO,FUJII,JPN,20+  39. | top  1. [17.03],32+,
12,NATHANIEL,COLEMAN,USA,28+  8. | 27+  48. [21.53],31+,
13,SASCHA,LEHMANN,SUI,20+  39. | top  1. [17.03],29+,
14,JAN,HOJER,GER,21+  31. | 38   20. [26.02],29+,
15,MARCELLO,BOMBARDI,ITA,20+  39. | 41+  12. [27.46],29+,
16,YUKI,HADA,JPN,20+  39. | 42   10. [24.68],29,
17,REI,SUGIMOTO,JPN,21.5+  22. | 37+  24. [24.74],29,
18,MARTIN,BERGANT,SLO,28+  8. | 29+  32. [17.75],26+,
19,ROMAIN,DESGRANGES,FRA,34+  3. | top  1. [3.87],25+,
20,DOMEN,SKOFIC,SLO,28+  8. | 38   20. [13.91],25+,
21,TAISEI,HOMMA,JPN,22+  18. | 29+  32. [25.45],25+,
22,MIKEL ASIER,LINACISORO MOLINA,ESP,27+  12. | 24   58. [28.10],25+,
23,PHILIPP,MARTIN,GER,20+  39. | top  1. [17.03],25,
24,SEAN,BAILEY,USA,21.5   30. | 42   10. [17.75],25,
25,JONGWON,CHON,KOR,28   11. | 36   28. [17.55],23+,
26,STEFANO,GHISOLFI,ITA,32+  4. | 41+  12. [8.06],13+,
27,NIMROD,MARCUS,ISR,21.5+  22. | 29+  32. [29.87],,
