Rank,Name,,Country,Qualification,Semi-Final,Final
1,MANUEL,CORNU,FRA,4t5z 9 8,1t4z 11 16,3t4z 5 5
2,TOMOA,NARASAKI,JPN,5t5z 6 5,2t3z 11 11,3t4z 5 6
3,ANZE,PEHARC,SLO,5t5z 15 11,2t3z 5 5,3t4z 10 10
4,SASCHA,LEHMANN,SUI,5t5z 18 17,1t3z 2 5,2t4z 3 10
5,ALEKSEY,RUBTSOV,RUS,5t5z 8 7,1t3z 2 6,2t4z 4 11
6,KOKORO,FUJII,JPN,5t5z 12 12,2t2z 8 4,2t4z 7 9
7,REI,SUGIMOTO,JPN,5t5z 9 9,1t3z 2 10,
8,GREGOR,VEZONIK,SLO,5t5z 11 7,1t2z 4 3,
9,MICKAEL,MAWEM,FRA,4t5z 7 13,1t2z 5 3,
10,YANNICK,FLOHÉ,GER,5t5z 17 13,1t2z 7 5,
11,KAI,HARADA,JPN,4t5z 10 9,0t4z 0 7,
12,JAN,HOJER,GER,5t5z 13 11,0t3z 0 5,
13,TAISEI,ISHIMATSU,JPN,4t5z 5 6,0t3z 0 8,
14,SEAN,MCCOLL,CAN,5t5z 11 7,0t3z 0 10,
15,JONGWON,CHON,KOR,5t5z 9 9,0t3z 0 15,
16,ALEX,KHAZANOV,ISR,4t5z 6 11,0t3z 0 18,
17,NATHANIEL,COLEMAN,USA,5t5z 9 7,0t2z 0 5,
18,JAKOB,SCHUBERT,AUT,5t5z 7 7,0t2z 0 6,
19,DAVID,BARRANS,GBR,5t5z 14 14,0t1z 0 9,
20,RYUICHI,MURAI,JPN,5t5z 17 11,0t0z 0 0,
21,YUFEI,PAN,CHN,4t5z 10 8,,
21,TOMOAKI,TAKATA,JPN,4t5z 11 9,,
23,ALEXANDER,MEGOS,GER,3t5z 6 10,,
23,MEICHI,NARASAKI,JPN,4t5z 10 9,,
25,WILLIAM,BOSI,GBR,4t5z 10 12,,
25,NATHAN,PHILLIPS,GBR,3t5z 8 7,,
27,SEAN,BAILEY,USA,4t5z 14 13,,
27,SERGEI,SKORODUMOV,RUS,3t5z 8 9,,
29,YOSHIYUKI,OGATA,JPN,4t4z 6 4,,
29,VADIM,TIMONOV,RUS,3t5z 8 10,,
31,KEITA,DOHI,JPN,4t4z 6 5,,
31,ZACH,GALLA,USA,3t5z 9 12,,
31,ALBAN,LEVIER,FRA,3t5z 9 12,,
34,JERNEJ,KRUDER,SLO,4t4z 7 5,,
35,MAX,KLEESATTEL,GER,3t5z 11 12,,
35,SERGII,TOPISHKO,UKR,4t4z 14 8,,
37,CHEUNG-CHI SHOJI,CHAN,HKG,3t4z 5 7,,
37,MICHAEL,PICCOLRUAZ,ITA,3t5z 6 12,,
39,RAM,LEVIN,ISR,3t4z 8 12,,
39,SIMON,LORENZI,BEL,3t5z 9 14,,
41,JAMES,POPE,GBR,3t5z 10 12,,
41,LUCAS,UCHIDA,CAN,3t4z 10 11,,
43,GEORG,PARMA,AUT,3t4z 12 13,,
43,RUDOLPH,RUANA,USA,3t5z 12 16,,
45,MARCELLO,BOMBARDI,ITA,3t4z 3 5,,
45,NICOLAS,COLLIN,BEL,2t5z 6 10,,
47,NIKOLAI,IARILOVETS,RUS,3t4z 6 5,,
47,WILLIAM,RIDAL,GBR,2t5z 6 21,,
49,STEFANO,GHISOLFI,ITA,2t4z 2 4,,
49,JASON,HOLOWACH,CAN,2t4z 2 4,,
49,FEDIR,SAMOILOV,UKR,3t4z 6 6,,
52,HANNES,PUMAN,SWE,3t4z 13 11,,
53,LEO,AVEZOU,FRA,2t4z 3 7,,
53,DMITRII,FAKIRIANOV,RUS,3t4z 14 14,,
55,NIMROD,MARCUS,ISR,2t4z 5 4,,
55,NATHAN,SMITH,CAN,3t4z 15 15,,
57,ALFONS,DORNAUER,AUT,3t3z 6 4,,
57,FLORIAN,KLINGLER,AUT,2t3z 4 3,,
59,HANWOOL,KIM,KOR,3t3z 11 10,,
59,CHIA HSIANG,LIN,TPE,2t2z 8 4,,
61,KIM,MARSCHNER,GER,2t5z 4 12,,
61,FRANCESCO,VETTORATA,ITA,2t2z 11 8,,
63,NILS,FAVRE,SUI,1t5z 1 15,,
63,FATCHUR,ROJI,INA,2t5z 6 15,,
65,CHEUK-HEI,HO,HKG,2t5z 7 15,,
65,KA-CHUN,YAU,HKG,1t4z 6 12,,
67,CARLOS FELIPE,GRANJA LOPEZ,ECU,2t4z 5 11,,
67,HEI-YEUNG,LAM,HKG,0t3z 0 7,,
69,NED,MIDDLEHURST,AUS,0t3z 0 11,,
69,ZACH,RICHARDSON,CAN,2t4z 5 13,,
71,BASSA,MAWEM,FRA,2t4z 6 9,,
71,ODE RIFALDI,RIDJAYA,INA,0t3z 0 14,,
73,CHI-FUNG,AU,HKG,2t4z 10 15,,
73,SAM,LAVENDER,AUS,0t3z 0 15,,
75,JOSHUA,DAMASCO,AUS,0t2z 0 4,,
75,FREDRIK,SERLACHIUS,SWE,2t4z 13 11,,
77,ASPAR,ASPAR,INA,2t3z 10 10,,
77,MUHAMMAD TAQIUDDIN,BIN MOHD ZULKIFLI,MAS,0t2z 0 5,,
79,DANNY,VALENCIA,ECU,1t4z 4 16,,
79,QIXIN,ZHONG,CHN,0t2z 0 7,,
81,CHASE,GATLAND,NZL,1t3z 4 9,,
81,HRITIK,MARNE,IND,0t2z 0 8,,
83,JOHN,BROSLER,USA,0t1z 0 1,,
83,SIRAPOB,JIRAJATURAPAK,THA,0t1z 0 1,,
83,SERGEI,LUZHETSKII,RUS,1t3z 10 13,,
86,CAMPBELL,HARRISON,AUS,1t2z 4 4,,
87,KOSTIANTYN,PAVLENKO,UKR,0t1z 0 2,,
87,LASA,TEMI,INA,0t1z 0 2,,
87,LOÏC,TIMMERMANS,BEL,0t5z 0 13,,
90,YUVAL,SHEMLA,ISR,0t4z 0 15,,
91,MOHD IZZAT,MOHD SHOKOR,MAS,0t3z 0 15,,
91,ALFIAN,MUHAMMAD FAJRI,INA,0t1z 0 3,,
93,LUDOVICO,FOSSALI,ITA,0t2z 0 7,,
93,WAN TONG,LOK,MAC,0t1z 0 7,,
95,JAN,KRIZ,CZE,0t0z 0 0,,
95,KRISTOFFER,LINDBÄCK,SWE,0t2z 0 8,,
95,GEORGE,SANDERS,NZL,0t0z 0 0,,
95,THOMAS,WALDIN,NZL,0t0z 0 0,,
99,ALIAKSANDR,IVANOU,BLR,0t2z 0 9,,
100,CHING HUEI,CHANG,TPE,0t1z 0 6,,
101,MARCIN,DZIENSKI,POL,0t0z 0 0,,
