Rank,Name,,Country,Qualification,Final
1,ALFIAN,MUHAMMAD FAJRI,INA,5.914,5.97
2,KOSTIANTYN,PAVLENKO,UKR,6.206,6.31
3,SERGEI,RUKIN,RUS,6.020,6.80
4,QIXIN,ZHONG,CHN,5.618,fall
5,REZA,ALIPOUR SHENAZANDIFARD,IRI,6.115,5.73
6,NIKOLAI,IARILOVETS,RUS,6.263,6.31
7,ZHIYONG,OU,CHN,6.279,7.03
8,FATCHUR,ROJI,INA,6.212,7.51
9,MARCIN,DZIENSKI,POL,6.317,6.08
10,JINBAO,LONG,CHN,6.128,6.16
11,ASPAR,ASPAR,INA,5.876,6.28
12,ALEKSANDR,SHILOV,RUS,6.085,7.37
13,ZHIXING,CHEN,CHN,5.842,8.11
14,VLADISLAV,DEULIN,RUS,6.133,8.93
15,BASSA,MAWEM,FRA,5.677,fall
16,DMITRII,TIMOFEEV,RUS,5.827,fall
17,SERGEI,LUZHETSKII,RUS,6.323,
18,JAN,KRIZ,CZE,6.342,
19,STANISLAV,KOKORIN,RUS,6.357,
20,GIAN LUCA,ZODDA,ITA,6.419,
21,CARLOS,GRANJA,ECU,6.453,
22,LONG,CAO,CHN,6.555,
23,CHEUNG-CHI SHOJI,CHAN,HKG,6.615,
24,KOKORO,FUJII,JPN,6.620,
25,SHUO,XU,CHN,6.641,
26,MANUEL,CORNU,FRA,6.678,
27,JAN,HOJER,GER,6.763,
28,JOHN,BROSLER,USA,6.832,
29,LIANG,ZHANG,CHN,6.842,
30,MEICHI,NARASAKI,JPN,6.926,
31,DANNY,VALENCIA,ECU,6.942,
32,YUFEI,PAN,CHN,6.978,
33,GUILLAUME,MORO,FRA,6.995,
34,WILLIAM,BOSI,GBR,7.079,
35,MICHAEL,PICCOLRUAZ,ITA,7.096,
36,HANWOOL,KIM,KOR,7.098,
37,SEAN,MCCOLL,CAN,7.111,
38,KAI,HARADA,JPN,7.123,
39,NATHANIEL,COLEMAN,USA,7.165,
40,JAKOB,SCHUBERT,AUT,7.167,
41,CHI-FUNG,AU,HKG,7.278,
42,REI,SUGIMOTO,JPN,7.372,
43,ZACH,GALLA,USA,7.392,
44,JONGWON,CHON,KOR,7.467,
45,ARSENII,BOGOMOLOV,RUS,7.492,
46,RUDOLPH,RUANA,USA,7.560,
47,SASCHA,LEHMANN,SUI,7.581,
48,WILLIAM,RIDAL,GBR,7.597,
49,LASA,TEMI,INA,7.634,
50,ODE RIFALDI,RIDJAYA,INA,7.638,
51,GEORG,PARMA,AUT,7.692,
52,LEO,AVEZOU,FRA,7.744,
53,SIMON,LORENZI,BEL,7.823,
54,NICOLAS,COLLIN,BEL,7.843,
55,KA-CHUN,YAU,HKG,8.023,
56,JERNEJ,KRUDER,SLO,8.074,
57,HEI-YEUNG,LAM,HKG,8.211,
58,MARCELLO,BOMBARDI,ITA,8.258,
59,SEAN,BAILEY,USA,8.261,
60,RAM,LEVIN,ISR,8.267,
61,SIRAPOB,JIRAJATURAPAK,THA,8.333,
62,LOÏC,TIMMERMANS,BEL,8.356,
63,ANZE,PEHARC,SLO,8.422,
64,ZHAXI,BIANBA,CHN,8.536,
65,FRANCESCO,VETTORATA,ITA,8.613,
66,SERGII,TOPISHKO,UKR,8.615,
67,NED,MIDDLEHURST,AUS,8.830,
68,ALEKSEY,RUBTSOV,RUS,8.971,
69,MUHAMMAD TAQIUDDIN,BIN MOHD ZULKIFLI,MAS,9.001,
70,MOHD IZZAT,MOHD SHOKOR,MAS,9.132,
71,YUVAL,SHEMLA,ISR,9.143,
72,CHIA HSIANG,LIN,TPE,9.315,
73,NIMROD,MARCUS,ISR,9.418,
74,GEORGE,SANDERS,NZL,9.574,
75,SAM,LAVENDER,AUS,9.635,
76,MICKAEL,MAWEM,FRA,9.814,
77,ALEX,KHAZANOV,ISR,9.865,
78,ALBAN,LEVIER,FRA,9.928,
79,FEDIR,SAMOILOV,UKR,10.324,
80,STEFANO,GHISOLFI,ITA,10.450,
81,HRITIK,MARNE,IND,11.954,
82,THOMAS,WALDIN,NZL,12.393,
83,CHASE,GATLAND,NZL,12.664,
84,LUDOVICO,FOSSALI,ITA,fall,
84,HANNES,PUMAN,SWE,false start,
