Rank,Name,,Country,Qualification,Final
1,YILING,SONG,CHN,7.471,7.67
2,ALEKSANDRA,MIROSLAW,POL,7.484,fall
3,IULIIA,KAPLINA,RUS,7.618,8.42
4,ANOUCK,JAUBERT,FRA,7.738,fall
5,ARIES,SUSANTI RAHAYU,INA,7.739,7.42
6,ELENA,TIMOFEEVA,RUS,8.042,7.93
7,NATALIA,KALUCKA,POL,8.205,7.97
8,ANNA,TSYGANOVA,RUS,7.990,fall
9,ELIZAVETA,IVANOVA,RUS,8.218,7.67
10,DI,NIU,CHN,8.212,8.06
11,AURELIA,SARISSON,FRA,8.358,8.12
12,NURUL,IQAMAH,INA,8.334,8.27
13,PEIYANG,TIAN,CHN,8.174,8.28
14,ALEKSANDRA,KALUCKA,POL,8.312,8.85
15,MINGWEI,NI,CHN,8.213,8.91
16,PATRYCJA,CHUDZIAK,POL,8.310,10.74
17,HAIMEI,QIU,CHN,8.406,
18,VICTOIRE,ANDRIER,FRA,8.446,
19,ANNA,BROZEK,POL,8.461,
20,ANDREA,ROJAS,ECU,8.478,
21,CUILIAN,HE,CHN,8.568,
22,TETIANA,KOLKOTINA,UKR,8.774,
23,EKATERINA,BARASHCHUK,RUS,8.807,
24,RONG,JIANG,CHN,8.931,
25,ELENA,KRASOVSKAIA,RUS,8.961,
26,SOL,SA,KOR,9.409,
27,JANJA,GARNBRET,SLO,9.463,
28,KYRA,CONDIE,USA,9.557,
29,OCEANIA,MACKENZIE,AUS,9.642,
30,AKIYO,NOGUCHI,JPN,9.694,
31,HUNG YING,LEE,TPE,9.711,
32,SIENNA,KOPF,USA,9.776,
33,PETRA,KLINGLER,SUI,9.848,
34,ALMA,BESTVATER,GER,9.955,
35,IULIIA,PANTELEEVA,RUS,9.983,
36,JULIA,CHANOURDIE,FRA,9.989,
37,LAURA,STÖCKLER,AUT,10.058,
38,FUTABA,ITO,JPN,10.094,
39,CHLOE,CAULIER,BEL,10.255,
40,VALENTINA,AGUADO,ARG,10.363,
41,YUETONG,ZHANG,CHN,10.536,
42,MANON,HILY,FRA,10.591,
43,VIKTORIIA,MESHKOVA,RUS,10.592,
44,LUCKA,RAKOVEC,SLO,10.633,
45,FANNY,GIBERT,FRA,10.740,
46,JAIN,KIM,KOR,10.826,
47,ELENA,REMIZOVA,RUS,10.838,
48,EMILY,PHILLIPS,GBR,10.898,
49,KATJA,DEBEVEC,SLO,10.935,
50,MAO,NAKAMURA,JPN,11.063,
51,IEVGENIIA,KAZBEKOVA,UKR,11.130,
52,SANDRA,LETTNER,AUT,11.143,
53,ALANNAH,YIP,CAN,11.152,
54,YUZHEN,BAIMA,CHN,11.272,
55,VIRGITA,NADYA PUTRI,INA,11.346,
56,LAURA,ROGORA,ITA,11.444,
57,MARGO,HAYES,USA,11.828,
58,TIFFANY,MELIUS,AUS,12.127,
59,MIA,KRAMPL,SLO,12.261,
60,ANNE-SOPHIE,KOLLER,SUI,12.271,
61,ASHIMA,SHIRAISHI,USA,12.340,
62,HELOÏSE,DOUMONT,BEL,12.471,
63,JESSICA,PILZ,AUT,12.523,
64,WAI-PING,YU,HKG,12.692,
65,VERA,ZIJLSTRA,NED,12.801,
66,HSIU-JU,LIN,TPE,12.955,
67,AI,MORI,JPN,13.025,
68,PUNTARIKA,TUNYAVANICH,THA,13.098,
69,SALSABILA,SALSABILA,INA,13.164,
70,SARAH,TETZLAFF,NZL,13.552,
71,CHOIRUL,UMI C,INA,13.998,
72,NATSUMI,HIRANO,JPN,14.077,
73,VITA,LUKAN,SLO,14.379,
74,KA-YAN,WONG,HKG,14.954,
