Rank,Name,,Country,Qualification,Semi-Final,Final
1,TOMOA,NARASAKI,JPN,4t4z 8 5,2t4z 2 4,2t4z 12 20
2,JAKOB,SCHUBERT,AUT,3t4z 5 6,1t4z 3 12,0t3z 0 10
3,YANNICK,FLOHÉ,GER,3t5z 5 14,2t4z 13 16,0t3z 0 13
4,KOKORO,FUJII,JPN,4t4z 5 5,2t4z 5 6,0t3z 0 18
5,KEITA,DOHI,JPN,3t5z 6 8,2t4z 5 10,0t2z 0 9
6,ADAM,ONDRA,CZE,5t5z 6 6,3t4z 11 7,0t0z 0 0
7,REI,SUGIMOTO,JPN,3t5z 5 11,1t4z 5 9,
8,RUDOLPH,RUANA,USA,3t4z 15 15,1t4z 5 20,
9,KAI,HARADA,JPN,2t5z 4 8,1t3z 1 5,
10,JERNEJ,KRUDER,SLO,2t3z 3 5,1t3z 1 10,
11,JAN,HOJER,GER,2t5z 9 14,0t4z 0 10,
12,JONGWON,CHON,KOR,4t5z 4 5,0t3z 0 6,
13,MEICHI,NARASAKI,JPN,2t4z 4 5,0t3z 0 7,
14,SEAN,MCCOLL,CAN,3t4z 5 8,0t3z 0 8,
14,YOSHIYUKI,OGATA,JPN,4t5z 11 7,0t3z 0 8,
16,MANUEL,CORNU,FRA,3t4z 7 10,0t3z 0 9,
17,NATHANIEL,COLEMAN,USA,2t3z 3 5,0t3z 0 11,
18,NATHAN,PHILLIPS,GBR,2t4z 7 7,0t3z 0 13,
19,MICHAEL,PICCOLRUAZ,ITA,3t3z 9 8,0t2z 0 4,
20,SERGEI,SKORODUMOV,RUS,2t3z 7 8,0t1z 0 5,
21,HANWOOL,KIM,KOR,1t4z 1 10,,
21,ANZE,PEHARC,SLO,2t4z 2 8,,
23,MICKAEL,MAWEM,FRA,1t4z 2 8,,
23,SERGII,TOPISHKO,UKR,2t4z 2 9,,
25,SASCHA,LEHMANN,SUI,1t4z 5 4,,
25,ALEXANDER,MEGOS,GER,2t4z 3 6,,
