Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,5t5z 5 5,3t4z 7 6,3t3z 8 8
2,AKIYO,NOGUCHI,JPN,5t5z 9 9,2t4z 3 8,2t2z 4 2
3,SHAUNA,COXSEY,GBR,3t5z 6 9,0t3z 0 6,2t2z 6 6
4,IEVGENIIA,KAZBEKOVA,UKR,4t5z 14 14,1t2z 2 3,1t2z 3 4
5,MIHO,NONAKA,JPN,3t4z 4 8,0t3z 0 5,1t2z 5 6
6,NANAKO,KURA,JPN,5t5z 12 10,1t2z 1 5,0t1z 0 1
7,FUTABA,ITO,JPN,4t5z 5 6,0t3z 0 7,
7,ALANNAH,YIP,CAN,4t5z 8 8,0t3z 0 7,
9,FANNY,GIBERT,FRA,4t5z 7 8,0t3z 0 8,
10,PETRA,KLINGLER,SUI,5t5z 8 7,0t3z 0 9,
11,YUETONG,ZHANG,CHN,3t4z 5 6,0t2z 0 3,
12,LUCKA,RAKOVEC,SLO,4t5z 12 16,0t2z 0 5,
13,CHAEHYUN,SEO,KOR,5t5z 12 12,0t2z 0 8,
14,KYRA,CONDIE,USA,4t5z 5 8,0t2z 0 13,
15,ANNE-SOPHIE,KOLLER,SUI,3t5z 8 19,0t1z 0 1,
15,URSKA,REPUSIC,SLO,3t5z 9 9,0t1z 0 1,
17,MIA,KRAMPL,SLO,3t4z 5 9,0t1z 0 2,
17,SOFYA,YOKOYAMA,SUI,4t4z 21 15,0t1z 0 2,
19,LAURA,ROGORA,ITA,4t4z 15 12,0t1z 0 3,
20,LUCE,DOUADY,FRA,3t4z 4 5,0t1z 0 6,
21,AFRA,HÖNIG,GER,3t4z 11 10,,
21,VITA,LUKAN,SLO,3t5z 11 20,,
23,NATALIA,GROSSMAN,USA,3t5z 12 15,,
23,ELENA,KRASOVSKAIA,RUS,3t4z 12 13,,
25,JAIN,KIM,KOR,3t4z 12 17,,
25,VIKTORIIA,MESHKOVA,RUS,3t4z 6 11,,
27,ANDREA,KÜMIN,SUI,3t4z 6 14,,
27,SOL,SA,KOR,3t4z 14 15,,
29,LUIZA,EMELEVA,RUS,3t4z 15 16,,
29,ASHIMA,SHIRAISHI,USA,3t4z 12 12,,
31,OCEANIA,MACKENZIE,AUS,3t3z 8 6,,
31,AI,MORI,JPN,3t3z 7 7,,
33,ALEX,JOHNSON,USA,2t4z 3 10,,
33,JESSICA,PILZ,AUT,3t3z 10 10,,
35,JOHANNA,FÄRBER,AUT,2t4z 7 9,,
35,SANDRA,LETTNER,AUT,2t5z 8 13,,
37,ANOUCK,JAUBERT,FRA,2t4z 6 11,,
37,IRINA,KUZMENKO,RUS,2t4z 11 26,,
39,MEI,KOTAKE,JPN,2t4z 12 17,,
39,ELNAZ,REKABI,IRI,2t3z 6 7,,
41,DI,NIU,CHN,2t3z 8 13,,
41,BROOKE,RABOUTOU,USA,2t3z 9 11,,
43,JULIA,CHANOURDIE,FRA,1t5z 6 18,,
43,TATIANA,SHEMULINKINA,RUS,2t3z 12 14,,
45,VALENTINA,AGUADO,ARG,2t3z 14 10,,
45,HUNG YING,LEE,TPE,1t3z 2 5,,
47,ALEJANDRA,CONTRERAS,CHI,2t2z 13 13,,
47,ALLISON,VEST,CAN,1t3z 2 6,,
49,SIENNA,KOPF,USA,1t3z 3 7,,
49,ANDREA,ROJAS,ECU,1t2z 5 8,,
51,TIFFANY,MELIUS,AUS,1t2z 6 7,,
51,MARGARYTA,ZAKHAROVA,UKR,1t3z 8 12,,
53,LAN,KIM,KOR,1t2z 7 8,,
53,YAEL,TAUB,ISR,1t1z 4 4,,
55,ELISKA,ADAMOVSKA,CZE,0t3z 0 29,,
55,RONG,JIANG,CHN,1t1z 5 5,,
57,ALEKSANDRA,MIROSLAW,POL,1t1z 9 9,,
57,IULIIA,PANTELEEVA,RUS,0t2z 0 12,,
59,PUNTARIKA,TUNYAVANICH,THA,0t2z 0 7,,
59,LUCINDA ANN,TURNBULL,AUS,0t1z 0 1,,
61,NATALIA,KALUCKA,POL,0t2z 0 20,,
61,THAIS MAKINO,SHIRAIWA,BRA,0t1z 0 2,,
63,YUZHEN,BAIMA,CHN,0t1z 0 5,,
63,ALEKSANDRA,KALUCKA,POL,0t2z 0 23,,
65,MARGARITA,AGAMBAYEVA,KAZ,0t1z 0 6,,
65,YILING,SONG,CHN,0t1z 0 7,,
65,TAMARA,ULZHABAYEVA,KAZ,0t1z 0 6,,
68,PRATEEKSHA,ARUN,IND,0t0z 0 0,,
68,ANNA,DAVEY,AUS,0t0z 0 0,,
