Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | 31   22. [9.07],37+,34+
2,ALEXANDER,MEGOS,GER,top  1. | 32+  7. [6.06],40+,33+
3,JAKOB,SCHUBERT,AUT,top  1. | top  1. [3.50],30+,33+
4,TOMOA,NARASAKI,JPN,top  1. | top  1. [3.50],38,30
5,SEAN,MCCOLL,CAN,31+  9. | top  1. [5.61],37+,30
6,STEFANO,GHISOLFI,ITA,28+  18. | top  1. [8.05],29+,29+
7,KAI,HARADA,JPN,32+  8. | top  1. [5.29],31+,28+
8,HANNES,PUMAN,SWE,29+  11. | 32+  7. [11.68],29+,27+
9,JAKUB,KONECNY,CZE,30+  10. | 32   15. [12.25],29+,
10,DOMEN,SKOFIC,SLO,29   16. | 31+  16. [17.47],29+,
11,TIM,REUSER,NED,27   23. | 31   22. [23.99],28+,
12,MEICHI,NARASAKI,JPN,28   20. | 29   30. [24.49],28+,
13,DMITRII,FAKIRIANOV,RUS,top  1. | 32+  7. [6.06],27+,
14,KOKORO,FUJII,JPN,29+  11. | 32+  7. [11.68],26+,
15,MARTIN,STRANIK,CZE,27   23. | 32+  7. [16.04],26+,
16,RUDOLPH,RUANA,USA,25   33. | 32+  7. [18.89],26+,
17,WILLIAM,BOSI,GBR,27   23. | 31+  16. [21.29],26+,
17,HANWOOL,KIM,KOR,27   23. | 31+  16. [21.29],26+,
19,MARCELLO,BOMBARDI,ITA,22+  46. | 32+  7. [22.10],26+,
20,MARTIN,BERGANT,SLO,29+  11. | 27   38. [22.95],26+,
21,SEAN,BAILEY,USA,29+  11. | 31   22. [17.48],26,
22,HIDEMASA,NISHIDA,JPN,26.5   27. | 31+  16. [22.35],26,
23,SASCHA,LEHMANN,SUI,top  1. | top  1. [3.50],25+,
24,JONGWON,CHON,KOR,27+  21. | 31+  16. [19.94],25+,
25,ROMAIN,DESGRANGES,FRA,33+  7. | 32+  7. [8.57],21+,
26,VLADISLAV,SHEVCHENKO,RUS,29+  11. | 28   33. [21.02],14+,
27,LUKA,POTOCAR,SLO,28+  18. | 28   33. [25.08],,
28,JERNEJ,KRUDER,SLO,27+  21. | 28+  31. [26.02],,
29,KEITA,DOHI,JPN,24+  36. | 31+  16. [26.16],,
30,NATHANIEL,COLEMAN,USA,26+  28. | 30   28. [28.25],,
31,ALBERTO,GINÉS LÓPEZ,ESP,29   16. | 24   48. [28.43],,
32,TOM,O'HALLORAN,AUS,24   39. | 31   22. [30.66],,
33,JAN,HOJER,GER,25+  31. | 28   33. [32.73],,
34,NICOLAS,COLLIN,BEL,24+  36. | 29+  29. [32.76],,
35,EVGENII,ZAZULIN,RUS,26+  28. | 26+  44. [35.41],,
36,JABEE,KIM,KOR,25+  31. | 27   38. [35.72],,
37,MIKEL ASIER,LINACISORO MOLINA,ESP,25   33. | 27   38. [37.11],,
38,YUFEI,PAN,CHN,20   53. | 30+  26. [37.83],,
39,MICHAEL,PICCOLRUAZ,ITA,23+  42. | 27+  36. [39.39],,
40,YANNICK,FLOHÉ,GER,19+  56. | 30+  26. [39.54],,
41,MANUEL,CORNU,FRA,25   33. | 24+  47. [39.97],,
42,ANZE,PEHARC,SLO,23+  42. | 27   38. [41.49],,
43,CHEUNG-CHI SHOJI,CHAN,HKG,22   48. | 27+  36. [42.29],,
44,ALEX,KHAZANOV,ISR,19+  56. | 28+  31. [43.11],,
45,WILLIAM,RIDAL,GBR,24+  36. | 23+  51. [43.65],,
46,YUVAL,SHEMLA,ISR,24   39. | 24   48. [44.27],,
47,JOHN,BROSLER,USA,23   44. | 25+  45. [44.75],,
48,NIKOLAI,IARILOVETS,RUS,26   30. | 14   70. [46.80],,
