Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,top  1. | top  1. [1.22],38+,43+
2,MIA,KRAMPL,SLO,35+  6. | 32   7. [7.35],34,39+
3,AI,MORI,JPN,39+  2. | top  1. [1.73],34+,38+
4,CHAEHYUN,SEO,KOR,34   8. | 38   4. [5.66],32,38+
5,AKIYO,NOGUCHI,JPN,34+  7. | 33+  6. [6.48],32,38+
6,JESSICA,PILZ,AUT,37+  3. | 31+  12. [8.26],30+,35+
7,VITA,LUKAN,SLO,28   21. | 31+  12. [21.18],35,30+
8,JULIA,CHANOURDIE,FRA,31+  10. | 31+  12. [14.97],30+,30+
9,LUCKA,RAKOVEC,SLO,28+  19. | 31+  12. [19.50],30+,
10,ANAK,VERHOEVEN,BEL,37+  3. | 38+  3. [3.24],30,
11,MEI,KOTAKE,JPN,21+  46. | 32   7. [21.42],29+,
12,TJASA,KALAN,SLO,31+  10. | 31+  12. [14.97],29,
13,TINA JOHNSEN,HAFSAAS,NOR,30+  14. | 30   32. [22.20],29,
14,FUTABA,ITO,JPN,32+  9. | 32   7. [9.00],28+,
15,BROOKE,RABOUTOU,USA,29+  16. | 31+  12. [18.21],28+,
16,IEVGENIIA,KAZBEKOVA,UKR,29+  16. | 31+  12. [18.21],27,
17,ALEJANDRA,CONTRERAS,CHI,26+  29. | 31+  12. [24.98],24+,
17,SHAUNA,COXSEY,GBR,26+  29. | 31+  12. [24.98],24+,
19,MOLLY,THOMPSON-SMITH,GBR,31+  10. | 32   7. [10.17],24,
20,LAURA,ROGORA,ITA,28+  19. | 31+  12. [19.50],24,
21,SANDRA,LETTNER,AUT,26+  29. | 31+  12. [24.98],24,
22,JAIN,KIM,KOR,36+  5. | 36   5. [5.00],22+,
23,ELNAZ,REKABI,IRI,28   21. | 31+  12. [21.18],16+,
24,YUETONG,ZHANG,CHN,30+  14. | 32   7. [11.42],14+,
25,IVA,ONDRA,CZE,28   21. | 31   28. [25.83],14+,
26,MIHO,NONAKA,JPN,27+  26. | 31+  12. [22.95],,
27,CHRISTINE,SCHRANZ,AUT,31+  10. | 24+  54. [26.27],,
