Rank,Name,,Country,Qualification,Final
1,LUDOVICO,FOSSALI,ITA,5.970,6.87
2,JAN,KRIZ,CZE,6.030,fall
3,STANISLAV,KOKORIN,RUS,6.088,5.83
4,DANYIL,BOLDYREV,UKR,5.889,5.93
5,KOSTIANTYN,PAVLENKO,UKR,5.966,5.86
6,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.757,7.24
7,RISHAT,KHAIBULLIN,KAZ,6.051,7.61
8,QIXIN,ZHONG,CHN,6.086,false start
9,VLADISLAV,DEULIN,RUS,5.647,5.61
10,ZHIYONG,OU,CHN,6.011,6.07
11,DMITRII,TIMOFEEV,RUS,5.542,6.15
12,LONG,CAO,CHN,5.790,6.44
13,BASSA,MAWEM,FRA,5.730,7.47
14,JOHN,BROSLER,USA,6.051,9.38
15,AMIR,MAIMURATOV,KAZ,5.937,fall
16,SERGEI,RUKIN,RUS,5.959,fall
17,MEHDI,ALIPOUR SHENAZANDIFARD,IRI,6.115,
18,GIAN LUCA,ZODDA,ITA,6.133,
19,MARCIN,DZIENSKI,POL,6.165,
20,CARLOS,GRANJA,ECU,6.209,
21,MICKAEL,MAWEM,FRA,6.280,
22,TOMOA,NARASAKI,JPN,6.292,
23,ZHAXI,BIANBA,CHN,6.351,
24,ALEKSANDR,SHIKOV,RUS,6.351,
25,JOE,GOODACRE,USA,6.416,
26,NIKOLAI,IARILOVETS,RUS,6.458,
27,CHEUNG-CHI SHOJI,CHAN,HKG,6.487,
28,DANNY,VALENCIA,ECU,6.628,
29,KOKORO,FUJII,JPN,6.640,
30,MICHAEL,PICCOLRUAZ,ITA,6.827,
31,YUFEI,PAN,CHN,6.828,
32,KAI,HARADA,JPN,6.887,
33,JONGWON,CHON,KOR,6.932,
34,NATHANIEL,COLEMAN,USA,6.933,
35,JAN,HOJER,GER,6.943,
36,SINGH,ADARSH,IND,6.984,
37,SEAN,MCCOLL,CAN,6.997,
38,MEICHI,NARASAKI,JPN,7.042,
39,KEITA,DOHI,JPN,7.123,
40,WILLIAM,BOSI,GBR,7.309,
41,MANUEL,CORNU,FRA,7.333,
42,NICOLAS,COLLIN,BEL,7.354,
43,FELIPE,HO FOGANHOLO,BRA,7.360,
44,STEFANO,GHISOLFI,ITA,7.364,
45,ALBERTO,GINÉS LÓPEZ,ESP,7.397,
46,HANWOOL,KIM,KOR,7.430,
47,RUDOLPH,RUANA,USA,7.441,
48,SASCHA,LEHMANN,SUI,7.475,
49,WINAI,RUANGRIT,THA,7.553,
50,JERNEJ,KRUDER,SLO,7.569,
51,WILLIAM,RIDAL,GBR,7.610,
52,MIKEL ASIER,LINACISORO MOLINA,ESP,7.657,
53,DOHYUN,LEE,KOR,7.661,
54,CHI-FUNG,AU,HKG,7.678,
55,MARCELLO,BOMBARDI,ITA,7.707,
56,YANNICK,FLOHÉ,GER,7.752,
57,CHINGKHEINGANBA,MAIBAM,IND,7.830,
58,ADAM,ONDRA,CZE,7.867,
59,JAKOB,SCHUBERT,AUT,7.940,
60,ALEX,KHAZANOV,ISR,7.972,
61,JABEE,KIM,KOR,7.974,
62,CALRIN,CURTIS,RSA,7.981,
63,SIRAPOB,JIRAJATURAPAK,THA,7.998,
64,TIM,REUSER,NED,8.026,
65,SEAN,BAILEY,USA,8.137,
66,KA-CHUN,YAU,HKG,8.143,
67,NIMROD,MARCUS,ISR,8.277,
68,BEN,ABEL,AUS,8.322,
69,PHANUPHONG,BUNPRAKOP,THA,8.342,
70,SAM,LAVENDER,AUS,8.532,
71,LOÏC,TIMMERMANS,BEL,8.598,
72,GAURAV,KUMAR,IND,8.598,
73,ZACH,GALLA,USA,8.696,
74,RAM,LEVIN,ISR,8.848,
75,ALEXANDER,MEGOS,GER,8.945,
76,ANZE,PEHARC,SLO,9.009,
77,JASON,HOLOWACH,CAN,9.198,
78,CESAR,GROSSO,BRA,9.202,
79,HANNES,PUMAN,SWE,9.277,
80,EMMANUEL,ESTRADA DE ARTOLA,MEX,9.366,
81,CAMPBELL,HARRISON,AUS,9.546,
82,GEORGE,SANDERS,NZL,9.727,
83,DOMEN,SKOFIC,SLO,9.786,
84,SAHIL,KHAN,IND,9.833,
85,MARTIN,STRANIK,CZE,9.912,
86,YUVAL,SHEMLA,ISR,10.062,
87,YARDEN,PILPEL,ISR,10.222,
88,JAKUB,KONECNY,CZE,10.386,
89,EMILIO,VALDEZ GARDUÑO,MEX,10.423,
90,THOMAS,WALDIN,NZL,10.499,
91,SANTIAGO,GARCIA,ARG,10.571,
92,HRITIK,MARNE,IND,11.580,
93,ROMAIN,DESGRANGES,FRA,11.732,
94,OR,MINIELY,ISR,12.334,
95,JAVIER IVÁN,MOLINA FRANCO,MEX,13.306,
96,ZAHEER,AHMAD,PAK,false start,
96,PENGHUI,LIN,CHN,false start,
96,DAVOUD,REKABI,IRI,false start,
96,KRITSADAKORN,THONGMUNG,THA,false start,
