Rank,Name,,Country,Qualification,Final
1,ALEKSANDRA,MIROSLAW,POL,7.377,7.12
2,DI,NIU,CHN,8.026,8.36
3,ANOUCK,JAUBERT,FRA,7.454,7.53
4,YILING,SONG,CHN,7.698,9.76
5,ALEKSANDRA,KALUCKA,POL,8.227,7.60
6,MARIIA,KRASAVINA,RUS,7.414,7.99
7,PATRYCJA,CHUDZIAK,POL,7.946,8.00
8,ELIZAVETA,IVANOVA,RUS,7.806,10.18
9,MINGWEI,NI,CHN,8.623,7.81
10,NATALIA,KALUCKA,POL,7.866,7.89
11,ANNA,BROZEK,POL,8.197,7.94
12,PEIYANG,TIAN,CHN,8.119,8.08
13,ANDREA,ROJAS,ECU,8.431,8.20
14,IULIIA,KAPLINA,RUS,7.509,8.46
15,AURELIA,SARISSON,FRA,8.246,10.50
16,ELENA,REMIZOVA,RUS,7.974,fall
17,ELENA,KRASOVSKAIA,RUS,8.709,
18,ASSEL,MARLENOVA,KAZ,8.859,
19,HUNG YING,LEE,TPE,8.909,
20,TETIANA,KOLKOTINA,UKR,8.965,
21,SOL,SA,KOR,9.061,
22,OCEANIA,MACKENZIE,AUS,9.121,
23,JANJA,GARNBRET,SLO,9.157,
24,BROOKE,RABOUTOU,USA,9.228,
25,MIHO,NONAKA,JPN,9.229,
26,MARGARITA,AGAMBAYEVA,KAZ,9.280,
27,FUTABA,ITO,JPN,9.292,
28,JULIA,CHANOURDIE,FRA,9.337,
29,ALANNAH,YIP,CAN,9.374,
30,ELNAZ,REKABI,IRI,9.380,
31,TAMARA,ULZHABAYEVA,KAZ,9.407,
32,KYRA,CONDIE,USA,9.428,
33,SIENNA,KOPF,USA,9.459,
34,AKIYO,NOGUCHI,JPN,9.478,
35,ALEJANDRA,CONTRERAS,CHI,9.601,
36,RONG,JIANG,CHN,9.644,
37,PETRA,KLINGLER,SUI,9.655,
38,SANDRA,LETTNER,AUT,9.731,
39,NATALIA,GROSSMAN,USA,9.751,
40,VIKTORIIA,MESHKOVA,RUS,9.809,
41,SHAUNA,COXSEY,GBR,9.840,
42,SOFYA,YOKOYAMA,SUI,9.856,
43,JESSICA,PILZ,AUT,9.863,
44,NANAKO,KURA,JPN,9.890,
45,YUETONG,ZHANG,CHN,10.178,
46,FANNY,GIBERT,FRA,10.251,
47,LUCKA,RAKOVEC,SLO,10.436,
48,LAURA,ROGORA,ITA,10.518,
49,VALENTINA,AGUADO,ARG,10.633,
50,CHAEHYUN,SEO,KOR,10.706,
51,ANDREA,KÜMIN,SUI,10.925,
52,ALEX,JOHNSON,USA,11.174,
53,IEVGENIIA,KAZBEKOVA,UKR,11.179,
54,TIFFANY,MELIUS,AUS,11.524,
55,PUNTARIKA,TUNYAVANICH,THA,11.810,
56,ANNE-SOPHIE,KOLLER,SUI,11.878,
57,MEI,KOTAKE,JPN,12.164,
58,GRACE,CROWLEY,AUS,12.244,
59,JAIN,KIM,KOR,12.356,
60,AI,MORI,JPN,12.974,
61,ASHIMA,SHIRAISHI,USA,12.975,
62,WAI-PING,YU,HKG,13.032,
63,THAIS MAKINO,SHIRAIWA,BRA,13.066,
64,LAN,KIM,KOR,13.080,
65,VITA,LUKAN,SLO,13.446,
66,JENNIFER MARIE,DE LA TORRE,MEX,13.509,
67,ARANTZA,FERNÁNDEZ GUTIERREZ,MEX,13.588,
68,PRATTHANA,RAKSACHAT,THA,13.615,
69,MIA,KRAMPL,SLO,13.822,
70,VALERIA,MACIAS FERREIRA,MEX,13.872,
71,AFRA,HÖNIG,GER,14.041,
72,JAYATI,GADAMSHETTY,IND,14.182,
73,BIANCA,MAGALHAES DE CASTRO,BRA,14.668,
74,ARANTZA,LUNA VELASCO,MEX,15.058,
75,RACHELLE,DE CHARMOY,RSA,15.075,
76,SARAH,TETZLAFF,NZL,15.367,
77,PRATEEKSHA,ARUN,IND,15.494,
78,REBECCA,FRANGOS,CAN,15.569,
79,LUCINDA ANN,STIRLING,AUS,16.069,
80,MARÍA FERNANDA,GONZÁLEZ RÁMIREZ,MEX,18.339,
81,DHANSHRI,LEKURWALA,IND,20.085,
82,SIDDHI SHEKHAR,MANERIKAR,IND,21.796,
83,JOANNA,NEAME,GBR,false start,
