Rank,Name,,Country,Qualification,Semi-Final,Final
1,HIROTO,SHIMIZU,JPN,38+  3. | 38+  6. [5.81],32+,38+
2,ALBERTO,GINÉS LÓPEZ,ESP,34+  9. | top  1. [5.61],top,36+
3,STEFANO,GHISOLFI,ITA,38+  3. | top  1. [3.67],32+,32+
4,YUKI,HADA,JPN,38+  3. | top  1. [3.67],31+,28+
5,JESSE,GRUPPER,USA,31+  14. | 17+  30. [22.62],30+,28+
6,SEAN,MCCOLL,CAN,38+  3. | 2+  54. [15.59],34,27+
7,LOÏC,TIMMERMANS,BEL,30+  19. | 33+  13. [16.72],30+,22+
8,SEAN,BAILEY,USA,35+  7. | 31+  16. [11.29],34,19+
9,MEICHI,NARASAKI,JPN,31+  14. | 17+  30. [22.62],30+,19+
10,SHUTA,TANAKA,JPN,13+  39. | 38+  6. [18.47],30,
11,JAMES,POPE,GBR,32+  13. | 35+  10. [11.68],25+,
12,REI,SUGIMOTO,JPN,30   25. | 31+  16. [20.82],25+,
13,TAISEI,HOMMA,JPN,13+  39. | 35+  10. [21.86],25+,
14,SIMON,LORENZI,BEL,30   25. | 25+  21. [23.69],25+,
15,SEBASTIAN,HALENKE,GER,30+  19. | 31+  16. [19.12],25,
16,NIKOLAI,IARILOVETS,RUS,30+  19. | 18+  25. [23.87],24,
17,JAKUB,KONECNY,CZE,29+  27. | 32+  14. [19.79],22+,
18,FEDIR,SAMOILOV,UKR,top  1. | top  1. [2.12],10+,
19,KEIICHIRO,KORENAGA,JPN,top  1. | 38+  6. [3.35],10+,
20,KOKORO,FUJII,JPN,34+  9. | top  1. [5.61],10+,
21,RUDOLPH,RUANA,USA,31+  14. | 34+  12. [13.64],10+,
22,HANWOOL,KIM,KOR,34+  9. | 18+  25. [16.68],10+,
23,NATHANIEL,COLEMAN,USA,30+  19. | 25+  21. [21.75],10+,
24,MARCELLO,BOMBARDI,ITA,31+  14. | 17+  30. [22.62],10+,
25,KAI,HARADA,JPN,35+  7. | 38+  6. [7.50],1.5+,
26,MATHIAS,POSCH,AUT,34+  9. | 3+  49. [22.80],1.5+,
27,TAISEI,ISHIMATSU,JPN,29   28. | 25+  21. [24.82],,
28,HANNES,PUMAN,SWE,13+  39. | 32+  14. [25.69],,
29,CHRISTOPH,HANKE,GER,24+  35. | 28   20. [26.46],,
30,NICOLAS,COLLIN,BEL,30+  19. | 17+  30. [26.64],,
30,MARTIN,STRANIK,CZE,30+  19. | 17+  30. [26.64],,
32,SUNGSU,LEE,KOR,26   31. | 20   24. [27.50],,
33,NAO,MONCHOIS,FRA,31   18. | 13   44. [28.14],,
34,ALEX,KHAZANOV,ISR,13+  39. | 28+  19. [29.40],,
35,MIKEL ASIER,LINACISORO MOLINA,ESP,25+  33. | 18+  25. [29.57],,
36,ANZE,PEHARC,SLO,27+  29. | 17+  30. [31.20],,
36,MICHAEL,PICCOLRUAZ,ITA,27+  29. | 17+  30. [31.20],,
38,ROMAIN,DESGRANGES,FRA,15   38. | 18+  25. [31.73],,
39,DOHYUN,LEE,KOR,26   31. | 16+  39. [35.50],,
40,KA-CHUN,YAU,HKG,25   34. | 17   37. [35.71],,
41,HIDEMASA,NISHIDA,JPN,13+  39. | 18   29. [36.32],,
42,WINAI,RUANGRIT,THA,19   36. | 17   37. [37.00],,
43,FATCHUR,ROJI,INA,19   36. | 15+  42. [39.15],,
44,CHI-FUNG,AU,HKG,13+  39. | 16+  39. [42.66],,
44,ALEKSANDR,SHIKOV,RUS,13+  39. | 16+  39. [42.66],,
46,TEERAPHON,BOONDECH,THA,13+  39. | 15   43. [44.23],,
47,JOSHUA,DAMASCO,AUS,13+  39. | 12+  45. [46.00],,
47,ALFIAN,MUHAMMAD FAJRI,INA,13+  39. | 12+  45. [46.00],,
47,MYKHAYIL,TKACHUK,UKR,13+  39. | 12+  45. [46.00],,
47,QIXIN,ZHONG,CHN,13+  39. | 12+  45. [46.00],,
51,JAN,KRIZ,CZE,13+  39. | 3+  49. [47.46],,
52,JOHN,BROSLER,USA,13+  39. | 3   51. [48.64],,
53,ASPAR,ASPAR,INA,13   53. | 3   51. [52.50],,
54,MARCIN,DZIENSKI,POL,10+  54. | 3   51. [52.99],,
