Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [4.18],39+,top
2,KAI,HARADA,JPN,top  1. | top  1. [4.18],35+,32
3,ALBERTO,GINÉS LÓPEZ,ESP,top  1. | top  1. [4.18],29+,31.5+
4,SEAN,MCCOLL,CAN,37+  7. | 35   12. [11.96],27+,30+
5,KOKORO,FUJII,JPN,top  1. | top  1. [4.18],28+,27+
6,STEFANO,GHISOLFI,ITA,top  1. | top  1. [4.18],30+,25+
7,JAKOB,SCHUBERT,AUT,37+  7. | top  1. [7.42],37+,12+
8,MARTIN,STRANIK,CZE,37+  7. | 35   12. [11.96],30+,12+
9,REI,SUGIMOTO,JPN,19.8   57. | 36+  11. [25.26],27+,
10,DMITRII,FAKIRIANOV,RUS,36+  16. | 34   18. [17.47],26+,
11,FEDIR,SAMOILOV,UKR,19.5   60. | top  1. [17.68],26+,
12,ROMAIN,DESGRANGES,FRA,31+  29. | top  1. [12.14],23+,
13,LUKA,POTOCAR,SLO,37+  7. | 30+  22. [15.73],23+,
14,SEAN,BAILEY,USA,32   26. | 38   10. [16.43],23,
15,MARTIN,BERGANT,SLO,37+  7. | 29   25. [17.86],22+,
16,ANZE,PEHARC,SLO,37+  7. | 23+  43. [22.25],22+,
17,YANNICK,FLOHÉ,GER,31+  29. | 30+  22. [25.76],22+,
18,MARCELLO,BOMBARDI,ITA,37+  7. | 34+  15. [13.27],22,
19,HAMISH,MCARTHUR,GBR,33+  18. | 34+  15. [17.20],19,
20,SEBASTIAN,HALENKE,GER,top  1. | 32   21. [8.57],18,
21,NAO,MONCHOIS,FRA,37+  7. | 20   52. [24.03],17,
22,TAISEI,HOMMA,JPN,33   20. | top  1. [10.37],13+,
23,JAMES,POPE,GBR,33+  18. | 35   12. [15.51],13+,
24,JESSE,GRUPPER,USA,37+  7. | 34+  15. [13.27],13,
25,JAKUB,KONECNY,CZE,31   31. | 34   18. [24.33],12+,
26,WILLIAM,BOSI,GBR,33   20. | 30   24. [22.72],11,
27,LOÏC,TIMMERMANS,BEL,32+  24. | 29   25. [26.66],,
28,MAX,RUDIGIER,AUT,36+  16. | 23+  43. [27.25],,
29,YUKI,HADA,JPN,26+  35. | 33   20. [27.39],,
30,HANNES,PUMAN,SWE,32   26. | 29   25. [27.98],,
30,FRANCESCO,VETTORATA,ITA,32   26. | 29   25. [27.98],,
32,HANWOOL,KIM,KOR,31   31. | 29   25. [30.46],,
33,MEICHI,NARASAKI,JPN,33   20. | 23+  43. [31.10],,
34,JONGWON,CHON,KOR,27+  34. | 29   25. [31.40],,
35,TIM,REUSER,NED,26+  35. | 29   25. [32.98],,
36,ALFONS,DORNAUER,AUT,32+  24. | 23+  43. [33.20],,
37,NIKOLAI,IARILOVETS,RUS,26   41. | 29   25. [35.31],,
38,NIMROD,MARCUS,ISR,26+  35. | 26+  35. [36.49],,
39,MARK,BRAND,NED,33   20. | 16+  61. [37.09],,
40,MATTHIAS,SCHIESTL,AUT,22+  51. | 29   25. [38.46],,
41,KEITA,DOHI,JPN,26+  35. | 25   41. [39.45],,
42,JERNEJ,KRUDER,SLO,26   41. | 25+  37. [40.69],,
43,ALEKSEY,RUBTSOV,RUS,24+  46. | 25+  37. [42.08],,
44,KIM,MARSCHNER,GER,31   31. | 18   56. [42.33],,
45,ZIGA,ZAJC,SLO,24   47. | 25+  37. [42.54],,
46,HAROLD,PEETERS,BEL,26+  35. | 23   48. [42.65],,
47,MICHAEL,PICCOLRUAZ,ITA,26   41. | 22+  50. [46.37],,
48,JABEE,KIM,KOR,26   41. | 20   52. [47.51],,
49,MIKEL ASIER,LINACISORO MOLINA,ESP,19.8+  56. | 25   41. [48.21],,
50,FLORIAN,KLINGLER,AUT,18+  68. | 27   34. [48.26],,
51,VADIM,TIMONOV,RUS,22   52. | 23+  43. [48.61],,
52,MILAN,PRESKAR,SLO,19   67. | 26+  35. [48.77],,
53,SÉBASTIEN,BERTHE,BEL,26+  35. | 16+  61. [48.99],,
54,NICOLAS,COLLIN,BEL,19+  66. | 25+  37. [50.41],,
55,PHILIPP,MARTIN,GER,21+  54. | 23   48. [51.41],,
56,ANDREJ,POLAK,SLO,23   48. | 18+  55. [51.91],,
57,ALISTAIR,DUVAL,FRA,26   41. | 16+  61. [52.46],,
58,CESAR,GROSSO,BRA,19.8   57. | 21   51. [54.39],,
59,DOHYUN,LEE,KOR,22   52. | 17+  57. [55.42],,
60,LOUIS,GUNDOLF,AUT,23   48. | 16+  61. [56.00],,
60,MYKHAYIL,TKACHUK,UKR,23   48. | 16+  61. [56.00],,
62,MAX,KLEESATTEL,GER,19.5   60. | 19   54. [58.09],,
63,CHEUNG-CHI SHOJI,CHAN,HKG,21+  54. | 16+  61. [59.06],,
64,SIMON,POTUCEK,CZE,19.5   60. | 17+  57. [60.47],,
65,LETO,CAVÉ,NED,19.8   57. | 16+  61. [60.93],,
66,KA-CHUN,YAU,HKG,18+  68. | 17+  57. [63.30],,
67,KIERAN,FORREST,GBR,14+  70. | 17+  57. [64.22],,
68,CHI-FUNG,AU,HKG,19.5   60. | 15+  68. [65.43],,
68,ALEKSANDR,SHIKOV,RUS,19.5   60. | 15+  68. [65.43],,
70,JOHN,BROSLER,USA,19.5   60. | 13+  71. [66.61],,
71,SIMÓN,PADIN,ARG,13+  72. | 14   70. [70.99],,
72,JAN,KRIZ,CZE,14+  70. | 8+  72. [71.25],,
