Rank,Name,,Country,Qualification,Semi-Final,Final
1,CHAEHYUN,SEO,KOR,top  1. | 29+  5. [6.48],38,34.5+
2,JESSICA,PILZ,AUT,top  1. | 29+  5. [6.48],34+,34.5
3,LUCKA,RAKOVEC,SLO,36+  14. | 29+  5. [9.33],38+,34+
4,ANAK,VERHOEVEN,BEL,top  1. | 35+  3. [4.58],34+,34+
5,AI,MORI,JPN,top  1. | top  1. [2.65],38+,20+
6,NATSUMI,HIRANO,JPN,top  1. | 27+  8. [8.37],37+,20+
7,MIA,KRAMPL,SLO,top  1. | 32+  4. [5.29],34+,20+
8,MEI,KOTAKE,JPN,top  1. | 23   19. [11.68],34+,20+
9,JAIN,KIM,KOR,top  1. | 21+  24. [13.36],34+,
10,TJASA,KALAN,SLO,top  1. | 17   29. [14.25],34+,
11,LANA,SKUSEK,SLO,30   22. | 23+  15. [19.27],34+,
12,LAURA,ROGORA,ITA,36+  14. | 27+  8. [12.04],30,
13,JANJA,GARNBRET,SLO,top  1. | 39+  2. [3.74],27+,
14,KYRA,CONDIE,USA,29   31. | 27+  8. [17.61],25+,
15,MINA,MARKOVIC,SLO,top  1. | 27+  8. [8.37],20+,
16,ASHIMA,SHIRAISHI,USA,top  1. | 19+  28. [14.00],20+,
17,NOLWENN,ARC,FRA,29+  24. | 23+  15. [21.11],20+,
17,JULIA,FISER,AUT,29+  24. | 23+  15. [21.11],20+,
19,KATHERINE,CHOONG,SUI,33+  17. | 21+  24. [21.72],20+,
20,ELNAZ,REKABI,IRI,34   16. | 13+  35. [23.83],20+,
21,FANNY,GIBERT,FRA,29+  24. | 22+  21. [24.37],20+,
22,ANNE-SOPHIE,KOLLER,SUI,29+  24. | 26   14. [19.44],20,
23,FUTABA,ITO,JPN,29+  24. | 26+  13. [18.73],17+,
24,YUKI,HIROSHIGE,JPN,33+  17. | 23+  15. [17.47],17,
25,HELOÏSE,DOUMONT,BEL,33+  17. | 27+  8. [13.60],16+,
26,NIKA,POTAPOVA,UKR,top  1. | 8+  47. [18.33],13,
27,MOLLY,THOMPSON-SMITH,GBR,29+  24. | 22+  21. [24.37],13,
28,VANDA,MICHALKOVA,SVK,31+  21. | 15+  30. [25.31],,
29,MORIWAKI,HONOKA,JPN,29+  24. | 21+  24. [26.24],,
30,MICHELLE,HULLIGER,SUI,30   22. | 15   32. [27.04],,
31,EVA MARIA,HAMMELMÜLLER,AUT,23+  36. | 23   19. [27.40],,
32,SANDRA,LETTNER,AUT,28+  32. | 21+  24. [28.57],,
33,VIKTORIIA,MESHKOVA,RUS,23+  36. | 22+  21. [29.10],,
34,LYNN,VAN DER MEER,NED,33+  17. | 5+  51. [31.02],,
35,SOL,SA,KOR,26+  33. | 15+  30. [31.73],,
36,HANNAH,SCHUBERT,AUT,25+  34. | 12+  38. [36.18],,
37,CLAUDIA,GHISOLFI,ITA,23+  36. | 13+  35. [36.97],,
38,ELENA,KRASOVSKAIA,RUS,23+  36. | 12+  38. [38.50],,
39,AFRA,HÖNIG,GER,19+  44. | 14+  34. [39.33],,
40,ALEX,JOHNSON,USA,18+  49. | 15   32. [40.11],,
41,MICHAELA,SMETANOVA,CZE,23+  36. | 11+  41. [40.45],,
41,LUCIJA,TARKUS,SLO,23+  36. | 11+  41. [40.45],,
43,LAN,KIM,KOR,24+  35. | 8+  47. [40.99],,
44,ANNA,ZAIKINA,RUS,23   42. | 11+  41. [42.25],,
45,EMILY,PHILLIPS,GBR,20+  43. | 11+  41. [42.75],,
46,ALMA,BESTVATER,GER,19   48. | 12   40. [43.82],,
47,HUNG YING,LEE,TPE,11+  52. | 13   37. [43.86],,
48,MAGGIE,HAMMER,USA,19+  44. | 8+  47. [46.73],,
49,SARA,MORANDINI,ITA,18+  49. | 10+  45. [47.20],,
50,ESTELLE,PARK,USA,19+  44. | 6+  50. [47.70],,
51,WAI-PING,YU,HKG,13+  51. | 9+  46. [48.44],,
52,BIANCA,DE MAGALHAES DE CASTRO,BRA,19+  44. | 5+  51. [48.64],,
53,ALEKSANDRA,KALUCKA,POL,9   53. | 5+  51. [52.50],,
