Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,5t5z 8 5,4t4z 5 4,3t4z 6 6
2,AKIYO,NOGUCHI,JPN,3t5z 6 10,4t4z 5 4,3t4z 9 12
3,SHAUNA,COXSEY,GBR,2t4z 3 4,3t4z 5 5,2t3z 3 4
4,FANNY,GIBERT,FRA,4t5z 6 6,3t4z 3 6,1t2z 4 2
5,PETRA,KLINGLER,SUI,2t5z 8 14,3t4z 4 5,1t1z 1 1
6,OCEANIA,MACKENZIE,AUS,2t4z 4 6,3t3z 7 4,1t1z 2 2
7,ALEX,JOHNSON,USA,2t4z 2 7,2t4z 4 8,
8,KYRA,CONDIE,USA,4t5z 21 18,2t4z 4 9,
9,FUTABA,ITO,JPN,3t4z 7 7,2t4z 5 5,
10,AFRA,HÖNIG,GER,3t4z 9 8,2t3z 3 4,
11,SANDRA,LETTNER,AUT,3t5z 8 12,2t3z 5 5,
12,KATJA,DEBEVEC,SLO,2t5z 5 14,2t3z 8 6,
13,IEVGENIIA,KAZBEKOVA,UKR,2t3z 4 7,2t2z 5 4,
14,BERIT,SCHWAIGER,AUT,2t3z 10 9,2t2z 6 4,
15,ALANNAH,YIP,CAN,3t5z 10 11,1t4z 2 10,
16,LUCKA,RAKOVEC,SLO,2t3z 14 15,1t3z 4 8,
17,JULIA,CHANOURDIE,FRA,4t5z 6 8,0t3z 0 5,
17,SOL,SA,KOR,3t4z 4 4,0t3z 0 5,
19,JULIA,PINGGERA,AUT,3t4z 16 14,0t3z 0 7,
20,EMILY,PHILLIPS,GBR,4t4z 11 8,0t3z 0 8,
21,JESSICA,PILZ,AUT,1t4z 1 5,,
21,HANNAH,SLANEY,GBR,2t4z 5 9,,
23,CAMILLA,MORONI,ITA,2t4z 5 10,,
23,MATTEA,PÖTZI,AUT,1t4z 1 13,,
25,ANNA,BORELLA,ITA,2t4z 8 13,,
25,NANAKO,KURA,JPN,1t4z 2 17,,
27,AI,MORI,JPN,2t3z 2 3,,
27,YUETONG,ZHANG,CHN,1t3z 1 6,,
29,MIA,KRAMPL,SLO,1t3z 1 8,,
29,BROOKE,RABOUTOU,USA,2t3z 4 7,,
31,SOFYA,YOKOYAMA,SUI,2t3z 5 6,,
31,ANNA,ZAIKINA,RUS,1t3z 3 8,,
33,VITA,LUKAN,SLO,1t3z 6 12,,
33,VIKTORIIA,MESHKOVA,RUS,2t3z 5 8,,
35,NATSUMI,HIRANO,JPN,2t3z 6 7,,
35,JAIN,KIM,KOR,1t3z 8 14,,
37,FLORA,FROESE,AUS,1t2z 1 2,,
37,MARGO,HAYES,USA,2t3z 8 11,,
39,JULIJA,KRUDER,SLO,1t2z 3 4,,
39,URSKA,REPUSIC,SLO,2t3z 9 8,,
41,CHLOE,CAULIER,BEL,1t4z 2 4,,
41,VERA,ZIJLSTRA,NED,1t2z 4 9,,
43,NAÏLÉ,MEIGNAN,FRA,1t3z 1 4,,
43,AIDA,TORRES ILLAMOLA,ESP,1t1z 5 1,,
45,MANON,HILY,FRA,1t1z 8 4,,
45,ANDREA,KÜMIN,SUI,1t3z 1 7,,
47,VALIANTSINA,CHAMIAKINA,BLR,0t4z 0 31,,
47,HELOÏSE,DOUMONT,BEL,1t3z 3 5,,
49,ALMA,BESTVATER,GER,1t3z 4 8,,
49,FRANZISKA,STERRER,AUT,0t3z 0 6,,
51,ANOUCK,JAUBERT,FRA,0t3z 0 7,,
51,MAO,NAKAMURA,JPN,1t2z 2 2,,
53,MIRIAM,FOGU,ITA,0t3z 0 9,,
53,MICHELLE,HULLIGER,SUI,0t3z 0 5,,
53,ELISA,VAN DER WEL,GER,0t3z 0 5,,
53,JENNIFER,WOOD,GBR,0t3z 0 9,,
57,MAËLYS,AGRAPART,FRA,0t3z 0 11,,
57,HANNAH,MEUL,GER,0t3z 0 8,,
59,LUCIE,DELCOIGNE,BEL,0t3z 0 19,,
59,LAURA,ROGORA,ITA,0t3z 0 10,,
61,ELISKA,ADAMOVSKA,CZE,0t3z 0 12,,
61,MARGARYTA,ZAKHAROVA,UKR,0t2z 0 4,,
63,ANDREA,ROJAS,ECU,0t2z 0 6,,
63,KAJSA,ROSEN,SWE,0t3z 0 17,,
65,VALENTINA,AGUADO,ARG,0t2z 0 2,,
65,ANNE-SOPHIE,KOLLER,SUI,0t2z 0 11,,
65,VANDA,MICHALKOVA,SVK,0t2z 0 2,,
65,KATRINE,VANDET SALLING,DEN,0t2z 0 2,,
69,ZHUOYING,CHEN,CHN,0t2z 0 15,,
70,ASHIMA,SHIRAISHI,USA,0t1z 0 1,,
71,ELENA,KRASOVSKAIA,RUS,0t2z 0 3,,
71,IULIIA,PANTELEEVA,RUS,0t2z 0 3,,
71,ANNIKA,PIDDE,GER,0t2z 0 3,,
71,NIKA,POTAPOVA,UKR,0t1z 0 2,,
75,HANNAH,HERMANN,SUI,0t1z 0 3,,
75,HUNG YING,LEE,TPE,0t1z 0 3,,
75,YAEL,TAUB,ISR,0t1z 0 3,,
78,NATALIE,BÄRTSCHI,SUI,0t2z 0 4,,
78,LINDA,SJÖDIN,SWE,0t2z 0 4,,
78,TIBA,VROOM,NED,0t2z 0 4,,
81,MARIE,COLOT,BEL,0t1z 0 4,,
82,HEEYEON,PARK,KOR,0t1z 0 5,,
83,SANJA-RIIA,COLLIN,FIN,0t1z 0 7,,
83,ZOÉ,EGLI,SUI,0t2z 0 5,,
83,OLGA,FEDYUK,POR,0t1z 0 7,,
83,YULIYA,KEREMIDCHIEVA,BUL,0t1z 0 7,,
83,ALIAKSANDRA,MISIUKEVICH,BLR,0t1z 0 7,,
83,NIKKI,VAN BERGEN,NED,0t1z 0 7,,
89,RUT,MONSECH GASCA,ESP,0t2z 0 6,,
90,NÓRA,KIRÁLY,HUN,0t2z 0 7,,
91,GIULIA,MEDICI,ITA,0t2z 0 9,,
92,JULIA,MEIJER,NED,0t1z 0 1,,
93,NURUL,IQAMAH,INA,0t1z 0 8,,
93,RONG,JIANG,CHN,0t1z 0 2,,
93,CHOIRUL,UMI CAHYANING AYUB,INA,0t1z 0 2,,
96,BEATRIZ,COIMBRA,POR,0t0z 0 0,,
96,ANASTASIIA,EVGENEVA,RUS,0t0z 0 0,,
96,SALSABILA,SALSABILA,INA,0t0z 0 0,,
99,LISA,HARDIQUEST,BEL,0t0z 0 0,,
99,ARIES,SUSANTI RAHAYU,INA,0t0z 0 0,,
