Rank,Name,,Country,Qualification,Semi-Final,Final
1,JERNEJ,KRUDER,SLO,5t5z 7 7,2t4z 7 6,4t4z 8 6
2,ADAM,ONDRA,CZE,3t5z 8 12,4t4z 9 6,3t4z 5 7
3,YOSHIYUKI,OGATA,JPN,5t5z 15 11,2t4z 5 7,3t3z 6 5
4,ANZE,PEHARC,SLO,3t5z 7 8,2t4z 5 5,2t3z 6 6
5,REI,KAWAMATA,JPN,4t5z 13 10,2t4z 3 15,1t3z 2 6
6,VADIM,TIMONOV,RUS,4t5z 11 15,2t4z 6 6,1t3z 2 8
7,MANUEL,CORNU,FRA,3t5z 6 16,2t4z 13 16,
8,YUJI,INOUE,JPN,2t3z 5 7,2t3z 6 6,
9,KOKORO,FUJII,JPN,5t5z 10 9,1t4z 1 6,
10,JONGWON,CHON,KOR,5t5z 10 7,1t4z 1 9,
11,ALEKSEY,RUBTSOV,RUS,3t5z 4 7,1t4z 2 4,
12,JAN,HOJER,GER,4t5z 5 7,1t4z 2 9,
13,NIKOLAI,IARILOVETS,RUS,2t4z 6 16,1t4z 3 8,
14,ALBAN,LEVIER,FRA,4t5z 7 7,1t4z 3 9,
15,ALEXANDER,MEGOS,GER,3t4z 5 7,1t4z 4 5,
16,REI,SUGIMOTO,JPN,5t5z 13 10,0t4z 0 6,
17,TAISEI,ISHIMATSU,JPN,3t4z 6 8,0t4z 0 15,
18,MICKAEL,MAWEM,FRA,5t5z 8 6,0t3z 0 5,
19,TOMOAKI,TAKATA,JPN,4t5z 12 13,0t3z 0 9,
20,ALEX,KHAZANOV,ISR,5t5z 10 10,0t3z 0 15,
21,YUFEI,PAN,CHN,3t5z 9 16,,
21,TIM,REUSER,NED,1t5z 4 15,,
23,YANNICK,FLOHÉ,GER,3t5z 12 13,,
23,GREGOR,VEZONIK,SLO,1t5z 4 16,,
25,SASCHA,LEHMANN,SUI,3t5z 16 18,,
25,NATHAN,PHILLIPS,GBR,1t4z 1 13,,
27,ZACH,GALLA,USA,1t4z 3 9,,
27,JAKOB,SCHUBERT,AUT,3t4z 5 5,,
29,KIPRAS,BALTRUNAS,LTU,1t4z 4 30,,
29,WILLIAM,BOSI,GBR,3t4z 6 5,,
29,MARTIN,STRANIK,CZE,3t4z 6 5,,
32,GHOLAMALI,BARATZADEH,IRI,1t4z 5 17,,
33,ALFONS,DORNAUER,AUT,1t3z 2 9,,
33,SEAN,MCCOLL,CAN,3t4z 7 6,,
35,FLORIAN,KLINGLER,AUT,3t4z 9 9,,
35,SIMON,LORENZI,BEL,3t4z 9 9,,
35,WILLIAM,RIDAL,GBR,1t3z 3 10,,
38,DOMINIK,HAERTL,AUT,1t3z 5 8,,
39,STEFANO,GHISOLFI,ITA,3t3z 9 6,,
39,CARLOS FELIPE,GRANJA LOPEZ,ECU,1t3z 6 12,,
41,RUDOLPH,RUANA,USA,2t4z 3 8,,
41,SERGII,TOPISHKO,UKR,1t2z 2 3,,
43,MICHAEL,PICCOLRUAZ,ITA,1t2z 2 5,,
43,FEDIR,SAMOILOV,UKR,2t4z 6 5,,
45,BENJAMIN,BLASER,SUI,1t2z 2 9,,
45,THILO JELDRIK,SCHRÖTER,NOR,2t3z 2 4,,
47,LUKAS,FRANCKAERT,BEL,1t5z 7 25,,
47,DMITRII,SHARAFUTDINOV,RUS,1t2z 3 7,,
49,JOE,GOODACRE,USA,1t4z 5 11,,
49,SERGEI,LUZHETSKII,RUS,1t1z 3 3,,
51,ZAN,LOVENJAK SUDAR,SLO,0t4z 0 10,,
51,FREDRIK,SERLACHIUS,SWE,1t4z 7 18,,
53,JAN-LUCA,POSCH,AUT,0t3z 0 11,,
53,FATCHUR,ROJI,INA,1t4z 8 20,,
53,YUVAL,SHEMLA,ISR,0t3z 0 11,,
53,SERGEI,SKORODUMOV,RUS,0t3z 0 11,,
57,JEREMY,BONDER,FRA,1t3z 1 6,,
58,NIMROD,MARCUS,ISR,1t3z 2 4,,
58,FRANCESCO,VETTORATA,ITA,1t3z 2 4,,
60,KEITA,DOHI,JPN,0t3z 0 12,,
61,NICOLAS,COLLIN,BEL,1t3z 3 4,,
61,KEVIN,HEINIGER,SUI,0t2z 0 4,,
61,KIM,MARSCHNER,GER,0t2z 0 4,,
64,NILS,FAVRE,SUI,1t2z 2 4,,
65,LUDOVICO,FOSSALI,ITA,0t2z 0 5,,
65,PHILIPP,MARTIN,GER,1t2z 4 5,,
65,JAMES,POPE,GBR,0t2z 0 5,,
65,DOMEN,SKOFIC,SLO,0t2z 0 5,,
69,CHEUK-HEI,HO,HKG,1t2z 7 6,,
70,JOSH,LEVIN,USA,0t4z 0 12,,
71,MARCELLO,BOMBARDI,ITA,0t2z 0 10,,
71,CESAR,GROSSO,BRA,0t3z 0 7,,
71,YURY,NOVITSKIY,RUS,0t2z 0 10,,
74,JOHN,BROSLER,USA,0t3z 0 8,,
74,KONSTANTIN,MITIN,RUS,0t3z 0 8,,
76,GEORG,PARMA,AUT,0t1z 0 1,,
77,SAM,AVEZOU,FRA,0t3z 0 10,,
77,THEIS LINDEGREN,ELFENBEIN,DEN,0t1z 0 6,,
77,ALIAKSANDR,KLIUZHAU,BLR,0t1z 0 6,,
77,NIKITA,LOGUNOV,BLR,0t1z 0 6,,
81,NIKOLAI,MICHUROV,RUS,0t3z 0 14,,
82,LASA,TEMI,INA,0t2z 0 5,,
83,CHEUNG-CHI SHOJI,CHAN,HKG,0t2z 0 6,,
83,RISHAT,KHAIBULLIN,KAZ,0t2z 0 6,,
83,DANNY,VALENCIA,ECU,0t2z 0 6,,
83,KA-CHUN,YAU,HKG,0t1z 0 8,,
83,EVGENII,ZAZULIN,RUS,0t2z 0 6,,
88,ASPAR,ASPAR,INA,0t0z 0 0,,
88,CHI-FUNG,AU,HKG,0t0z 0 0,,
88,MAX,AYRTON,GBR,0t0z 0 0,,
88,MARK,CHAN CHONG KIAT,SGP,0t0z 0 0,,
88,CHRISTOPHER,COSSER,RSA,0t0z 0 0,,
88,TOMAS,DUCHON,CZE,0t0z 0 0,,
88,ROMAN,KUCERA,CZE,0t0z 0 0,,
88,RAM,LEVIN,ISR,0t0z 0 0,,
88,AMIR,MAIMURATOV,KAZ,0t0z 0 0,,
88,ALFIAN,MUHAMMAD FAJRI,INA,0t0z 0 0,,
88,DZMITRY,NIKANORAU,BLR,0t0z 0 0,,
88,AMIR,NOURI,IRI,0t0z 0 0,,
88,MOHAMMADAMIN,YAZDIZAD,IRI,0t0z 0 0,,
101,HANNES,PUMAN,SWE,0t2z 0 7,,
102,MAKSIM,NIKIFARAVETS,BLR,0t2z 0 8,,
103,DMITRII,FAKIRIANOV,RUS,0t1z 0 1,,
103,ODE RIFALDI,RIDJAYA,INA,0t1z 0 1,,
103,STEPAN,STRANIK,CZE,0t1z 0 1,,
106,DAVOUD,REKABI,IRI,0t1z 0 3,,
107,SINGH,ADARSH,IND,0t0z 0 0,,
107,MARCIN,DZIENSKI,POL,0t0z 0 0,,
107,ALIAKSANDR,IVANOU,BLR,0t0z 0 0,,
107,LOÏC,TIMMERMANS,BEL,0t0z 0 0,,
