Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,5t5z 5 5,2t3z 8 9,4t4z 4 4
2,SHAUNA,COXSEY,GBR,5t5z 9 8,2t3z 5 7,4t4z 6 6
3,FANNY,GIBERT,FRA,5t5z 11 11,1t4z 3 10,4t4z 6 6
4,LUCKA,RAKOVEC,SLO,3t5z 7 9,1t2z 4 5,3t4z 3 5
5,JESSICA,PILZ,AUT,3t5z 4 8,1t2z 2 3,3t4z 9 10
6,FUTABA,ITO,JPN,5t5z 14 13,0t3z 0 6,3t3z 6 6
7,SOL,SA,KOR,3t5z 5 10,0t3z 0 10,
8,PETRA,KLINGLER,SUI,5t5z 11 10,0t2z 0 3,
9,ALANNAH,YIP,CAN,4t5z 9 11,0t2z 0 4,
10,IEVGENIIA,KAZBEKOVA,UKR,3t5z 10 12,0t2z 0 6,
10,EMILY,PHILLIPS,GBR,5t5z 9 7,0t2z 0 6,
12,SANDRA,LETTNER,AUT,5t5z 10 8,0t2z 0 9,
13,YUETONG,ZHANG,CHN,3t5z 6 12,0t2z 0 11,
14,AFRA,HÖNIG,GER,4t5z 8 12,0t1z 0 1,
14,IRINA,KUZMENKO,RUS,4t5z 7 12,0t1z 0 1,
16,KYRA,CONDIE,USA,5t5z 12 5,0t1z 0 2,
17,JOHANNA,FÄRBER,AUT,3t5z 14 13,0t1z 0 3,
17,NATALIA,GROSSMAN,USA,3t5z 8 7,0t1z 0 3,
19,KATJA,DEBEVEC,SLO,4t5z 11 9,0t1z 0 4,
20,BERIT,SCHWAIGER,AUT,3t4z 5 5,0t0z 0 0,
21,SIENNA,KOPF,USA,4t5z 11 9,,
21,VIKTORIIA,MESHKOVA,RUS,3t4z 9 7,,
23,MAO,NAKAMURA,JPN,3t4z 10 9,,
23,ELNAZ,REKABI,IRI,4t5z 12 11,,
25,CHLOE,CAULIER,BEL,3t5z 4 8,,
25,ALEX,JOHNSON,USA,3t3z 6 4,,
27,NAÏLÉ,MEIGNAN,FRA,3t5z 9 11,,
27,SOFYA,YOKOYAMA,SUI,2t5z 2 12,,
29,MIA,KRAMPL,SLO,2t5z 2 16,,
29,JENNIFER,WOOD,GBR,3t5z 11 10,,
31,JULIA,CHANOURDIE,FRA,2t5z 6 9,,
31,ANNA,ZAIKINA,RUS,3t4z 9 8,,
33,NATSUMI,HIRANO,JPN,2t4z 3 9,,
33,ANDREA,KÜMIN,SUI,3t4z 13 11,,
35,HUNG YING,LEE,TPE,3t3z 7 5,,
35,ANNA,MARGOLINA,RUS,2t4z 7 18,,
37,JAIN,KIM,KOR,3t3z 9 7,,
37,LAURA,ROGORA,ITA,2t3z 2 4,,
39,VALENTINA,AGUADO,ARG,2t4z 5 10,,
39,ALMA,BESTVATER,GER,2t3z 4 4,,
41,MAËLYS,AGRAPART,FRA,2t3z 4 6,,
41,MANON,HILY,FRA,2t4z 5 12,,
43,VANDA,MICHALKOVA,SVK,2t2z 2 2,,
43,MATTEA,PÖTZI,AUT,2t4z 6 15,,
45,SIERRA,BLAIR-COYLE,USA,2t4z 8 13,,
45,HANNAH,MEUL,GER,1t3z 1 4,,
47,LUIZA,EMELEVA,RUS,2t3z 5 8,,
47,ELENA,KRASOVSKAIA,RUS,1t3z 1 6,,
47,ANNA,TSYGANOVA,RUS,1t3z 1 6,,
50,JOANNA,NEAME,GBR,2t3z 5 9,,
51,ANNE-SOPHIE,KOLLER,SUI,1t3z 2 7,,
51,JULIA,PINGGERA,AUT,1t4z 1 10,,
53,MAHYA,DARABIAN,IRI,1t3z 2 13,,
53,TIBA,VROOM,NED,1t4z 4 8,,
55,FLORA,FROESE,AUS,1t1z 1 1,,
55,NANAKO,KURA,JPN,1t3z 3 4,,
57,LEONIE,LOCHNER,GER,1t3z 4 11,,
57,IULIIA,PANTELEEVA,RUS,0t4z 0 18,,
59,EVGENIYA,LAPSHINA,RUS,0t3z 0 9,,
59,LINDA,SJÖDIN,SWE,1t2z 1 6,,
59,YILING,SONG,CHN,0t3z 0 9,,
62,VERA,ZIJLSTRA,NED,1t2z 2 3,,
63,TAMARA,ULZHABAYEVA,KAZ,1t2z 4 5,,
63,KATRINE,VANDET SALLING,DEN,0t3z 0 11,,
65,RONG,JIANG,CHN,0t4z 0 13,,
65,VIRGITA,NADYA PUTRI,INA,0t3z 0 21,,
67,HELOÏSE,DOUMONT,BEL,0t4z 0 16,,
67,ANOUCK,JAUBERT,FRA,0t2z 0 4,,
67,HEEYEON,PARK,KOR,0t2z 0 4,,
70,JULIA,MEIJER,NED,0t3z 0 9,,
71,ANASTASIIA,EVGENEVA,RUS,0t2z 0 6,,
71,NATALIA,KALUCKA,POL,0t3z 0 15,,
73,KATRIN,AMANN,SWE,0t2z 0 4,,
73,ALIAKSANDRA,MISIUKEVICH,BLR,0t2z 0 9,,
75,ZHUOYING,CHEN,CHN,0t2z 0 5,,
75,SALSABILA,SALSABILA,INA,0t2z 0 12,,
77,NASIM,BIYARJOMANDY,IRI,0t1z 0 1,,
77,NURUL,IQAMAH,INA,0t2z 0 6,,
77,NIKKI,VAN BERGEN,NED,0t1z 0 1,,
77,WAI-PING,YU,HKG,0t1z 0 1,,
81,ALEKSANDRA,KALUCKA,POL,0t1z 0 1,,
82,ELENA,VERETENNIKOVA,BLR,0t1z 0 3,,
83,VALIANTSINA,CHAMIAKINA,BLR,0t1z 0 4,,
83,ANDREA,ROJAS,ECU,0t1z 0 3,,
85,ASSEL,MARLENOVA,KAZ,0t1z 0 9,,
85,CHOIRUL,UMI CAHYANING AYUB,INA,0t1z 0 7,,
87,PATRYCJA,CHUDZIAK,POL,0t0z 0 0,,
87,VOLHA,RAK,BLR,0t0z 0 0,,
87,HANNAH,SEALY-FISHER,RSA,0t1z 0 11,,
87,ARIES,SUSANTI RAHAYU,INA,0t0z 0 0,,
91,MARGARITA,AGAMBAYEVA,KAZ,0t0z 0 0,,
91,ANNA,BROZEK,POL,0t0z 0 0,,
