Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,5t5z 6 5,3t4z 3 5,4t4z 9 8
2,AKIYO,NOGUCHI,JPN,5t5z 9 7,3t4z 6 6,3t4z 5 6
3,FANNY,GIBERT,FRA,2t4z 2 5,4t4z 9 8,2t4z 3 9
4,MIHO,NONAKA,JPN,5t5z 11 7,2t4z 2 9,2t4z 5 5
5,LUCE,DOUADY,FRA,5t5z 11 6,2t4z 3 4,1t4z 2 8
6,MAO,NAKAMURA,JPN,3t4z 8 6,2t4z 7 17,1t4z 3 10
7,NATALIA,GROSSMAN,USA,3t5z 5 8,2t4z 9 14,
8,LAURA,ROGORA,ITA,2t4z 2 5,2t4z 18 25,
9,HANNAH,MEUL,GER,3t5z 6 11,2t3z 4 5,
10,AFRA,HÖNIG,GER,2t5z 3 9,1t4z 1 6,
11,MARGO,HAYES,USA,4t4z 9 6,1t4z 2 9,
12,FUTABA,ITO,JPN,4t5z 6 7,1t4z 2 13,
13,ALEX,JOHNSON,USA,4t5z 11 7,1t4z 3 9,
14,KYRA,CONDIE,USA,4t5z 9 8,1t4z 4 5,
15,ALANNAH,YIP,CAN,4t4z 7 5,1t3z 3 12,
16,ALMA,BESTVATER,GER,4t5z 6 5,1t3z 4 8,
17,JAIN,KIM,KOR,2t5z 11 22,1t2z 3 8,
18,ALLISON,VEST,CAN,3t5z 10 17,0t4z 0 13,
19,JULIA,CHANOURDIE,FRA,4t4z 10 4,0t3z 0 4,
20,NATSUKI,TANII,JPN,3t5z 20 26,0t1z 0 1,
21,CHLOE,CAULIER,BEL,3t5z 13 16,,
21,BROOKE,RABOUTOU,USA,2t4z 2 13,,
23,JOHANNA,FÄRBER,AUT,2t4z 3 5,,
23,ASHIMA,SHIRAISHI,USA,3t4z 3 4,,
25,VALENTINA,AGUADO,ARG,3t4z 6 6,,
25,VANDA,MICHALKOVA,SVK,1t4z 1 5,,
27,SIERRA,BLAIR-COYLE,USA,3t4z 8 7,,
27,VERA,ZIJLSTRA,NED,1t4z 2 7,,
29,PAIGE,BOKLASCHUK,CAN,2t5z 5 15,,
29,JENNIFER,WOOD,GBR,1t4z 3 7,,
31,NANAKO,KURA,JPN,1t4z 4 5,,
31,BERIT,SCHWAIGER,AUT,2t4z 4 6,,
33,SIENNA,KOPF,USA,2t4z 9 13,,
33,MEI,KOTAKE,JPN,1t3z 1 3,,
35,MIA,BAWENDI,USA,1t4z 3 12,,
35,TIFFANY,MELIUS,AUS,1t3z 3 7,,
37,ALEJANDRA,CONTRERAS,CHI,1t4z 10 15,,
37,PIPER,KELLY,USA,1t3z 10 11,,
39,MADISON,FISCHER,CAN,1t3z 2 5,,
39,MOLLY,THOMPSON-SMITH,GBR,0t4z 0 7,,
41,MARIA,BENACH ZUBERO,ESP,1t3z 2 17,,
41,ALEKSANDRA,KALUCKA,POL,0t4z 0 11,,
43,MUYKUAY,SILVA,CHI,0t4z 0 18,,
43,ITZIAR,ZABALA ZURINAGA,ESP,1t3z 3 8,,
45,HEEYEON,PARK,KOR,0t3z 0 17,,
45,KATRINE,VANDET SALLING,DEN,1t3z 4 11,,
47,NATALIA,KALUCKA,POL,0t2z 0 9,,
47,LAURA,STÖCKLER,AUT,1t3z 6 10,,
49,NATALIE,BERRY,GBR,1t2z 1 3,,
49,NOELIA,VENET GALLEGOS,PER,0t2z 0 14,,
51,ANA BELÉN,ARGUDO MARUGAN,ESP,1t2z 4 4,,
51,JENNIFER MARIE,DE LA TORRE,MEX,0t1z 0 10,,
53,BEATRIX,EVANS,CAN,0t2z 0 4,,
53,SOFIA ALEJANDRA,HERRERA VEGA CENTENO,PER,0t0z 0 0,,
53,LILLY,MAGDITSCH,AUS,0t0z 0 0,,
