Rank,Name,,Country,Qualification,Semi-Final,Final
1,SASCHA,LEHMANN,SUI,23+  36. | top  1. [12.27],36+,top
2,YUFEI,PAN,CHN,17+  58. | top  1. [15.26],32,top
3,ALEXANDER,MEGOS,GER,top  1. | top  1. [2.65],31+,top
4,DOMEN,SKOFIC,SLO,top  1. | 37   7. [3.74],36+,39+
5,MEICHI,NARASAKI,JPN,32+  21. | 31+  12. [17.15],31+,39+
6,TOMOA,NARASAKI,JPN,37+  10. | 30   15. [12.65],37+,34+
7,YUKI,HADA,JPN,35+  12. | 30   15. [14.97],36+,22
8,KOKORO,FUJII,JPN,35+  12. | 29+  18. [16.94],33+,8
9,MARTIN,STRANIK,CZE,32+  21. | 29+  18. [22.41],31+,
10,HANWOOL,KIM,KOR,33+  18. | 29+  18. [19.74],30,
11,STEFANO,GHISOLFI,ITA,41+  4. | top  1. [3.74],29+,
12,LUKA,POTOCAR,SLO,36+  11. | 24+  36. [22.12],29+,
13,REI,SUGIMOTO,JPN,33+  18. | 35+  10. [13.78],29,
14,JAKOB,SCHUBERT,AUT,top  1. | top  1. [2.65],27+,
15,MARTIN,BERGANT,SLO,23+  36. | top  1. [12.27],26+,
16,MARCELLO,BOMBARDI,ITA,32+  21. | 30   15. [19.80],26+,
17,NICOLAS,COLLIN,BEL,32+  21. | 28+  24. [24.50],26+,
18,YANNICK,FLOHÉ,GER,39+  5. | 31   13. [8.46],26,
19,KAI,HARADA,JPN,39+  5. | 29+  18. [10.62],26,
20,WILLIAM,BOSI,GBR,38+  8. | 27+  26. [14.87],26,
21,SEAN,MCCOLL,CAN,35+  12. | 36+  8. [10.58],24+,
22,JESSE,GRUPPER,USA,38+  8. | 25+  30. [16.62],24+,
23,MILAN,PRESKAR,SLO,23+  36. | 32   11. [21.75],24+,
24,DOHYUN,LEE,KOR,35+  12. | 26   27. [19.80],18+,
25,THOMAS,JOANNES,FRA,17+  58. | 36   9. [24.46],17,
26,ALBERTO,GINÉS LÓPEZ,ESP,39   7. | 30+  14. [9.90],9+,
27,TAISEI,HOMMA,JPN,35+  12. | 24+  36. [24.96],,
28,SEBASTIAN,HALENKE,GER,32+  21. | 25+  30. [28.22],,
28,JAN,HOJER,GER,32+  21. | 25+  30. [28.22],,
30,RUDOLPH,RUANA,USA,31+  29. | 26   27. [28.74],,
31,ROMAIN,DESGRANGES,FRA,23+  36. | 29+  18. [29.69],,
31,HANNES,PUMAN,SWE,23+  36. | 29+  18. [29.69],,
