Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,top  1. | top  1. [1.00],top,36+
2,CHAEHYUN,SEO,KOR,33+  5. | 32   7. [6.71],48+,35+
3,AI,MORI,JPN,40+  2. | 32+  4. [3.16],47,35+
4,AKIYO,NOGUCHI,JPN,35+  3. | 31+  9. [5.77],42+,35+
5,MIA,KRAMPL,SLO,35+  3. | 33   3. [3.24],38,35+
6,LUCKA,RAKOVEC,SLO,31   8. | 30+  12. [11.14],30+,35+
7,JULIA,CHANOURDIE,FRA,28+  12. | 33+  2. [5.29],30,35+
8,NATSUKI,TANII,JPN,33+  5. | 32+  4. [5.48],39+,35
9,YUETONG,ZHANG,CHN,27+  18. | 31+  9. [15.56],29+,
10,NATSUMI,HIRANO,JPN,30   10. | 32+  4. [7.07],28+,
11,JESSICA,PILZ,AUT,33+  5. | 31   11. [8.12],28+,
12,IEVGENIIA,KAZBEKOVA,UKR,28+  12. | 29+  20. [17.75],28+,
13,MEI,KOTAKE,JPN,27+  18. | 30+  12. [19.88],28+,
13,VITA,LUKAN,SLO,27+  18. | 30+  12. [19.88],28+,
13,CAMILLE,POUGET,FRA,27+  18. | 30+  12. [19.88],28+,
13,MOLLY,THOMPSON-SMITH,GBR,27+  18. | 30+  12. [19.88],28+,
17,VIKTORIIA,MESHKOVA,RUS,27+  18. | 29+  20. [23.95],28+,
18,MIHO,NONAKA,JPN,28+  12. | 20+  45. [25.92],28+,
19,FANNY,GIBERT,FRA,27+  18. | 30+  12. [19.88],28,
20,BROOKE,RABOUTOU,USA,30+  9. | 29+  20. [14.23],26+,
21,SHAUNA,COXSEY,GBR,28+  12. | 26   32. [21.17],26+,
22,SANDRA,LETTNER,AUT,28   17. | 28+  28. [22.01],26+,
23,KATHARINA,POSCH,AUT,26+  35. | 30+  12. [24.11],26+,
24,HELOÏSE,DOUMONT,BEL,27+  18. | 29   26. [26.00],26+,
24,PETRA,KLINGLER,SUI,27+  18. | 29   26. [26.00],26+,
26,FUTABA,ITO,JPN,27+  18. | 30+  12. [19.88],18.5+,
27,JAIN,KIM,KOR,0   86. | 32   7. [25.40],,
28,CHRISTINE,SCHRANZ,AUT,29   11. | 19   66. [27.35],,
29,ELENA,KRASOVSKAIA,RUS,27+  18. | 27+  30. [27.66],,
30,LYNN,VAN DER MEER,NED,26+  35. | 29+  20. [29.05],,
31,ELISKA,ADAMOVSKA,CZE,27+  18. | 21+  33. [30.92],,
31,ALANNAH,YIP,CAN,27+  18. | 21+  33. [30.92],,
33,KYRA,CONDIE,USA,28+  12. | 14+  71. [32.08],,
34,TINA JOHNSEN,HAFSAAS,NOR,23   50. | 29+  20. [33.71],,
35,ANDREA,KÜMIN,SUI,25+  42. | 28+  28. [35.21],,
36,SOL,SA,KOR,26   41. | 27   31. [35.65],,
37,JULIA,FISER,AUT,14+  57. | 29+  20. [36.74],,
38,LAURA,ROGORA,ITA,27+  18. | 20   52. [37.62],,
38,MAGDALENA,RÖCK,AUT,27+  18. | 20   52. [37.62],,
40,LAUREN,BAIR,USA,25+  42. | 21+  33. [40.39],,
41,VALENTINA,AGUADO,ARG,27   34. | 20+  45. [40.40],,
42,NOA,SHIRAN,ISR,24+  47. | 21+  33. [42.20],,
43,LAN,KIM,KOR,27+  18. | 14+  71. [43.29],,
44,CHLOE,CAULIER,BEL,25+  42. | 21   43. [43.50],,
45,NOLWENN,ARC,FRA,15   53. | 21+  33. [45.21],,
45,MICHELLE,HULLIGER,SUI,15   53. | 21+  33. [45.21],,
47,ILARIA,SCOLARIS,ITA,26+  35. | 20   52. [45.62],,
48,AFRA,HÖNIG,GER,25   46. | 20+  45. [46.99],,
49,TJASA,KALAN,SLO,14+  57. | 21+  33. [47.43],,
49,HANNAH,SCHUBERT,AUT,14+  57. | 21+  33. [47.43],,
51,URSKA,REPUSIC,SLO,14   64. | 21+  33. [49.18],,
52,RONG,JIANG,CHN,23   50. | 20+  45. [49.23],,
53,LUIZA,EMELEVA,RUS,26+  35. | 19   66. [50.50],,
53,CLAUDIA,GHISOLFI,ITA,26+  35. | 19   66. [50.50],,
53,SOFYA,YOKOYAMA,SUI,26+  35. | 19   66. [50.50],,
56,SILVIA,CASSOL,ITA,15   53. | 20+  45. [51.15],,
57,KATHERINE,CHOONG,SUI,25+  42. | 19+  60. [52.14],,
58,CELINE,CUYPERS,BEL,24   49. | 20   52. [52.15],,
59,ANDREA,ROJAS,ECU,14   64. | 21   43. [52.97],,
60,SIENNA,KOPF,USA,16+  52. | 20   52. [53.72],,
61,LISA-MARIE,KVANDAHL,NOR,12+  76. | 21+  33. [53.91],,
62,YILING,SONG,CHN,24+  47. | 19+  60. [54.49],,
63,ALEJANDRA,CONTRERAS,CHI,15   53. | 20   52. [55.00],,
64,HUNG YING,LEE,TPE,14+  57. | 20   52. [57.71],,
65,ANNA,TSYGANOVA,RUS,13+  66. | 20+  45. [57.97],,
65,NAAMA,YOHAI,ISR,13+  66. | 20+  45. [57.97],,
67,YAEL,TAUB,ISR,14+  57. | 19+  60. [61.24],,
68,ANOUCK,JAUBERT,FRA,14+  57. | 19   66. [63.87],,
69,FITRIA,HARTANI,INA,12+  76. | 20   52. [65.58],,
70,ANNE-SOPHIE,KOLLER,SUI,13+  66. | 19+  60. [66.14],,
70,ANOUK,PIOLA,SUI,13+  66. | 19+  60. [66.14],,
72,IULIIA,PANTELEEVA,RUS,14+  57. | 14+  71. [66.41],,
73,BIANCA,DE MAGALHAES DE CASTRO,BRA,13   75. | 19+  60. [68.47],,
74,ROMY,FUCHS,GER,13+  66. | 14+  71. [71.73],,
74,JOANNA,NEAME,GBR,13+  66. | 14+  71. [71.73],,
76,MARIA,BENACH ZUBERO,ESP,13+  66. | 10+  78. [74.13],,
77,HANNAH,HERMANN,SUI,12+  76. | 14+  71. [75.47],,
78,ZOÉ,EGLI,SUI,13+  66. | 9+  81. [75.53],,
79,NURUL,IQAMAH,INA,13+  66. | 4+  85. [77.14],,
80,DI,NIU,CHN,12+  76. | 12+  77. [77.25],,
81,RACHELLE,DE CHARMOY,RSA,11+  80. | 10+  78. [79.25],,
82,ROXY,PERRY,AUS,11   81. | 10   80. [80.99],,
83,AMANDA,SPEED,NZL,11   81. | 9+  81. [81.75],,
84,SARAH,TETZLAFF,NZL,11   81. | 5   84. [82.99],,
85,ARIES,SUSANTI RAHAYU,INA,10   84. | 7   83. [83.50],,
86,JENNIFER MARIE,DE LA TORRE,MEX,8   85. | 4   86. [85.50],,
