Rank,Name,,Country,Qualification,Semi-Final,Final
1,TOMOA,NARASAKI,JPN,5t5z 8 7,3t4z 13 5,3t4z 7 8
2,KAI,HARADA,JPN,5t5z 5 5,3t3z 9 8,3t4z 7 13
3,JAKOB,SCHUBERT,AUT,5t5z 8 7,2t3z 3 3,1t4z 2 9
4,KEITA,DOHI,JPN,4t5z 6 8,2t3z 10 5,1t4z 2 9
5,KOKORO,FUJII,JPN,5t5z 8 6,3t4z 11 10,1t4z 3 18
6,JAN,HOJER,GER,5t5z 8 5,2t3z 3 4,1t3z 9 11
7,REI,SUGIMOTO,JPN,5t5z 10 6,1t4z 8 13,
8,YUFEI,PAN,CHN,5t5z 10 6,1t3z 3 7,
9,YOSHIYUKI,OGATA,JPN,5t5z 10 6,1t3z 4 6,
10,ALEKSEY,RUBTSOV,RUS,5t5z 7 7,1t3z 8 6,
11,JONGWON,CHON,KOR,5t5z 7 5,1t2z 2 2,
12,NATHANIEL,COLEMAN,USA,5t5z 13 6,1t2z 3 4,
13,SERGEI,SKORODUMOV,RUS,4t5z 5 5,1t2z 6 6,
14,ADAM,ONDRA,CZE,5t5z 7 6,0t3z 0 3,
15,GREGOR,VEZONIK,SLO,4t5z 4 6,0t3z 0 4,
16,JERNEJ,KRUDER,SLO,4t5z 6 10,0t3z 0 5,
17,ALBAN,LEVIER,FRA,5t5z 8 7,0t2z 0 2,
17,MEICHI,NARASAKI,JPN,5t5z 5 5,0t2z 0 2,
19,VADIM,TIMONOV,RUS,4t5z 4 5,0t2z 0 3,
20,ANZE,PEHARC,SLO,5t5z 9 8,0t1z 0 1,
21,YANNICK,FLOHÉ,GER,4t5z 7 5,,
21,GEORG,PARMA,AUT,4t5z 6 10,,
23,TAISEI,ISHIMATSU,JPN,4t5z 8 6,,
23,ALEX,KHAZANOV,ISR,4t5z 7 12,,
25,FLORIAN,KLINGLER,AUT,4t5z 8 9,,
25,NATHAN,PHILLIPS,GBR,4t5z 8 7,,
25,MICHAEL,PICCOLRUAZ,ITA,4t5z 8 7,,
28,SIMON,LORENZI,BEL,4t5z 10 8,,
29,WILLIAM,BOSI,GBR,4t5z 11 8,,
29,NIKOLAI,IARILOVETS,RUS,4t5z 10 8,,
31,NICOLAS,COLLIN,BEL,4t5z 13 14,,
31,ALEXANDER,MEGOS,GER,4t5z 11 11,,
33,SERGEI,LUZHETSKII,RUS,4t4z 9 5,,
33,RUDOLPH,RUANA,USA,4t5z 14 9,,
35,MANUEL,CORNU,FRA,4t4z 10 4,,
35,SASCHA,LEHMANN,SUI,4t4z 9 7,,
37,SEAN,MCCOLL,CAN,3t5z 5 8,,
37,HANNES,PUMAN,SWE,3t5z 5 8,,
37,FEDIR,SAMOILOV,UKR,4t4z 10 9,,
40,YUJI,INOUE,JPN,3t5z 4 8,,
41,LEO,AVEZOU,FRA,3t5z 6 8,,
41,SEAN,BAILEY,USA,3t5z 7 12,,
43,JASON,HOLOWACH,CAN,3t5z 7 13,,
43,RAM,LEVIN,ISR,3t4z 4 5,,
45,WILLIAM,RIDAL,GBR,3t4z 6 4,,
45,TOMOAKI,TAKATA,JPN,3t5z 8 11,,
47,MARCELLO,BOMBARDI,ITA,3t4z 7 6,,
