Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,5t5z 6 6,4t4z 6 4,4t4z 5 4
2,AKIYO,NOGUCHI,JPN,4t5z 7 11,3t3z 5 3,3t4z 4 5
3,AI,MORI,JPN,4t5z 14 20,2t4z 3 12,3t4z 11 9
4,MIHO,NONAKA,JPN,3t4z 5 7,3t4z 3 6,2t4z 4 7
5,JESSICA,PILZ,AUT,4t4z 6 4,3t4z 5 8,2t4z 6 7
6,JULIA,CHANOURDIE,FRA,3t4z 5 4,2t4z 5 11,0t2z 0 2
7,FUTABA,ITO,JPN,4t5z 11 12,2t4z 7 9,
8,SOL,SA,KOR,3t4z 5 5,2t3z 4 4,
9,ELNAZ,REKABI,IRI,3t4z 4 6,2t3z 7 7,
10,PETRA,KLINGLER,SUI,4t5z 5 9,1t4z 4 6,
11,IEVGENIIA,KAZBEKOVA,UKR,3t4z 7 12,1t2z 2 4,
12,MAO,NAKAMURA,JPN,3t4z 4 6,1t2z 5 2,
13,KATJA,DEBEVEC,SLO,3t5z 4 7,0t4z 0 6,
13,FANNY,GIBERT,FRA,3t4z 5 7,0t4z 0 6,
15,LUCKA,RAKOVEC,SLO,3t4z 4 7,0t4z 0 7,
16,YUETONG,ZHANG,CHN,3t4z 3 8,0t4z 0 9,
17,ALANNAH,YIP,CAN,3t4z 7 8,0t4z 0 10,
18,HUNG YING,LEE,TPE,4t5z 7 10,0t3z 0 6,
18,NAÏLÉ,MEIGNAN,FRA,3t4z 6 6,0t3z 0 6,
20,FLAVY,COHAUT,FRA,3t4z 7 8,0t2z 0 5,
21,CHLOE,CAULIER,BEL,3t3z 3 3,,
21,ASHIMA,SHIRAISHI,USA,3t4z 6 9,,
23,JAIN,KIM,KOR,3t4z 15 16,,
23,SANDRA,LETTNER,AUT,3t3z 4 4,,
25,AFRA,HÖNIG,GER,2t4z 2 9,,
25,VIKTORIIA,MESHKOVA,RUS,2t5z 2 8,,
27,VALENTINA,AGUADO,ARG,2t4z 4 7,,
27,EMILY,PHILLIPS,GBR,2t4z 3 5,,
29,ANOUCK,JAUBERT,FRA,2t4z 3 11,,
29,ALEX,JOHNSON,USA,2t4z 5 8,,
31,ALMA,BESTVATER,GER,2t4z 5 12,,
31,KYRA,CONDIE,USA,2t4z 5 13,,
33,OCEANIA,MACKENZIE,AUS,2t3z 2 4,,
33,LAURA,ROGORA,ITA,2t4z 7 17,,
35,SIENNA,KOPF,USA,2t3z 4 10,,
35,LAURA,STÖCKLER,AUT,2t3z 2 7,,
37,IULIIA,PANTELEEVA,RUS,2t3z 5 12,,
37,VERA,ZIJLSTRA,NED,2t2z 4 4,,
39,MARGO,HAYES,USA,2t3z 7 7,,
39,ALLISON,VEST,CAN,1t4z 1 11,,
41,MANON,HILY,FRA,2t2z 4 3,,
41,ELENA,KRASOVSKAIA,RUS,1t4z 2 16,,
43,RONG,JIANG,CHN,1t3z 3 5,,
43,YILING,SONG,CHN,1t3z 2 7,,
45,ALEKSANDRA,KALUCKA,POL,1t3z 4 12,,
45,SERIKA,OKAWACHI,JPN,1t3z 2 11,,
45,JENNIFER,WOOD,GBR,1t3z 2 11,,
48,DI,NIU,CHN,1t2z 3 4,,
49,ANNE-SOPHIE,KOLLER,SUI,1t3z 3 8,,
49,ANNA,TSYGANOVA,RUS,1t2z 4 6,,
51,HELOÏSE,DOUMONT,BEL,1t3z 4 13,,
51,TARA,HAYES,GBR,0t4z 0 13,,
51,MOLLY,THOMPSON-SMITH,GBR,0t4z 0 13,,
54,VALIANTSINA,CHAMIAKINA,BLR,1t2z 1 3,,
55,NANAKO,KURA,JPN,0t3z 0 6,,
55,LINDA,SJÖDIN,SWE,1t2z 3 10,,
57,NATALIA,KALUCKA,POL,1t2z 4 5,,
57,BRONWEN,KARNIS,CAN,0t3z 0 11,,
59,BEATRIX,EVANS,CAN,1t1z 2 2,,
59,VIRGITA,NADYA PUTRI,INA,1t1z 2 2,,
59,JOANNA,NEAME,GBR,1t1z 2 2,,
59,MARGARYTA,ZAKHAROVA,UKR,0t3z 0 13,,
63,ANDREA,ROJAS,ECU,0t2z 0 4,,
64,TIFFANY,MELIUS,AUS,0t2z 0 5,,
65,ANNA,DAVEY,AUS,1t1z 3 3,,
65,HEEYEON,PARK,KOR,0t2z 0 7,,
67,NURUL,IQAMAH,INA,0t1z 0 4,,
67,IULIIA,KAPLINA,RUS,1t1z 6 6,,
67,ALEKSANDRA,MIROSLAW,POL,0t1z 0 4,,
70,PAIGE,BOKLASCHUK,CAN,0t2z 0 7,,
71,YUZHEN,BAIMA,CHN,0t1z 0 7,,
71,WAI-PING,YU,HKG,0t1z 0 5,,
73,ANNA,BROZEK,POL,0t0z 0 0,,
73,PATRYCJA,CHUDZIAK,POL,0t0z 0 0,,
73,ALIAKSANDRA,MISIUKEVICH,BLR,0t0z 0 0,,
73,SALSABILA,SALSABILA,INA,0t0z 0 0,,
73,PEIYANG,TIAN,CHN,0t0z 0 0,,
73,HOI-YING,TO,HKG,0t0z 0 0,,
73,LUCINDA ANN,TURNBULL,AUS,0t1z 0 11,,
80,AMANDA,SPEED,NZL,0t0z 0 0,,
80,ARIES,SUSANTI RAHAYU,INA,0t0z 0 0,,
80,SARAH,TETZLAFF,NZL,0t0z 0 0,,
80,CHOIRUL,UMI CAHYANING AYUB,INA,0t0z 0 0,,
