Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [9.49],31+,top
2,TAISEI,HOMMA,JPN,37+  11. | top  1. [15.30],31+,top
3,TOMOA,NARASAKI,JPN,37   16. | top  1. [16.97],31+,top
4,KAI,HARADA,JPN,top  1. | top  1. [9.49],35+,31+
5,ALBERTO,GINÉS LÓPEZ,ESP,top  1. | top  1. [9.49],31+,29+
6,MEICHI,NARASAKI,JPN,38   10. | top  1. [13.42],31+,26
7,JESSE,GRUPPER,USA,top  1. | top  1. [9.49],31+,25+
8,SEAN,BAILEY,USA,37+  11. | top  1. [15.30],31+,23+
9,JAMES,POPE,GBR,33+  21. | top  1. [21.84],31+,
10,SEBASTIAN,HALENKE,GER,33+  21. | top  1. [21.84],31,
11,KOKORO,FUJII,JPN,top  1. | top  1. [9.49],28+,
12,MARCELLO,BOMBARDI,ITA,33+  21. | top  1. [21.84],28+,
13,YANNICK,FLOHÉ,GER,top  1. | top  1. [9.49],27+,
13,STEFANO,GHISOLFI,ITA,top  1. | top  1. [9.49],27+,
15,JAKUB,KONECNY,CZE,top  1. | 32+  39. [14.40],27+,
16,CHRISTOPH,HANKE,GER,33+  21. | top  1. [21.84],27+,
17,YUFEI,PAN,CHN,36+  17. | top  1. [18.00],25+,
18,ALEKSEY,RUBTSOV,RUS,37+  11. | top  1. [15.30],24+,
19,MARTIN,STRANIK,CZE,36+  17. | top  1. [18.00],24+,
20,MICHAEL,PICCOLRUAZ,ITA,33+  21. | top  1. [21.84],22,
21,ALEX,KHAZANOV,ISR,33+  21. | top  1. [21.84],20+,
22,DOHYUN,LEE,KOR,37+  11. | top  1. [15.30],18,
23,VLADISLAV,SHEVCHENKO,RUS,37+  11. | top  1. [15.30],17+,
24,SUNGSU,LEE,KOR,36   20. | top  1. [18.97],14,
25,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [9.49],8+,
26,SEAN,MCCOLL,CAN,33+  21. | top  1. [21.84],,
27,ANZE,PEHARC,SLO,32+  33. | top  1. [24.56],,
27,RUDOLPH,RUANA,USA,32+  33. | top  1. [24.56],,
29,FEDIR,SAMOILOV,UKR,31   35. | top  1. [25.28],,
30,LOÏC,TIMMERMANS,BEL,36+  17. | 38+  36. [25.63],,
31,JONGWON,CHON,KOR,30+  37. | top  1. [26.50],,
31,NICOLAS,COLLIN,BEL,30+  37. | top  1. [26.50],,
31,JERNEJ,KRUDER,SLO,30+  37. | top  1. [26.50],,
31,MIKEL ASIER,LINACISORO MOLINA,ESP,30+  37. | top  1. [26.50],,
31,TIM,REUSER,NED,30+  37. | top  1. [26.50],,
36,SIMON,LORENZI,BEL,29   42. | top  1. [27.50],,
37,HANWOOL,KIM,KOR,12   53. | top  1. [30.89],,
38,NATHANIEL,COLEMAN,USA,33+  21. | 38+  36. [31.10],,
39,YUKI,HADA,JPN,33+  21. | 35+  38. [31.73],,
40,KEITA,DOHI,JPN,33+  21. | 32+  39. [33.16],,
40,CAMPBELL,HARRISON,AUS,33+  21. | 32+  39. [33.16],,
40,HANNES,PUMAN,SWE,33+  21. | 32+  39. [33.16],,
43,NIKOLAI,IARILOVETS,RUS,31   35. | 32+  39. [38.38],,
44,RISHAT,KHAIBULLIN,KAZ,23   43. | 22+  46. [44.72],,
45,FATCHUR,ROJI,INA,19+  45. | 30   45. [45.00],,
46,MYKHAYIL,TKACHUK,UKR,15+  48. | 32+  39. [45.09],,
47,JOHN,BROSLER,USA,22   44. | 22+  46. [45.23],,
48,QIXIN,ZHONG,CHN,18+  46. | 19+  48. [46.99],,
49,CARLOS FELIPE,GRANJA LOPEZ,ECU,16+  47. | 18+  49. [47.99],,
50,JOSHUA,DAMASCO,AUS,15+  48. | 16+  50. [49.74],,
51,ALEKSANDR,SHIKOV,RUS,13   51. | 16+  50. [51.00],,
52,ALFIAN,MUHAMMAD FAJRI,INA,15+  48. | 7   55. [51.91],,
53,ASPAR,ASPAR,INA,13   51. | 14   53. [52.24],,
54,ZAINAL,ARIPIN,INA,8+  55. | 15   52. [53.48],,
55,JAN,KRIZ,CZE,10   54. | 13+  54. [54.00],,
