Rank,Name,,Country,Qualification,Final
1,QIXIN,ZHONG,CHN,5.490,7.20
2,LEV,RUDATSKIY,RUS,5.872,fall
3,VLADISLAV,DEULIN,RUS,5.832,5.63
4,SERGEI,RUKIN,RUS,5.968,5.76
5,BASSA,MAWEM,FRA,5.950,5.80
6,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.658,6.36
7,DMITRII,TIMOFEEV,RUS,5.648,6.45
8,ALFIAN,MUHAMMAD FAJRI,INA,5.668,false start
9,SEUNGBEOM,LEE,KOR,5.988,5.85
10,JINBAO,LONG,CHN,5.953,5.90
11,PENGHUI,LIN,CHN,5.967,5.91
12,ALEKSANDR,SHIKOV,RUS,5.762,5.95
13,RISHAT,KHAIBULLIN,KAZ,5.887,6.01
14,PIERRE,REBREYEND,FRA,6.057,6.06
15,FATCHUR,ROJI,INA,6.041,6.79
16,ALEKSANDR,SHILOV,RUS,5.999,8.82
17,RONGQI,LIANG,CHN,6.060,
18,AMIR,MAIMURATOV,KAZ,6.084,
19,MINHUI,WANG,CHN,6.101,
20,ZHIYONG,OU,CHN,6.105,
21,STANISLAV,KOKORIN,RUS,6.139,
22,KOSTIANTYN,PAVLENKO,UKR,6.165,
23,ARSENII,BOGOMOLOV,RUS,6.175,
24,JAN,KRIZ,CZE,6.215,
25,MARCIN,DZIENSKI,POL,6.231,
26,ZAENAL,ARIPIN,INA,6.252,
27,LIANG,ZHANG,CHN,6.264,
28,ASPAR,ASPAR,INA,6.273,
29,CARLOS,GRANJA,ECU,6.296,
30,GUANGFENG,LI,CHN,6.449,
31,KOKORO,FUJII,JPN,6.582,
32,YANNICK,FLOHÉ,GER,6.767,
33,JONGWON,CHON,KOR,6.807,
34,MEICHI,NARASAKI,JPN,6.826,
35,MORTEZA,MOHAMMADI,IRI,6.829,
36,KEITA,DOHI,JPN,6.873,
37,GUILLAUME,MORO,FRA,6.952,
38,YUFEI,PAN,CHN,7.054,
39,TOMOA,NARASAKI,JPN,7.147,
40,MICHAEL,PICCOLRUAZ,ITA,7.176,
41,MARCELLO,BOMBARDI,ITA,7.390,
42,SEAN,MCCOLL,CAN,7.444,
43,HANWOOL,KIM,KOR,7.545,
44,STEFANO,GHISOLFI,ITA,7.590,
45,SIMON,LORENZI,BEL,7.753,
46,SEAN,BAILEY,USA,8.086,
47,ALEKSEY,RUBTSOV,RUS,8.094,
48,LOÏC,TIMMERMANS,BEL,8.137,
49,MIKEL ASIER,LINACISORO MOLINA,ESP,8.411,
50,ADAM,ONDRA,CZE,8.435,
51,RUDOLPH,RUANA,USA,8.547,
52,NICOLAS,COLLIN,BEL,8.616,
53,JERNEJ,KRUDER,SLO,8.755,
54,HANNES,PUMAN,SWE,9.009,
55,ANZE,PEHARC,SLO,9.100,
56,FEDIR,SAMOILOV,UKR,9.153,
57,TIM,REUSER,NED,9.514,
58,ALBERTO,GINÉS LÓPEZ,ESP,9.679,
59,CAMPBELL,HARRISON,AUS,9.740,
60,MARTIN,STRANIK,CZE,9.982,
61,ROMAIN,DESGRANGES,FRA,10.290,
62,ZHAXI,BIANBA,CHN,fall,
62,JOHN,BROSLER,USA,fall,
62,NATHANIEL,COLEMAN,USA,fall,
62,KAI,HARADA,JPN,fall,
