Rank,Name,,Country,Qualification,Final
1,ARIES,SUSANTI RAHAYU,INA,7.204,6.99 (asr)
2,YILING,SONG,CHN,7.423,9.03
3,MARIIA,KRASAVINA,RUS,7.707,7.94
4,ANOUCK,JAUBERT,FRA,7.592,14.37
5,LIJUAN,DENG,CHN,8.207,7.39
6,PEIYANG,TIAN,CHN,8.097,7.68
7,DI,NIU,CHN,7.718,8.13
8,AURELIA,SARISSON,FRA,8.152,8.22
9,ELENA,REMIZOVA,RUS,8.712,7.98
10,VICTOIRE,ANDRIER,FRA,8.486,8.15
11,NATALIA,KALUCKA,POL,8.415,8.30
12,LIRONG,YAN,CHN,8.508,8.45
13,TETIANA,KOLKOTINA,UKR,8.635,8.715
14,ANDREA,ROJAS,ECU,8.602,8.718
15,SOL,SA,KOR,8.712,8.95
16,GUIZHEN,XIE,CHN,8.528,9.28
17,ALMA,BESTVATER,GER,8.749,
18,IULIIA,KAPLINA,RUS,8.777,
19,HAIMEI,QIU,CHN,8.842,
20,ALEKSANDRA,KALUCKA,POL,8.901,
21,ANNA,BROZEK,POL,9.013,
22,JULIA,CHANOURDIE,FRA,9.087,
23,ELENA,KRASOVSKAIA,RUS,9.138,
24,SANDRA,LETTNER,AUT,9.245,
25,HUNG YING,LEE,TPE,9.245,
26,NURUL,IQAMAH,INA,9.302,
27,ELNAZ,REKABI,IRI,9.469,
28,ALANNAH,YIP,CAN,9.481,
29,ELIZAVETA,IVANOVA,RUS,9.503,
30,VIKTORIIA,MESHKOVA,RUS,9.695,
31,YUETONG,ZHANG,CHN,9.859,
32,PATRYCJA,CHUDZIAK,POL,9.886,
33,FANNY,GIBERT,FRA,10.429,
34,ALEX,JOHNSON,USA,10.434,
35,JAIN,KIM,KOR,10.566,
36,LUCKA,RAKOVEC,SLO,10.581,
37,RONG,JIANG,CHN,10.652,
38,LAURA,ROGORA,ITA,10.696,
39,IEVGENIIA,KAZBEKOVA,UKR,11.065,
40,CHAEHYUN,SEO,KOR,11.292,
41,EMILY,PHILLIPS,GBR,11.366,
42,MARGO,HAYES,USA,11.928,
43,AFRA,HÖNIG,GER,12.074,
44,MAGGIE,HAMMER,USA,12.247,
45,HELOÏSE,DOUMONT,BEL,12.449,
46,MIA,KRAMPL,SLO,12.507,
47,ASHIMA,SHIRAISHI,USA,12.980,
48,LAN,KIM,KOR,13.014,
49,AI,MORI,JPN,13.097,
50,LUCINDA ANN,STIRLING,AUS,16.053,
51,OCEANIA,MACKENZIE,AUS,false start,
