Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,COLIN,DUFFY,USA,55.0,10.0,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
2,ZACH,GALLA,USA,45.0,16.0,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
3,ZANDER,WALLER,USA,80.0,18.0,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
4,SEAN,BAILEY,USA,14.0,48.0,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
5,CARLOS,GRANJA,ECU,56.0,70.0,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
6,DANNY,VALENCIA,ECU,78.0,90.0,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
7,CESAR,GROSSO,BRA,396.0,168.0,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
8,JOSÉ RAMÓN,SANTOS BUHL,MEX,390.0,448.0,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
9,BRENNAN,DOYLE,CAN,660.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
10,FELIPE,HO FOGANHOLO,BRA,810.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
11,JASON,HOLOWACH,CAN,952.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
12,MANUEL,ESCOBAR,VEN,1064.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
13,DIEGO,LEQUERICA BUSCAGLIA,PER,1792.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
14,HÉCTOR ADRIÁN,MARTÍNEZ CORDERO,MEX,2496.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
15,HECTOR,LOPEZ VALDEZ,MEX,3240.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
16,BENJAMIN,AYALA,CHI,3240.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
17,JEAN,OURIQUES,BRA,3420.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
18,SANTIAGO,GARCIA,ARG,4800.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
19,PEDRO FERREIRA,NICOLOSO,BRA,5491.0,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
,RONNY,ESCOBAR,CHI,dns,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Men
1,ALANNAH,YIP,CAN,168,15,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
2,ALEJANDRA,CONTRERAS,CHI,36,36,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
3,LAUREN,BAIR,USA,20,36,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
4,ANDREA,ROJAS,ECU,176,56,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
5,REBECCA,FRANGOS,CAN,192,80,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
6,NORAH,CHI,USA,112,80,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
7,VALENTINA,AGUADO,ARG,54,84,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
8,EMMA,HUNT,USA,130,112,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
9,SIENNA,KOPF,USA,264,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
10,CARMEN,CONTRERAS,CHI,750,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
11,ALLISON,VEST,CAN,882,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
12,LESLIE,ROMERO,VEN,1500,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
13,MUYKUAY,SILVA,CHI,2016,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
14,ARANTZA,FERNÁNDEZ GUTIERREZ,MEX,2431,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
15,THAIS MAKINO,SHIRAIWA,BRA,2448,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
16,BIANCA,MAGALHAES DE CASTRO,BRA,2550,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
17,VALERIA,MACIAS FERREIRA,MEX,4212,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
18,ARANTZA,LUNA VELASCO,MEX,5054,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
19,MARÍA FERNANDA,GONZÁLEZ RÁMIREZ,MEX,5472,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
,LUANA,RISCADO,BRA,dns,,Los_Angeles_(USA)_2020,24 February - 1 March 2020,Women
1,ALEKSEY,RUBTSOV,RUS,300,20,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
2,SASCHA,LEHMANN,SUI,54,24,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
3,SERGEI,LUZHETSKII,RUS,108,30,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
4,NIKOLAI,IARILOVETS,RUS,280,36,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
5,YUVAL,SHEMLA,ISR,240,48,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
6,MARCIN,DZIENSKI,POL,380,64,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
7,ALEX,KHAZANOV,ISR,408.0,196,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
8,WILLIAM,BOSI,GBR,126.0,210,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
9,HANNES,PUMAN,SWE,528,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
10,ANZE,PEHARC,SLO,600,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
11,JAN,KRIZ,CZE,760,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
12,NICOLAS,COLLIN,BEL,784,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
13,DANYIL,BOLDYREV,UKR,1296,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
14,NIMROD,MARCUS,ISR,1404,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
15,MARTIN,STRANIK,CZE,1425,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
16,SIMON,LORENZI,BEL,1485.0,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
17,JERNEJ,KRUDER,SLO,1512.0,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
18,RAM,LEVIN,ISR,1620,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
19,GEVA,LEVIN,ISR,1734,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
20,PETER,KURIC,SVK,2288,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
1,VIKTORIIA,MESHKOVA,RUS,140,12,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
2,STASA,GEJO,SRB,98.0,15,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
3,ELISKA,ADAMOVSKA,CZE,36.0,64,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
4,PATRYCJA,CHUDZIAK,POL,266,64,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
5,CHLOE,CAULIER,BEL,264,70,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
6,ELENA,KRASOVSKAIA,RUS,162,72,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
7,HANNAH,MEUL,GER,100.0,120,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
8,MOLLY,THOMPSON-SMITH,GBR,192,147,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
9,ALMA,BESTVATER,GER,432,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
10,ALEKSANDRA,KALUCKA,POL,510,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
11,LUCIA,DÖRFFEL,GER,720,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
12,NATALIA,KALUCKA,POL,1140,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
13,AFRA,HÖNIG,GER,1144,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
14,NIKA,POTAPOVA,UKR,1755.0,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
15,AYALA,KEREM,ISR,1755.0,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
16,MICHAELA,SMETANOVA,CZE,1904,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
17,NOA,SHIRAN,ISR,2704,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
18,MARKETA,JANOSOVA,CZE,2970,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
19,VANA,PICCINI,CRO,3808,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
20,ANNA,BROZEK,POL,4800,,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
1,CHRISTOPHER,COSSER,RSA,1.0,4.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
2,DAVID,NAUDE,RSA,24.0,6.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
3,CALRIN,CURTIS,RSA,16.0,24.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
4,OLIVER,MARX,RSA,36.0,48.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
5,JAMES,BARNES,RSA,360.0,105.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
6,TONY,FLYNN,RSA,125.0,150.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
7,CHRISTOPHER,WALLACE,RSA,420.0,294.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
8,MATTHEW,GRUNEWALD,RSA,448.0,512.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
9,JOSHUA,BRUYNS,RSA,648.0,,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
10,KATLEHO,POBE,RSA,1089.0,,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
11,ETHAN,PEARMAN,RSA,1183.0,,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
12,RENE,LOMBARD,RSA,1440.0,,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
13,JOHN-DAVID,MULLER,RSA,1848.0,,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
14,SIMON,OFOYURU,UGA,2548.0,,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Men
1,ERIN,STERKENBURG,RSA,1.0,1.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Women
2,GEORGIANA,DORWARD,RSA,12.0,16.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Women
3,TEGWEN,OATES,RSA,60.0,27.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Women
4,CATHERINE,HONEGGER,RSA,56.0,56.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Women
5,CAITLYN,BURWOOD,RSA,147.0,144.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Women
6,ALYSSA,MEYER,RSA,150.0,175.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Women
7,DANIELLE,VISSER,RSA,144.0,210.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Women
8,CREDO,KASEMIIRE,UGA,512.0,512.0,Cape_Town_(RSA)_2020,17 December - 20 December 2020,Women
1,TOM,O'HALLORAN,AUS,6.0,8.0,Sydney_(AUS)_2020,19 December - 20 December 2020,Men
2,BEN,ABEL,AUS,70.0,15.0,Sydney_(AUS)_2020,19 December - 20 December 2020,Men
3,JAMES,KASSAY,AUS,24.0,18.0,Sydney_(AUS)_2020,19 December - 20 December 2020,Men
4,THOMAS,FARRELL,AUS,6.0,18.0,Sydney_(AUS)_2020,19 December - 20 December 2020,Men
5,NED,MIDDLEHURST,AUS,210.0,80.0,Sydney_(AUS)_2020,19 December - 20 December 2020,Men
6,CHASE,GATLAND,NZL,192.0,120.0,Sydney_(AUS)_2020,19 December - 20 December 2020,Men
7,HUGO,HORNSHAW,AUS,224.0,392.0,Sydney_(AUS)_2020,19 December - 20 December 2020,Men
8,CAMPBELL,HARRISON,AUS,120.0,dns,Sydney_(AUS)_2020,19 December - 20 December 2020,Men
1,OCEANIA,MACKENZIE,AUS,1,1,Sydney_(AUS)_2020,19 December - 20 December 2020,Women
2,ANGIE,SCARTH-JOHNSON,AUS,48,12,Sydney_(AUS)_2020,19 December - 20 December 2020,Women
3,ELLA,EASTON,AUS,30,42,Sydney_(AUS)_2020,19 December - 20 December 2020,Women
4,SIOBHAN,DOBIE,AUS,24,64,Sydney_(AUS)_2020,19 December - 20 December 2020,Women
5,LUCINDA ANN,STIRLING,AUS,72,147,Sydney_(AUS)_2020,19 December - 20 December 2020,Women
6,MIA,WEEDA,AUS,280,150,Sydney_(AUS)_2020,19 December - 20 December 2020,Women
7,CIRRUS,TAN,NZL,392,240,Sydney_(AUS)_2020,19 December - 20 December 2020,Women
8,LEAH,JEFFRIES,AUS,360,384,Sydney_(AUS)_2020,19 December - 20 December 2020,Women
9,ROXY,PERRY,AUS,486,,Sydney_(AUS)_2020,19 December - 20 December 2020,Women
