Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,DANYIL,BOLDYREV,UKR,6.01,5.69,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
2,LEV,RUDATSKIY,RUS,5.95,5.74,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
3,MARCIN,DZIENSKI,POL,5.74,5.59,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
4,VLADISLAV,DEULIN,RUS,5.82,5.73,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
5,YAROSLAV,TKACH,UKR,6.04,5.84,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
6,SERGEI,LUZHETSKII,RUS,6.30,6.33,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
7,DMITRII,TIMOFEEV,RUS,5.85,fall,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
8,ALEKSANDR,SHIKOV,RUS,5.96,false start,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
9,JAN,KRIZ,CZE,6.77 (7.327),6.26,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
10,BOHDAN,BOTNAR,UKR,6.97,6.65,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
11,NIKOLAI,IARILOVETS,RUS,6.77 (6.799),6.93,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
12,SASCHA,LEHMANN,SUI,7.56,7.29,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
13,NICOLAS,COLLIN,BEL,6.67,7.47,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
14,WILLIAM,BOSI,GBR,7.37,7.80,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
15,NIMROD,MARCUS,ISR,7.66,7.81,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
16,GEVA,LEVIN,ISR,7.10,9.15,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
17,RAM,LEVIN,ISR,7.68,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
18,SIMON,LORENZI,BEL,7.75,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
19,PETER,KURIC,SVK,7.81,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
20,ANZE,PEHARC,SLO,8.041,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
21,JERNEJ,KRUDER,SLO,8.049,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
22,ALEKSEY,RUBTSOV,RUS,8.11,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
23,FEDIR,SAMOILOV,UKR,8.21,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
24,YUVAL,SHEMLA,ISR,8.47,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
25,HANNES,PUMAN,SWE,8.52,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
26,SIMON,POTUCEK,CZE,8.73,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
27,STEPAN,POTUCEK,CZE,8.91,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
28,MYKHAYIL,TKACHUK,UKR,8.99,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
29,FREDRIK,SERLACHIUS,SWE,9.04,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
30,ROLANDS,RUGENS,LAT,9.45,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
31,ALEX,KHAZANOV,ISR,9.62,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
32,LEONID,OSADCHYI,UKR,9.75,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
33,MARTIN,STRANIK,CZE,9.87,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
34,EDVARDS,GRUZITIS,LAT,10.40,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
35,CARMEL,RAZ ROMEO,ISR,10.60,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
36,JAKUB,KONECNY,CZE,10.74,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
37,EDUARDAS,JERIOMENKO,LTU,10.94,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
38,NIKOLA,KRAMARIC,CRO,11.82,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
39,KIPRAS,BALTRUNAS,LTU,fall,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
40,STEPAN,VOLF,CZE,false start,,Moscow_(RUS)_2020,21 November - 29 November 2020,Men
1,EKATERINA,BARASHCHUK,RUS,7.81,7.37,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
2,ELIZAVETA,IVANOVA,RUS,7.76,7.44,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
3,IULIIA,KAPLINA,RUS,6.96,7.05,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
4,ALEKSANDRA,KALUCKA,POL,7.75,8.30,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
5,NATALIA,KALUCKA,POL,8.14,7.82,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
6,PATRYCJA,CHUDZIAK,POL,7.95,7.87,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
7,PETRA,KLINGLER,SUI,9.01,8.59,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
8,ALEKSANDRA,MIROSLAW,POL,8.65,fall,Moscow_(RUS)_2020,21 November - 29 November 2020,Women
