Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,1.22,39+,top
2,DOMEN,SKOFIC,SLO,9.5,33+,41
3,JAKOB,SCHUBERT,AUT,2.29,39+,38+
4,LUKA,POTOCAR,SLO,9.5,29+,30
5,ALEXANDER,MEGOS,GER,3.97,36+,27
6,MATHIAS,POSCH,AUT,16.32,29,26
7,MEJDI,SCHALCK,FRA,9.5,32,25+
8,NAO,MONCHOIS,FRA,9.72,30,25+
9,HUGO,PARMENTIER,FRA,11.68,28+,
10,PAUL,JENFT,FRA,20.59,27,
11,RISHAT,KHAIBULLIN,KAZ,6.54,26+,
12,SAM,AVEZOU,FRA,9.87,26+,
13,DIEGO,FOURBET,FRA,11.54,26+,
14,JAKUB,KONECNY,CZE,19.29,26+,
15,MARCELLO,BOMBARDI,ITA,12.33,26,
16,ALISTAIR,DUVAL,FRA,18.11,26,
17,JEREMY,BONDER,FRA,23.59,23,
18,ALBERTO,GINÉS LÓPEZ,ESP,3.97,22+,
19,PHILIPP,MARTIN,GER,16.6,22+,
20,LEO,AVEZOU,FRA,18.55,22,
21,FILIP,SCHENK,ITA,20.12,22,
22,CHRISTOPH,HANKE,GER,18.11,21+,
23,YANNICK,FLOHÉ,GER,22.86,21+,
24,MARTIN,STRANIK,CZE,15.56,20,
25,LOÏC,TIMMERMANS,BEL,20.2,20,
26,DAVIDE MARCO,COLOMBO,ITA,20.75,20,
27,ADRIEN,LEMAIRE,FRA,23.59,20,
28,FRANCESCO,VETTORATA,ITA,24.98,,
29,JAN,HOJER,GER,26.4,,
29,SIMON,POTUCEK,CZE,26.4,,
31,NICOLAS,COLLIN,BEL,28.62,,
32,ZIGA,ZAJC,SLO,30.48,,
33,TIES,VANCRAEYNEST,BEL,32.81,,
34,MIKEL ASIER,LINACISORO MOLINA,ESP,33.05,,
35,MAX,KLEESATTEL,GER,33.16,,
36,MARTIN,BERGANT,SLO,35.05,,
37,STEFAN,SCHERZ,AUT,36.41,,
38,ARNO,LUYPAERT,BEL,36.44,,
39,HÉCTOR,BAZAN MARTÍN,ESP,37.01,,
40,MILAN,PRESKAR,SLO,37.73,,
41,GEORG,PARMA,AUT,38.5,,
42,LUDOVICO,FOSSALI,ITA,40.23,,
42,SVEN,LEMPEREUR,BEL,40.23,,
42,STEPAN,POTUCEK,CZE,40.23,,
