Rank,Name,,Country,Qualification,Final
1,COLIN,DUFFY,USA,55.0,10.0
2,ZACH,GALLA,USA,45.0,16.0
3,ZANDER,WALLER,USA,80.0,18.0
4,SEAN,BAILEY,USA,14.0,48.0
5,CARLOS,GRANJA,ECU,56.0,70.0
6,DANNY,VALENCIA,ECU,78.0,90.0
7,CESAR,GROSSO,BRA,396.0,168.0
8,JOSÉ RAMÓN,SANTOS BUHL,MEX,390.0,448.0
9,BRENNAN,DOYLE,CAN,660.0,
10,FELIPE,HO FOGANHOLO,BRA,810.0,
11,JASON,HOLOWACH,CAN,952.0,
12,MANUEL,ESCOBAR,VEN,1064.0,
13,DIEGO,LEQUERICA BUSCAGLIA,PER,1792.0,
14,HÉCTOR ADRIÁN,MARTÍNEZ CORDERO,MEX,2496.0,
15,HECTOR,LOPEZ VALDEZ,MEX,3240.0,
16,BENJAMIN,AYALA,CHI,3240.0,
17,JEAN,OURIQUES,BRA,3420.0,
18,SANTIAGO,GARCIA,ARG,4800.0,
19,PEDRO FERREIRA,NICOLOSO,BRA,5491.0,
,RONNY,ESCOBAR,CHI,dns,
