Rank,Name,,Country,Qualification,Final
1,ALANNAH,YIP,CAN,168,15
2,ALEJANDRA,CONTRERAS,CHI,36,36
3,LAUREN,BAIR,USA,20,36
4,ANDREA,ROJAS,ECU,176,56
5,REBECCA,FRANGOS,CAN,192,80
6,NORAH,CHI,USA,112,80
7,VALENTINA,AGUADO,ARG,54,84
8,EMMA,HUNT,USA,130,112
9,SIENNA,KOPF,USA,264,
10,CARMEN,CONTRERAS,CHI,750,
11,ALLISON,VEST,CAN,882,
12,LESLIE,ROMERO,VEN,1500,
13,MUYKUAY,SILVA,CHI,2016,
14,ARANTZA,FERNÁNDEZ GUTIERREZ,MEX,2431,
15,THAIS MAKINO,SHIRAIWA,BRA,2448,
16,BIANCA,MAGALHAES DE CASTRO,BRA,2550,
17,VALERIA,MACIAS FERREIRA,MEX,4212,
18,ARANTZA,LUNA VELASCO,MEX,5054,
19,MARÍA FERNANDA,GONZÁLEZ RÁMIREZ,MEX,5472,
,LUANA,RISCADO,BRA,dns,
