Rank,Name,,Country,Qualification,Final
1,ALEKSEY,RUBTSOV,RUS,300,20
2,SASCHA,LEHMANN,SUI,54,24
3,SERGEI,LUZHETSKII,RUS,108,30
4,NIKOLAI,IARILOVETS,RUS,280,36
5,YUVAL,SHEMLA,ISR,240,48
6,MARCIN,DZIENSKI,POL,380,64
7,ALEX,KHAZANOV,ISR,408.0,196
8,WILLIAM,BOSI,GBR,126.0,210
9,HANNES,PUMAN,SWE,528,
10,ANZE,PEHARC,SLO,600,
11,JAN,KRIZ,CZE,760,
12,NICOLAS,COLLIN,BEL,784,
13,DANYIL,BOLDYREV,UKR,1296,
14,NIMROD,MARCUS,ISR,1404,
15,MARTIN,STRANIK,CZE,1425,
16,SIMON,LORENZI,BEL,1485.0,
17,JERNEJ,KRUDER,SLO,1512.0,
18,RAM,LEVIN,ISR,1620,
19,GEVA,LEVIN,ISR,1734,
20,PETER,KURIC,SVK,2288,
