Rank,Name,,Country,Qualification,Final
1,VIKTORIIA,MESHKOVA,RUS,140,12
2,STASA,GEJO,SRB,98.0,15
3,ELISKA,ADAMOVSKA,CZE,36.0,64
4,PATRYCJA,CHUDZIAK,POL,266,64
5,CHLOE,CAULIER,BEL,264,70
6,ELENA,KRASOVSKAIA,RUS,162,72
7,HANNAH,MEUL,GER,100.0,120
8,MOLLY,THOMPSON-SMITH,GBR,192,147
9,ALMA,BESTVATER,GER,432,
10,ALEKSANDRA,KALUCKA,POL,510,
11,LUCIA,DÖRFFEL,GER,720,
12,NATALIA,KALUCKA,POL,1140,
13,AFRA,HÖNIG,GER,1144,
14,NIKA,POTAPOVA,UKR,1755.0,
15,AYALA,KEREM,ISR,1755.0,
16,MICHAELA,SMETANOVA,CZE,1904,
17,NOA,SHIRAN,ISR,2704,
18,MARKETA,JANOSOVA,CZE,2970,
19,VANA,PICCINI,CRO,3808,
20,ANNA,BROZEK,POL,4800,
