Rank,Name,,Country,Qualification,Semi-Final,Final
1,SASCHA,LEHMANN,SUI,2.24,35+,41+
2,NICOLAS,COLLIN,BEL,13.5,36+,38+
3,DMITRII,FAKIRIANOV,RUS,3.32,36+,37+
4,NIMROD,MARCUS,ISR,3.87,32+,37+
5,HANNES,PUMAN,SWE,2.24,35+,34+
6,MARTIN,STRANIK,CZE,6.48,35+,33+
7,ANZE,PEHARC,SLO,8.94,35+,32+
8,VLADISLAV,SHEVCHENKO,RUS,9.0,35+,32+
9,YUVAL,SHEMLA,ISR,3.87,31,
10,ALEX,KHAZANOV,ISR,11.62,30+,
11,DYLAN,CHUAT,SUI,12.73,29+,
12,WILLIAM,BOSI,GBR,9.53,28+,
13,SIMON,LORENZI,BEL,11.62,28+,
14,DMITRII,POPOV,RUS,21.18,27+,
15,SIMON,POTUCEK,CZE,16.43,26+,
16,TOMAS,PLEVKO,SVK,21.11,24+,
17,STEPAN,VOLF,CZE,16.43,24,
18,FEDIR,SAMOILOV,UKR,14.92,23+,
19,STEPAN,POTUCEK,CZE,25.98,23,
20,NIKOLA,KRAMARIC,CRO,24.08,19+,
21,JAKUB,KONECNY,CZE,9.0,18+,
22,KIPRAS,BALTRUNAS,LTU,23.24,18+,
23,PETER,KURIC,SVK,25.0,18,
24,FREDRIK,SERLACHIUS,SWE,22.25,17+,
25,ALEKSEY,RUBTSOV,RUS,14.92,dns,
26,SERGEI,LUZHETSKII,RUS,16.22,dns,
27,RAM,LEVIN,ISR,27.25,,
28,JERNEJ,KRUDER,SLO,27.45,,
29,EDVARDS,GRUZITIS,LAT,28.39,,
30,ROLANDS,RUGENS,LAT,28.72,,
31,NIKOLAI,IARILOVETS,RUS,29.39,,
32,LEONID,OSADCHYI,UKR,30.98,,
33,GEVA,LEVIN,ISR,31.7,,
34,CARMEL,RAZ ROMEO,ISR,33.5,,
35,MYKHAYIL,TKACHUK,UKR,35.5,,
36,EDUARDAS,JERIOMENKO,LTU,36.23,,
37,JAN,KRIZ,CZE,36.74,,
38,DANYIL,BOLDYREV,UKR,38.24,,
38,BOHDAN,BOTNAR,UKR,38.24,,
40,MARCIN,DZIENSKI,POL,40.0,,
