Rank,Name,,Country,Qualification,Semi-Final,Final
1,VIKTORIIA,MESHKOVA,RUS,3.16,top,36+ (3:53)
2,ELISKA,ADAMOVSKA,CZE,3.16,top,36+ (4:35)
3,MOLLY,THOMPSON-SMITH,GBR,7.21,31+,31
4,HANNAH,MEUL,GER,5.1,27+,30+
5,OLESYA,PROSEKOVA,RUS,5.1,33+,30
6,DARIA,MEZENTSEVA,RUS,3.16,37,28+
7,NIKA,POTAPOVA,UKR,10.72,28+,18+
8,MARKETA,JANOSOVA,CZE,7.65,29+,11
9,MICHAELA,SMETANOVA,CZE,9.95,24+,
10,ELENA,KRASOVSKAIA,RUS,7.48,24,
11,STASA,GEJO,SRB,12.46,23+,
12,NOA,SHIRAN,ISR,14.28,23,
13,LUCIA,DÖRFFEL,GER,17.75,23,
14,VANDA,MICHALKOVA,SVK,13.23,22+,
15,ANNA,ZAIKINA,RUS,18.91,22+,
16,VANA,PICCINI,CRO,23.48,22,
17,AYALA,KEREM,ISR,22.14,21,
18,NAAMA,YOHAI,ISR,14.49,18+,
19,KATHERINE,CHOONG,SUI,16.73,15+,
20,DARIA,VERETENINA,RUS,20.25,15+,
21,TEREZA,ŠIRŮČKOVÁ,CZE,16.94,15,
22,NIKOLA,KRALIKOVA,CZE,19.84,15,
23,NATALIA,KALUCKA,POL,23.22,14+,
24,YEVHENIIA,CHERNIAVSKA,UKR,24.7,14+,
25,CHLOE,CAULIER,BEL,3.16,dns,
26,ALMA,BESTVATER,GER,25.48,dns,
27,AFRA,HÖNIG,GER,26.19,,
28,ALEKSANDRA,KALUCKA,POL,26.66,,
29,ELIŠKA,BULENOVÁ,CZE,27.5,,
30,YELYZAVETA,LAVRYKOVA,UKR,29.98,,
31,PATRYCJA,CHUDZIAK,POL,30.25,,
32,ANNA,BROZEK,POL,32.0,,
,PETRA,KLINGLER,SUI,dns,,
,ALEKSANDRA,MIROSLAW,POL,dns,,
