Rank,Name,,Country,Qualification,Semi-Final,Final
1,ELISKA,ADAMOVSKA,CZE,9.35,top,36
2,NATALIA,GROSSMAN,USA,1.0,top,35+
3,VITA,LUKAN,SLO,13.1,top,29
4,ASHIMA,SHIRAISHI,USA,13.98,top,27+
5,RYU,NAKAGAWA,JPN,11.53,36+,27+
6,LUCKA,RAKOVEC,SLO,2.65,top,26+
7,LANA,SKUSEK,SLO,7.55,38,24+
8,ALEKSANDRA,TOTKOVA,BUL,14.73,41,22+
9,NATSUKI,TANII,JPN,14.97,36+,
10,CAMILLA,MORONI,ITA,20.07,31+,
11,TJASA,SLEMENSEK,SLO,23.98,31,
12,MOLLY,THOMPSON-SMITH,GBR,3.5,30,
13,EVA MARIA,HAMMELMÜLLER,AUT,10.9,30,
14,CAMILLE,POUGET,FRA,13.3,29,
15,MARTINA,DEMMEL,GER,16.74,29,
16,HANNAH,MEUL,GER,19.74,29,
17,SALOMÉ,ROMAIN,FRA,22.06,29,
18,JULIA,FISER,AUT,9.75,27+,
19,NINA,ARTHAUD,FRA,10.9,27+,
20,ORIANE,BERTONE,FRA,19.58,27+,
21,FANNY,GIBERT,FRA,23.36,27+,
22,FRANZISKA,STERRER,AUT,24.59,27+,
23,GIORGIA,TESIO,ITA,12.89,26+,
24,MATTEA,PÖTZI,AUT,20.0,26+,
25,MOMOKO,ABE,JPN,7.25,21+,
26,LUCIJA,TARKUS,SLO,13.67,20+,
27,KÄTHE,ATKINS,GER,25.92,,
28,MICHELLE,HULLIGER,SUI,26.64,,
29,MANON,HILY,FRA,27.69,,
29,SABINA,VAN ESSEN,NED,27.69,,
31,ANNE-SOPHIE,KOLLER,SUI,28.2,,
32,LYNN,VAN DER MEER,NED,28.62,,
33,MAYA,MADERE,USA,28.74,,
34,LUCIA,DÖRFFEL,GER,30.72,,
34,MICHAELA,SMETANOVA,CZE,30.72,,
36,VALERI,KREMER,ISR,30.98,,
37,NOLWENN,ARC,FRA,33.67,,
38,CHLOE,CAULIER,BEL,33.92,,
39,LUISA,FLOHÉ,GER,35.62,,
40,SELMA,ELHADJ MIMOUNE,FRA,37.09,,
41,CELINE,CUYPERS,BEL,38.41,,
42,SAULA,LERONDEL,FRA,38.5,,
42,ALESSIA,MABBONI,ITA,38.5,,
44,SUNNIVA,ØVRE-EIDE,NOR,40.0,,
45,KINTANA,ILTIS,FRA,42.36,,
46,RUT,MONSECH GASCA,ESP,43.49,,
47,ILARIA,SCOLARIS,ITA,45.19,,
48,VALENTINA,AGUADO,ARG,45.25,,
49,AIDA,TORRES ILLAMOLA,ESP,45.99,,
50,JULIA,DUFFY,USA,46.2,,
51,CLOE,COSCOY,USA,46.83,,
52,IZIAR,MARTÍNEZ ALMENDROS,ESP,49.22,,
53,LUCIE,WATILLON,BEL,52.25,,
54,ALEXANDRA,GULLBERG,SWE,54.0,,
55,ELISKA,NOVOTNA,CZE,54.74,,
56,DORIANE MARY,SARAMANDIF,MRI,55.75,,
,EDEL,LEMVIK,NOR,dns,,
