Rank,Name,,Country,Qualification,Semi-Final,Final
1,JANJA,GARNBRET,SLO,5.34,47+,49+
2,CHAEHYUN,SEO,KOR,3.0,36,46
3,NATALIA,GROSSMAN,USA,6.0,37+,41+
4,LAURA,ROGORA,ITA,3.0,44+,39
5,VITA,LUKAN,SLO,8.15,38+,39
6,LUCKA,RAKOVEC,SLO,10.42,36+,34+
7,DINARA,FAKHRITDINOVA,RUS,4.58,35+,31+
8,NATSUKI,TANII,JPN,24.17,34+,26
9,MIA,KRAMPL,SLO,5.34,33+,
10,LANA,SKUSEK,SLO,16.01,33+,
11,MOLLY,THOMPSON-SMITH,GBR,10.68,32,
12,MOMOKO,ABE,JPN,10.25,31+,
13,HANNAH,MEUL,GER,12.25,31+,
14,JESSICA,PILZ,AUT,12.37,31+,
15,RYU,NAKAGAWA,JPN,12.96,31+,
16,NOLWENN,ARC,FRA,18.67,31+,
17,TOMONA,TAKAO,JPN,18.67,30,
18,ANNE-SOPHIE,KOLLER,SUI,26.15,29+,
19,MICHELLE,HULLIGER,SUI,21.77,27,
20,ROXANA,WIENAND,GER,23.09,27,
21,MEI,KOTAKE,JPN,3.0,20+,
22,SALOMÉ,ROMAIN,FRA,12.49,20+,
23,SARA,COPAR,SLO,18.47,20+,
24,JULIA,FISER,AUT,19.74,20+,
25,LUCIJA,TARKUS,SLO,20.2,20+,
26,CAMILLE,POUGET,FRA,20.5,20+,
27,TJASA,SLEMENSEK,SLO,26.25,,
28,MANON,HILY,FRA,27.71,,
29,VALERI,KREMER,ISR,29.12,,
30,LIZA,NOVAK,SLO,31.22,,
31,KATJA,DEBEVEC,SLO,32.25,,
32,JULIA,DUFFY,USA,32.47,,
33,VALENTINA,AGUADO,ARG,32.5,,
34,MARTINA,DEMMEL,GER,33.12,,
35,CELINE,CUYPERS,BEL,33.99,,
36,GIORGIA,TESIO,ITA,34.21,,
37,KÄTHE,ATKINS,GER,35.5,,
38,EVA MARIA,HAMMELMÜLLER,AUT,36.28,,
39,CHLOE,CAULIER,BEL,37.56,,
40,KYLIE,CULLEN,USA,38.65,,
41,QUINN,MASON,USA,38.71,,
42,LUISA,FLOHÉ,GER,39.42,,
43,NOA,SHIRAN,ISR,42.16,,
44,ASHLEY,FISHER,USA,43.0,,
45,ATHANASIA,LIOUNI,GRE,44.5,,
