Rank,Name,,Country,Qualification,Semi-Final,Final
1,KOKORO,FUJII,JPN,5t5z 9 6,2t4z 3 12,4t4z 6 6
2,TOMOA,NARASAKI,JPN,4t5z 8 6,3t3z 7 5,3t3z 6 6
3,MANUEL,CORNU,FRA,4t5z 13 11,3t3z 8 5,2t3z 2 3
4,ALEKSEY,RUBTSOV,CFR,3t5z 6 7,2t3z 9 6,2t3z 7 5
5,NIMROD,MARCUS,ISR,3t4z 10 11,2t3z 3 5,0t2z 0 9
6,ANZE,PEHARC,SLO,4t5z 11 8,2t3z 7 7,0t2z 0 10
7,HAMISH,MCARTHUR,GBR,3t5z 6 9,2t3z 12 11,
8,YOSHIYUKI,OGATA,JPN,4t4z 9 4,1t4z 1 14,
9,ZAN,LOVENJAK SUDAR,SLO,3t5z 11 11,1t4z 2 14,
10,TOMOAKI,TAKATA,JPN,3t4z 4 10,1t4z 4 14,
11,MICKAEL,MAWEM,FRA,3t5z 4 5,1t3z 2 6,
12,MINYOUNG,LEE,KOR,3t5z 11 16,1t3z 4 9,
13,MEJDI,SCHALCK,FRA,4t4z 7 4,1t3z 4 14,
14,WILLIAM,RIDAL,GBR,3t5z 13 12,1t2z 4 5,
15,YANNICK,FLOHÉ,GER,4t4z 5 4,0t4z 0 14,
16,GREGOR,VEZONIK,SLO,3t4z 7 5,0t3z 0 4,
17,MATHIEU,TERNANT,FRA,3t5z 4 11,0t3z 0 8,
18,SASCHA,LEHMANN,SUI,3t5z 6 11,0t2z 0 3,
18,NATHAN,PHILLIPS,GBR,3t5z 3 5,0t2z 0 3,
18,MICHAEL,PICCOLRUAZ,ITA,3t5z 7 11,0t2z 0 3,
21,SOHTA,AMAGASA,JPN,2t5z 3 8,,
21,SERGEI,SKORODUMOV,CFR,3t4z 4 6,,
23,PHILIPP,MARTIN,GER,3t4z 5 5,,
23,VADIM,TIMONOV,CFR,2t5z 3 21,,
25,NICOLAS,COLLIN,BEL,2t5z 5 9,,
25,EDVARDS,GRUZITIS,LAT,3t4z 5 7,,
27,RAM,LEVIN,ISR,2t5z 5 14,,
27,JAKOB,SCHUBERT,AUT,2t5z 3 8,,
29,SERGEI,LUZHETSKII,CFR,2t5z 5 12,,
29,CHRISTOPH,SCHWEIGER,GER,2t5z 5 15,,
31,BENJAMIN,HANNA,USA,2t5z 7 12,,
31,ALEX,WATERHOUSE,GBR,2t5z 8 7,,
33,MATIC,KOTAR,SLO,2t4z 3 6,,
33,SIMON,LORENZI,BEL,2t4z 2 4,,
35,YUTA,IMAIZUMI,JPN,2t4z 2 5,,
35,ALEX,KHAZANOV,ISR,2t4z 5 6,,
37,CHARLES,BARRON,USA,2t4z 2 9,,
37,ISAAC,LEFF,USA,2t4z 5 9,,
39,NILS,FAVRE,SUI,2t4z 6 7,,
39,MAXIMILLIAN,MILNE,GBR,2t4z 3 11,,
41,GEVA,LEVIN,ISR,2t4z 5 10,,
41,FEDIR,SAMOILOV,UKR,2t3z 5 6,,
43,JAN,HOJER,GER,1t5z 1 18,,
43,NIKOLAI,IARILOVETS,CFR,2t4z 8 17,,
45,RADIN,FOROUGHIAN,IRI,2t3z 7 10,,
45,ROSS,FULKERSON,USA,1t5z 3 5,,
47,MIKEL ASIER,LINACISORO MOLINA,ESP,1t4z 1 12,,
