Rank,Name,,Country,Qualification,Semi-Final,Final
1,NATALIA,GROSSMAN,USA,4t5z 8 11,4t4z 8 8,4t4z 7 7
2,CAMILLA,MORONI,ITA,3t4z 7 14,4t4z 15 13,4t4z 13 11
3,STASA,GEJO,SRB,4t4z 11 6,2t4z 4 9,2t4z 5 7
4,ELENA,KRASOVSKAIA,CFR,4t5z 8 8,3t4z 8 9,2t3z 2 4
5,BROOKE,RABOUTOU,USA,5t5z 8 6,3t3z 11 11,2t3z 3 4
6,ANDREA,KÜMIN,SUI,3t5z 5 8,3t3z 11 9,1t3z 3 3
7,FANNY,GIBERT,FRA,4t4z 7 6,2t4z 7 16,
8,CHLOE,CAULIER,BEL,4t5z 8 7,2t3z 6 13,
9,VIKTORIIA,MESHKOVA,CFR,5t5z 16 8,2t3z 6 14,
10,LUCKA,RAKOVEC,SLO,3t4z 10 15,2t2z 5 5,
11,AYALA,KEREM,ISR,3t4z 13 13,2t2z 7 6,
12,SOFYA,YOKOYAMA,SUI,2t5z 7 10,1t3z 2 11,
13,FUTABA,ITO,JPN,3t5z 6 6,1t2z 1 6,
14,MAO,NAKAMURA,JPN,3t4z 9 12,1t2z 1 15,
15,VITA,LUKAN,SLO,4t5z 16 15,1t2z 3 8,
16,NATSUKI,TANII,JPN,4t4z 14 11,1t1z 1 1,
17,KYLIE,CULLEN,USA,3t5z 6 11,0t3z 0 10,
18,ELNAZ,REKABI,IRI,4t5z 13 11,0t2z 0 5,
19,JOHANNA,FÄRBER,AUT,3t5z 3 6,0t2z 0 8,
20,FRANZISKA,STERRER,AUT,3t3z 8 6,0t2z 0 13,
21,AFRA,HÖNIG,GER,2t4z 4 8,,
21,HOLLY,TOOTHILL,GBR,3t5z 9 12,,
23,HANNAH,MEUL,GER,3t4z 5 5,,
23,ROXANA,WIENAND,GER,2t4z 9 22,,
25,MADISON,FISCHER,CAN,2t3z 3 7,,
25,EKATERINA,KIPRIIANOVA,CFR,3t4z 5 6,,
27,ELISKA,ADAMOVSKA,CZE,2t3z 6 11,,
27,RYU,NAKAGAWA,JPN,2t5z 4 10,,
29,SIENNA,KOPF,USA,2t3z 8 16,,
29,MIA,KRAMPL,SLO,2t5z 5 8,,
31,ALMA,BESTVATER,GER,2t4z 2 7,,
31,MAILYS,PIAZZALUNGA,FRA,2t3z 10 14,,
33,RAHIL,RAMEZANI,IRI,2t4z 4 11,,
33,JENNIFER,WOOD,GBR,2t2z 13 13,,
35,KATJA,DEBEVEC,SLO,1t4z 3 13,,
35,JESSICA,PILZ,AUT,2t4z 5 7,,
37,IEVGENIIA,KAZBEKOVA,UKR,2t4z 6 7,,
37,CHAEHYUN,SEO,KOR,1t4z 4 22,,
39,HUNG YING,LEE,TPE,2t4z 7 6,,
39,MOLLY,THOMPSON-SMITH,GBR,1t3z 2 8,,
41,ORIANE,BERTONE,FRA,1t5z 1 6,,
41,EMILIE,PUPKO,ISR,1t3z 6 19,,
43,TAMARA,ULZHABAYEVA,KAZ,1t2z 2 11,,
43,MARGARYTA,ZAKHAROVA,UKR,1t5z 1 17,,
45,VALENTINA,AGUADO,ARG,1t5z 5 20,,
45,HANA,KOIKE,JPN,1t2z 6 10,,
47,TARA,HAYES,GBR,1t4z 4 10,,
47,VANA,PICCINI,CRO,1t1z 1 1,,
49,MAHYA,DARABIAN,IRI,1t3z 1 10,,
49,INGRID,KINDLIHAGEN,NOR,1t1z 8 2,,
51,POLINA,KULAGINA,CFR,0t4z 0 26,,
51,IRINA,KUZMENKO,CFR,1t1z 10 10,,
53,SUNNIVA EIK,HAAVE,NOR,0t3z 0 6,,
53,ANASTASIJA,TERIOCHINA,LTU,1t1z 11 8,,
55,ALEJANDRA,CONTRERAS,CHI,1t1z 12 12,,
55,MAYA,DREAMER,ISR,0t3z 0 14,,
55,THEA,WULFF,USA,0t3z 0 14,,
58,GRACE,CROWLEY,AUS,0t2z 0 7,,
59,MARKETA,JANOSOVA,CZE,0t2z 0 4,,
59,THAIS MAKINO,SHIRAIWA,BRA,0t2z 0 14,,
61,ZOE,GARCIA MOLINA,ARG,0t1z 0 2,,
61,NOA,SHIRAN,ISR,0t2z 0 10,,
63,NIKA,POTAPOVA,UKR,0t1z 0 3,,
63,AIDA,TORRES ILLAMOLA,ESP,0t1z 0 2,,
65,HSIU-JU,LIN,TPE,0t1z 0 4,,
65,IGNACIA,MELLADO QUINTEROS,CHI,0t1z 0 4,,
65,YAEL,TAUB,ISR,0t1z 0 5,,
68,PUNTARIKA,TUNYAVANICH,THA,0t1z 0 6,,
69,TINA JOHNSEN,HAFSAAS,NOR,0t1z 0 10,,
69,AGNIETE,SEIBOKAITE,LTU,0t1z 0 6,,
71,YEVHENIIA,CHERNIAVSKA,UKR,0t1z 0 15,,
71,RILEY,GALLOWAY,CAN,0t1z 0 7,,
73,PATRÍCIA,ANTUNES,BRA,0t0z 0 0,,
73,GÜLAY,BALIK,TUR,0t0z 0 0,,
73,TETIANA,KOLKOTINA,UKR,0t0z 0 0,,
73,ASSEL,MARLENOVA,KAZ,0t1z 0 12,,
73,MARYIA,VERNIKOUSKAYA,BLR,0t0z 0 0,,
78,MARGARITA,AGAMBAYEVA,KAZ,0t0z 0 0,,
78,CARMEN,CONTRERAS,CHI,0t0z 0 0,,
78,CAMILA,FLORES,BRA,0t0z 0 0,,
78,DURU GÜNEŞ,YALCIN,TUR,0t0z 0 0,,
,ANDREA,ROJAS,ECU,dns,,
,SUNNIVA,ØVRE-EIDE,NOR,dns,,
