Rank,Name,,Country,Qualification,Semi-Final,Final
1,CHAEHYUN,SEO,KOR,1.73,top,top
2,NATALIA,GROSSMAN,USA,2.45,top,37 (4:22)
3,LAURA,ROGORA,ITA,2.45,top,37 (5:01)
4,JESSICA,PILZ,AUT,13.44,41+,36+
5,BROOKE,RABOUTOU,USA,5.48,39+,35+
6,NATSUKI,TANII,JPN,26.52,41+,32+
7,DINARA,FAKHRITDINOVA,CFR,7.55,39+,32+
8,SALOMÉ,ROMAIN,FRA,16.88,40,25+
9,ELISKA,ADAMOVSKA,CZE,8.72,39+,
10,MOMOKO,ABE,JPN,9.8,39+,
11,MOLLY,THOMPSON-SMITH,GBR,11.94,39,
12,ALEKSANDRA,TOTKOVA,BUL,14.62,38,
13,RYU,NAKAGAWA,JPN,10.45,37,
14,LUCKA,RAKOVEC,SLO,4.8,35+,
15,VIKTORIIA,MESHKOVA,CFR,16.88,33+,
16,VITA,LUKAN,SLO,6.16,30,
17,IEVGENIIA,KAZBEKOVA,UKR,27.25,30,
18,ELENA,KRASOVSKAIA,CFR,20.15,29,
19,MIA,KRAMPL,SLO,9.5,28+,
20,IGNACIA,MELLADO QUINTEROS,CHI,20.68,28+,
21,TJASA,SLEMENSEK,SLO,23.24,28+,
22,HANNAH,MEUL,GER,27.13,28+,
23,ANDREA,KÜMIN,SUI,23.04,27+,
24,LANA,SKUSEK,SLO,21.47,24,
25,JULIA,FISER,AUT,27.25,22,
26,CAMILLA,MORONI,ITA,19.75,21+,
27,MICHELLE,HULLIGER,SUI,22.25,21+,
28,KYLIE,CULLEN,USA,29.43,,
29,MICHAELA,SMETANOVA,CZE,30.36,,
30,CHLOE,CAULIER,BEL,30.4,,
31,ROXANA,WIENAND,GER,30.72,,
32,NOLWENN,ARC,FRA,30.74,,
33,NIKA,POTAPOVA,UKR,31.3,,
34,OLESYA,PROSEKOVA,CFR,31.61,,
35,ELNAZ,REKABI,IRI,32.17,,
36,LYNN,VAN DER MEER,NED,32.5,,
37,CLOE,COSCOY,USA,34.29,,
38,HSIU-JU,LIN,TPE,34.82,,
39,MARTINA,DEMMEL,GER,35.1,,
39,EVA MARIA,HAMMELMÜLLER,AUT,35.1,,
41,KÄTHE,ATKINS,GER,37.74,,
42,AYALA,KEREM,ISR,41.26,,
43,YAEL,TAUB,ISR,42.9,,
44,MARKETA,JANOSOVA,CZE,43.21,,
44,HANA,KOIKE,JPN,43.21,,
46,VALERI,KREMER,ISR,43.75,,
47,NOA,SHIRAN,ISR,43.94,,
48,VALENTINA,AGUADO,ARG,45.67,,
49,QUINN,MASON,USA,47.23,,
50,MAHYA,DARABIAN,IRI,49.98,,
50,BIANCA,MAGALHAES DE CASTRO,BRA,49.98,,
52,INGRID,KINDLIHAGEN,NOR,51.18,,
53,MAYA,DREAMER,ISR,51.65,,
54,DARIA,MEZENTSEVA,CFR,52.02,,
55,ALEJANDRA,CONTRERAS,CHI,52.58,,
56,PUNTARIKA,TUNYAVANICH,THA,53.04,,
57,MARGARYTA,ZAKHAROVA,UKR,53.58,,
58,MARGARITA,AGAMBAYEVA,KAZ,53.72,,
59,HUNG YING,LEE,TPE,55.44,,
60,ANDREA,ROJAS,ECU,58.19,,
61,TAMARA,ULZHABAYEVA,KAZ,58.66,,
62,RAHIL,RAMEZANI,IRI,58.75,,
63,PATRÍCIA,ANTUNES,BRA,63.5,,
64,YEVHENIIA,CHERNIAVSKA,UKR,64.48,,
65,GÜLAY,BALIK,TUR,64.97,,
66,DURU GÜNEŞ,YALCIN,TUR,65.69,,
67,CARMEN,CONTRERAS,CHI,66.41,,
68,MARYIA,VERNIKOUSKAYA,BLR,66.48,,
69,TETIANA,KOLKOTINA,UKR,67.75,,
70,CAMILA,FLORES,BRA,69.5,,
,TINA JOHNSEN,HAFSAAS,NOR,dns,,
,FUTABA,ITO,JPN,dns,,
,THAIS MAKINO,SHIRAIWA,BRA,dns,,
,SUNNIVA,ØVRE-EIDE,NOR,dns,,
