Rank,Name,,Country,Qualification,Final
1,DANYIL,BOLDYREV,UKR,5.80,5.73
2,ERIK,NOYA CARDONA,ESP,5.817,5.95
3,NOAH,BRATSCHI,USA,5.791,6.31
4,GUILLAUME,MORO,FRA,5.85,8.46
5,TOBIAS,PLANGGER,AUT,5.945,5.98
6,JOHN,BROSLER,USA,5.76,fall
7,RISHAT,KHAIBULLIN,KAZ,5.946,fall
8,VLADISLAV,DEULIN,CFR,5.74,fall
9,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.797,5.75
10,MARCIN,DZIENSKI,POL,5.71,5.83
11,GIAN LUCA,ZODDA,ITA,5.814,5.849
12,AMIR,MAIMURATOV,KAZ,5.84,5.91
13,ARSENII,BOGOMOLOV,CFR,5.77,6.07
14,PIERRE,REBREYEND,FRA,5.90,6.17
15,DMITRII,TIMOFEEV,CFR,5.72,fall
16,ALEKSANDR,SHIKOV,CFR,5.89,fall
17,KOSTIANTYN,PAVLENKO,UKR,5.96,
18,LUDOVICO,FOSSALI,ITA,5.98,
19,CARLOS,GRANJA,ECU,5.99,
20,MILAD,ALIPOUR SHENAZANDIFAR,IRI,6.04,
21,EHSAN,ASRAR,IRI,6.08,
22,AMIR REZA,KARAM ZADEH,IRI,6.14,
23,BEKNUR,ALTYNBEKOV,KAZ,6.196,
24,YONGJUN,JUNG,KOR,6.197,
25,LINUS,BADER,GER,6.26,
26,SEBASTIAN,LUCKE,GER,6.29,
27,JAN,KRIZ,CZE,6.37,
28,MEHDI,ALIPOUR SHENAZANDIFARD,IRI,6.52,
29,PHANUPHONG,BUNPRAKOP,THA,6.65,
30,YAROSLAV,TKACH,UKR,6.67,
31,ALEX,VIVAS,ECU,6.73,
32,JAN,HOJER,GER,6.91,
33,MATVEY,YESSIPOV,KAZ,6.99,
34,NICKOLAIE,RIVADENEIRA,ECU,7.03,
35,JUAN MARTIN,PEÑA,ECU,7.10,
36,ROMAN,KOSTYUKOV,KAZ,7.17,
37,CHIA HSIANG,LIN,TPE,7.18,
38,MERRITT,ERNSBERGER,USA,7.40,
39,AARON,PEÑARANDA,ECU,7.68,
40,PETER,KURIC,SVK,7.84,
41,PHILIPP,MARTIN,GER,8.00,
42,YANNICK,FLOHÉ,GER,8.62,
43,FEDIR,SAMOILOV,UKR,9.19,
44,FERHAT,BEKMEZ,TUR,9.34,
45,JOSHUA,BRUYNS,RSA,9.91,
46,GAURAV,KUMAR,IND,9.97,
47,TİMUR,TAŞ,TUR,10.02,
48,SERGII,TOPISHKO,UKR,10.11,
49,LEV,RUDATSKIY,CFR,11.76,
50,ETHAN,PITCHER,CAN,false start,
,COLIN,DUFFY,USA,dns,
,HRITIK,MARNE,IND,dns,
