Rank,Name,,Country,Qualification,Final
1,NATALIA,KALUCKA,POL,7.42,7.18
2,IULIIA,KAPLINA,CFR,7.23,8.94
3,ALEKSANDRA,MIROSLAW,POL,6.99,7.00
4,EKATERINA,BARASHCHUK,CFR,7.53,8.47
5,ELIZAVETA,IVANOVA,CFR,7.45,7.30
6,CAPUCINE,VIGLIONE,FRA,7.76,7.55
7,EMMA,HUNT,USA,7.40,9.41
8,ANNA,BROZEK,POL,7.62,fall
9,PATRYCJA,CHUDZIAK,POL,7.88,7.72
10,ALEKSANDRA,KALUCKA,POL,8.17,7.87
11,FRANZISKA,RITTER,GER,8.23,8.06
12,BEATRICE,COLLI,ITA,8.12,8.13
13,ANDREA,ROJAS,ECU,8.11,8.16
14,MARIIA,KRASAVINA,CFR,7.91,8.17
15,LAURA,STÖCKLER,AUT,8.32,12.37
16,YELYZAVETA,LAVRYKOVA,UKR,8.22,fall
17,ALEXANDRA,ELMER,AUT,8.33,
18,TAMARA,ULZHABAYEVA,KAZ,8.41,
19,POLINA,KULAGINA,CFR,8.58,
20,TETIANA,KOLKOTINA,UKR,8.59,
21,MARÍA,LABORDA SAGASTE,ESP,8.74,
22,ASSEL,MARLENOVA,KAZ,8.78,
23,MIA,KRAMPL,SLO,9.60,
24,JESSICA,PILZ,AUT,9.81,
25,MAHYA,DARABIAN,IRI,9.86,
26,PRATTHANA,RAKSACHAT,THA,10.19,
27,ELNAZ,REKABI,IRI,10.35,
28,MARGARYTA,ZAKHAROVA,UKR,10.46,
29,GRACE,CROWLEY,AUS,10.76,
30,ROXANA,WIENAND,GER,10.88,
31,TANZILA,OSPAN,KAZ,10.90,
32,ALINA,PONOMARYOVA,KAZ,10.97,
33,HANNAH,MEUL,GER,11.01,
34,THITA,CHINTASAK,THA,11.36,
35,NIKA,POTAPOVA,UKR,11.60,
36,IEVGENIIA,KAZBEKOVA,UKR,13.78,
37,ISABEL,GIFFORD,USA,20.98,
