Rank,Name,,Country,Qualification,Semi-final,Final
1,JESSE,GRUPPER,USA,4.61,35+,top
2,LUKA,POTOCAR,SLO,15.91,38+,31+
3,TOBY,ROBERTS,GBR,20.68,34+,30+
4,STEFAN,SCHERZ,AUT,17.1,33,30+
5,MASAHIRO,HIGUCHI,JPN,9.89,35+,25+
6,SASCHA,LEHMANN,SUI,7.71,34+,25+
7,COLIN,DUFFY,USA,5.7,35+,22
8,YOSHIYUKI,OGATA,JPN,13.2,30+,22
9,JONAS,UTELLI,SUI,24.91,30+,
10,TAISEI,HOMMA,JPN,2.24,25+,
11,AO,YURIKUSA,JPN,3.74,25+,
12,ALBERTO,GINÉS LÓPEZ,ESP,4.8,25+,
13,SATONE,YOSHIDA,JPN,6.89,25+,
14,FILIP,SCHENK,ITA,8.25,25+,
15,NATHANIEL,COLEMAN,USA,9.54,25+,
16,DOMEN,SKOFIC,SLO,9.67,25+,
17,DOHYUN,LEE,KOR,12.23,25+,
18,JULES,MARCHALAND,FRA,14.85,25+,
19,SEBASTIAN,HALENKE,GER,15.98,25+,
20,HIDEMASA,NISHIDA,JPN,20.59,25+,
21,GIOVANNI,PLACCI,ITA,24.15,25,
22,MATHIAS,POSCH,AUT,21.82,23,
23,NICOLAS,COLLIN,BEL,12.07,22+,
24,VICTOR,BAUDRAND,CAN,15.43,22+,
25,JAMES,POPE,GBR,18.56,22+,
26,ARSÈNE,DUVAL,FRA,17.97,19,
27,ALEX,WATERHOUSE,GBR,25.22,,
28,HANNES,VAN DUYSEN,BEL,25.41,,
29,MARCELLO,BOMBARDI,ITA,28.89,,
30,SAMUEL,BUTTERWORTH,GBR,30.4,,
31,YANNICK,NAGEL,GER,30.62,,
32,BENJAMIN,HANNA,USA,32.24,,
33,MAXIMILLIAN,MILNE,GBR,32.4,,
34,CHI-FUNG,AU,HKG,34.58,,
35,DANIEL,SMITH,GBR,35.5,,
36,PHILIPP,MARTIN,GER,37.0,,
37,WILLIAM,RIDAL,GBR,37.35,,
38,GIORGIO,TOMATIS,ITA,37.97,,
39,OSCAR,BAUDRAND,CAN,38.68,,
40,JACK,MACDOUGALL,GBR,39.17,,
41,KIERAN,FORREST,GBR,39.92,,
41,SUNGHOON,PARK,KOR,39.92,,
43,FELIPE,HO FOGANHOLO,BRA,40.62,,
44,NIKOLAY,RUSEV,BUL,41.42,,
45,CHEUNG-CHI SHOJI,CHAN,HKG,41.76,,
46,CHRISTOPH,SCHWEIGER,GER,42.21,,
47,HAMISH,MCARTHUR,GBR,42.72,,
48,DYLAN,SOIN,AUS,44.09,,
49,JAKUB,ZIETEK,POL,44.72,,
50,JOE,GOODACRE,USA,47.73,,
