Rank,Name,,Country,Qualification,Semi-final,Final
1,AI,MORI,JPN,4.47,top,top
2,JANJA,GARNBRET,SLO,4.47,58,top
3,CHAEHYUN,SEO,KOR,4.47,top,42+
4,NATSUKI,TANII,JPN,4.47,54+,38+
5,NATALIA,GROSSMAN,USA,4.47,49+,38+
6,JESSICA,PILZ,AUT,8.8,49+,28+
7,RYU,NAKAGAWA,JPN,12.49,47+,28+
8,ELISKA,ADAMOVSKA,CZE,6.71,43+,19+
9,CLAUDIA,GHISOLFI,ITA,22.08,42+,
10,RISA,OTA,JPN,22.8,42,
11,SARA,COPAR,SLO,21.2,40,
12,LUCKA,RAKOVEC,SLO,6.93,37+,
13,LAURA,ROGORA,ITA,4.47,34+,
14,VITA,LUKAN,SLO,12.75,34+,
15,FUTABA,ITO,JPN,14.07,34+,
16,FANNY,GIBERT,FRA,17.15,33+,
17,MOLLY,THOMPSON-SMITH,GBR,14.49,31+,
18,LYNN,VAN DER MEER,NED,11.62,28+,
19,KÄTHE,ATKINS,GER,20.74,28,
20,NOA,SHIRAN,ISR,19.6,27+,
21,MANON,HILY,FRA,10.39,27,
22,ALEKSANDRA,TOTKOVA,BUL,18.17,26+,
23,MARTINA,DEMMEL,GER,21.0,26+,
24,MATTEA,PÖTZI,AUT,23.99,26+,
25,JULIA,DUFFY,USA,24.97,26+,
26,LIV,EGLI,SUI,18.73,26,
27,ZOÉ,EGLI,SUI,25.24,,
28,ORIANE,BERTONE,FRA,25.42,,
29,EVA MARIA,HAMMELMÜLLER,AUT,28.22,,
30,ERIN,MCNEICE,GBR,29.0,,
31,VALERI,KREMER,ISR,30.7,,
32,QUINN,MASON,USA,32.33,,
33,HANNAH,SLANEY,GBR,33.39,,
34,YEJOO,SEO,KOR,34.91,,
34,HOLLY,TOOTHILL,GBR,34.91,,
36,MICHAELA,SMETANOVA,CZE,35.11,,
37,JOANNA,NEAME,GBR,35.24,,
38,MIU,KAKIZAKI,JPN,35.83,,
39,ALANNAH,YIP,CAN,36.21,,
40,EMMA,BERNHARD,GER,36.33,,
41,LOUISE,FLOCKHART,GBR,41.35,,
42,REBECCA,FRANGOS,CAN,41.58,,
42,JENNIFER,WOOD,GBR,41.58,,
44,EMILY,HERDIC,USA,42.0,,
45,BIANCA,MAGALHAES DE CASTRO,BRA,43.45,,
46,HANNAH,KERR,GBR,43.97,,
47,MARGARITA,AGAMBAYEVA,KAZ,43.99,,
48,EMMA,FUTCHER,GBR,45.5,,
49,THEA,CAMERON,GBR,45.63,,
