Rank,Name,,Country,Qualification,Semi-final,Final
1,JANJA,GARNBRET,SLO,1.94,41+,top
2,CHAEHYUN,SEO,KOR,1.94,top,40
3,MIA,KRAMPL,SLO,6.36,31+,35+
4,HANNAH,MEUL,GER,3.35,top,34+
5,LAURA,ROGORA,ITA,5.98,40,34+
6,VITA,LUKAN,SLO,2.74,34,34+
7,RYU,NAKAGAWA,JPN,8.25,34+,29+
8,NATSUKI,TANII,JPN,5.98,35+,19+
9,HANA,KOIKE,JPN,8.57,31+,
10,RISA,OTA,JPN,9.67,30+,
11,KYRA,CONDIE,USA,13.42,30+,
12,MEI,KOTAKE,JPN,13.96,30+,
13,ALANNAH,YIP,CAN,15.25,26+,
14,KÄTHE,ATKINS,GER,15.72,25+,
15,NOA,SHIRAN,ISR,18.04,25+,
16,ELISKA,ADAMOVSKA,CZE,14.28,25,
17,MICHAELA,SMETANOVA,CZE,12.55,24+,
18,MARTINA,DEMMEL,GER,18.57,24+,
19,HUNG YING,LEE,TPE,23.49,24,
20,YEJOO,SEO,KOR,20.71,23+,
21,FUJIYANTI,WIDIA,INA,21.21,23+,
22,MIU,KAKIZAKI,JPN,17.1,23,
23,LIV,EGLI,SUI,18.33,22,
24,HSIU-JU,LIN,TPE,19.75,21+,
25,CHLOE,EARLE,CAN,27.5,18,
26,SUKMA,LINTANG CAHYANI,INA,24.45,15,
27,ROXY,PERRY,AUS,28.2,,
28,RAGIL RAKASIWII,KHARISMA,INA,28.5,,
29,NUR,KHALISHAH,INA,29.12,,
30,CHOIRUL,UMI CAHYANING AYUB,INA,30.2,,
31,TAN,SHI HUI,SGP,31.24,,
32,NUR,ISMATUL SAKDIA,INA,32.0,,
33,FADYA DEVI,MONICA,INA,32.2,,
34,MADISON,FISCHER,CAN,33.63,,
35,PRATEEKSHA,ARUN,IND,34.75,,
36,TRIARA,PUTRI RAUDHAH,INA,34.94,,
37,SANIYA FAROOQUE,SHAIKH,IND,36.5,,
38,NURUL,AISYAH RAMADHANI SUAT,INA,36.68,,
39,NUR DIATUL,JANNAH,INA,37.0,,
