Rank,Name,,Country,Qualification,Final
1,LIJUAN,DENG,CHN,6.84,6.66
2,NATALIA,KALUCKA,POL,7.12,7.20
3,ALEKSANDRA,KALUCKA,POL,6.91,6.81
4,DI,NIU,CHN,7.31,fall
5,EMMA,HUNT,USA,7.18,8.07
6,NURUL,IQAMAH,INA,7.21,7.09
7,NARDA MUTIA,AMANDA,INA,7.29,7.33
8,YUFANG,XIE,CHN,7.82,7.57
9,DESAK,MADE RITA KUSUMA DEWI,INA,6.75,8.22
10,AURELIA,SARISSON,FRA,7.36,7.37
11,SHENGYAN,WANG,CHN,7.40,fall
12,RAHMAYUNA,FADILLAH,INA,7.422,false start
13,JIMIN,JEONG,KOR,7.427,7.47
14,ALIVANY,VER KHADIJAH,INA,7.63,7.82
15,CAPUCINE,VIGLIONE,FRA,7.72,7.48
16,GUIZHEN,XIE,CHN,7.73,7.78
17,EKA,DIAN KRISMAWATI,INA,7.85,
18,PATRYCJA,CHUDZIAK,POL,7.90,
19,RAJIAH,SALLSABILLAH,INA,7.99,
20,YOUJIN,CHA,KOR,8.09,
21,ERICA,VELEV,CAN,8.22,
22,JULIA,KOCH,GER,8.23,
23,LIBERTY,RUNNELS,USA,8.26,
24,NURIA,BROCKFELD,GER,8.35,
25,SUSAN,NURHIDAYAH,INA,8.62,
26,KARIN,HAYASHI,JPN,8.70,
27,HARUKA,KANETANI,JPN,9.07,
28,PUJA,LESTARI,INA,9.08,
29,HUNG YING,LEE,TPE,9.09,
30,NOOR,ARSYADA,INA,9.28,
31,GRACE,CROWLEY,AUS,9.42,
32,NATSUMI,HAYASHI,JPN,9.50,
33,MOMONA,TATSUKI,JPN,10.17,
34,SARAH,TETZLAFF,NZL,10.23,
35,ABBY,GEBERT,NZL,11.11,
36,JORJA,RANGI,NZL,11.15,
37,ANNA,BROZEK,POL,false start,
