Rank,Name,,Country,Qualification,Semi-final,Final
1,AI,MORI,JPN,1.41,45+,30+
2,JANJA,GARNBRET,SLO,1.87,top,27+
3,BROOKE,RABOUTOU,USA,10.91,32+,23+
4,CHAEHYUN,SEO,KOR,2.45,34+,22
5,JESSICA,PILZ,AUT,6.32,32+,21+
6,MIA,KRAMPL,SLO,5.45,31+,21+
7,NATALIA,GROSSMAN,USA,9.89,31+,21+
8,HÉLÈNE,JANICOT,FRA,12.49,29,16+
9,MOLLY,THOMPSON-SMITH,GBR,10.68,28+,
10,VITA,LUKAN,SLO,16.52,28+,
11,STASA,GEJO,SRB,23.12,27+,
12,HANNAH,MEUL,GER,19.25,27,
13,NATSUKI,TANII,JPN,13.86,26,
14,FUTABA,ITO,JPN,24.82,25,
15,RYU,NAKAGAWA,JPN,17.97,24+,
16,LUCKA,RAKOVEC,SLO,8.25,24,
17,LAURA,ROGORA,ITA,13.86,20,
18,KATJA,DEBEVEC,SLO,20.95,20,
19,MATTEA,PÖTZI,AUT,21.92,19+,
20,LANA,SKUSEK,SLO,24.25,19+,
21,ALANNAH,YIP,CAN,18.91,19,
22,MANON,HILY,FRA,4.47,17+,
23,ELISKA,ADAMOVSKA,CZE,14.46,17+,
24,REBEKA,KAMIN,SLO,17.94,17,
25,LYNN,VAN DER MEER,NED,16.43,16+,
26,CAMILLE,POUGET,FRA,20.95,dns,
27,CLAUDIA,GHISOLFI,ITA,25.22,,
28,KYRA,CONDIE,USA,25.72,,
29,RISA,OTA,JPN,26.53,,
30,CAMILLA,MORONI,ITA,27.22,,
31,MIU,KAKIZAKI,JPN,29.6,,
32,ROXANA,WIENAND,GER,32.5,,
33,SANDRA,LETTNER,AUT,32.53,,
34,VALERI,KREMER,ISR,35.14,,
35,CHLOE,CAULIER,BEL,35.72,,
35,TJASA,SLEMENSEK,SLO,35.72,,
37,MICHELLE,HULLIGER,SUI,36.12,,
37,NOA,SHIRAN,ISR,36.12,,
39,OLIVIA,MA,USA,37.15,,
40,ANNE-SOPHIE,KOLLER,SUI,37.55,,
41,KÄTHE,ATKINS,GER,38.74,,
42,QUINN,MASON,USA,39.85,,
43,MARTINA,DEMMEL,GER,41.74,,
44,ILARIA,SCOLARIS,ITA,41.95,,
45,JENNIFER,WOOD,GBR,42.36,,
46,JULIA,FISER,AUT,42.93,,
47,THEA,CAMERON,GBR,43.49,,
48,TEREZA,SIRUCKOVA,CZE,44.27,,
49,JOANNA,NEAME,GBR,46.9,,
50,MILICA,MARJANOVIC,SRB,47.37,,
51,BIANCA,MAGALHAES DE CASTRO,BRA,48.25,,
,REBECCA,FRANGOS,CAN,dns,,
