Rank,Name,,Country,Qualification,Semi-final,Final
1,TOMOA,NARASAKI,JPN,139.0,141.9,156.4
2,YOSHIYUKI,OGATA,JPN,120.7,132.4,138.4
3,KOKORO,FUJII,JPN,103.7,115.5,132.6
4,PAUL,JENFT,FRA,123.6,112.0,129.7
5,YANNICK,FLOHÉ,GER,115.3,115.9,128.5
6,TAISEI,HOMMA,JPN,124.4,128.6,117.5
7,REI,KAWAMATA,JPN,114.1,113.1,109.5
8,SEAN,BAILEY,USA,163.2,117.8,76.6
9,MASAHIRO,HIGUCHI,JPN,105.1,103.8,
10,COLIN,DUFFY,USA,114.4,102.1,
11,MEJDI,SCHALCK,FRA,125.1,100.1,
12,AO,YURIKUSA,JPN,118.0,98.7,
13,TOBY,ROBERTS,GBR,99.9,92.2,
14,SASCHA,LEHMANN,SUI,150.6,90.4,
15,SATONE,YOSHIDA,JPN,112.5,80.3,
16,JESSE,GRUPPER,USA,128.9,78.7,
17,NICOLAS,COLLIN,BEL,115.3,75.4,
18,HANNES,PUMAN,SWE,91.0,71.5,
19,HANNES,VAN DUYSEN,BEL,88.8,62.4,
20,SHINYEONG,YUN,KOR,97.6,38.5,
21,SAM,AVEZOU,FRA,88.6,,
22,ANZE,PEHARC,SLO,88.5,,
23,YANNICK,NAGEL,GER,83.8,,
24,CHRISTOPH,SCHWEIGER,GER,77.7,,
25,LUKE,GOH WEN BIN,SGP,69.4,,
26,OSCAR,BAUDRAND,CAN,63.7,,
27,RAVIANDI,RAMADHAN,INA,63.5,,
28,THILO JELDRIK,SCHRÖTER,NOR,53.2,,
29,CHEUK-HEI,HO,HKG,51.5,,
30,CHEUNG-CHI SHOJI,CHAN,HKG,50.1,,
31,DOHYEON,KIM,KOR,49.6,,
32,PHILIPP,MARTIN,GER,49.1,,
33,FELIPE,HO FOGANHOLO,BRA,48.5,,
34,YONGCHEN,CHEN,CHN,46.6,,
35,RAVIANTO,RAMADHAN,INA,43.4,,
36,CHIA HSIANG,LIN,TPE,35.1,,
37,KA-CHUN,YAU,HKG,30.7,,
,CHI-FUNG,AU,HKG,dns,,
,AMIR,NOURI,IRI,dns,,
