Rank,Name,,Country,Qualification,Semi-final,Final
1,AI,MORI,JPN,183.2,169.3,190.9
2,NATALIA,GROSSMAN,USA,160.8,148.7,171.2
3,CHAEHYUN,SEO,KOR,150.8,118.8,131.8
4,BROOKE,RABOUTOU,USA,148.6,138.5,126.0
5,MIHO,NONAKA,JPN,122.9,138.7,104.0
6,NATSUKI,TANII,JPN,104.0,123.1,97.3
7,FUTABA,ITO,JPN,129.0,108.7,74.9
8,MIA,KRAMPL,SLO,101.6,100.4,63.8
9,ZHILU,LUO,CHN,82.9,82.3,
10,RYU,NAKAGAWA,JPN,89.2,78.9,
11,NANAKO,KURA,JPN,108.3,77.8,
12,MANON,HILY,FRA,79.8,76.8,
13,CHLOE,CAULIER,BEL,97.0,73.3,
14,ORIANE,BERTONE,FRA,159.4,67.9,
15,CLOE,COSCOY,USA,126.3,59.3,
16,ANDREA,KÜMIN,SUI,84.2,57.5,
17,RISA,OTA,JPN,84.9,55.6,
18,LUCIA,DÖRFFEL,GER,127.4,52.7,
19,MIA,AOYAGI,JPN,118.7,52.6,
20,KYLIE,CULLEN,USA,74.6,41.0,
21,YUETONG,ZHANG,CHN,61.9,,
22,VITA,LUKAN,SLO,57.5,,
23,NOA,SHIRAN,ISR,54.5,,
24,ALANNAH,YIP,CAN,49.3,,
25,HSIU-JU,LIN,TPE,35.8,,
26,HUNG YING,LEE,TPE,33.5,,
27,MARIANA,HANGGI CORREIA,BRA,14.3,,
28,SELENGE,NYAMDOO,MGL,0.0,,
