Rank,Name,,Country,Qualification,Semi-final,Final,event_name,date,gender
1,JAKOB,SCHUBERT,AUT,1300.0,144.8,183.6,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
2,COLIN,DUFFY,USA,280.5,157.0,160.7,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
3,TOMOA,NARASAKI,JPN,550.0,148.7,156.7,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
4,SORATO,ANRAKU,JPN,1415.0,184.9,149.1,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
5,TOBY,ROBERTS,GBR,550.0,164.7,143.4,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
6,ADAM,ONDRA,CZE,830.0,144.1,141.2,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
7,DOHYUN,LEE,KOR,1300.0,129.7,127.1,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
8,PAUL,JENFT,FRA,820.0,126.3,102.8,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
9,MEJDI,SCHALCK,FRA,1130.0,125.9,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
10,AO,YURIKUSA,JPN,553.0,121.6,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
11,SEAN,BAILEY,USA,485.0,111.5,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
12,YANNICK,FLOHÉ,GER,565.0,109.9,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
13,ALEXANDER,MEGOS,GER,895.0,106.9,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
14,MICKAEL,MAWEM,FRA,1007.0,105.6,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
15,SASCHA,LEHMANN,SUI,359.5,101.2,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
16,MEICHI,NARASAKI,JPN,299.5,97.8,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
17,YOSHIYUKI,OGATA,JPN,528.0,92.8,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
18,NICOLAI,UZNIK,AUT,565.0,91.6,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
19,YUNCHAN,SONG,KOR,353.33,91.2,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
20,SAM,AVEZOU,FRA,620.0,82.7,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
21,MANUEL,CORNU,FRA,240.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
22,JACK,MACDOUGALL,GBR,224.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
23,SEAN,MCCOLL,CAN,218.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
24,STEFANO,GHISOLFI,ITA,216.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
25,NICOLAS,COLLIN,BEL,200.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
26,YUFEI,PAN,CHN,175.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
27,JESSE,GRUPPER,USA,169.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
28,MARTIN,STRANIK,CZE,162.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
29,ALBERTO,GINÉS LÓPEZ,ESP,148.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
30,ZAN,LOVENJAK SUDAR,SLO,144.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
31,SIMON,LORENZI,BEL,142.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
32,HANNES,VAN DUYSEN,BEL,141.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
33,MARCELLO,BOMBARDI,ITA,130.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
34,JONGWON,CHON,KOR,127.83,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
35,HAMISH,MCARTHUR,GBR,94.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
36,FILIP,SCHENK,ITA,92.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
37,HANNES,PUMAN,SWE,79.33,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
38,ANZE,PEHARC,SLO,66.57,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
39,LUKA,POTOCAR,SLO,50.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
40,ZACH,GALLA,USA,47.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
41,JAMES,POPE,GBR,46.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
42,CHINGKHEINGANBA,MAIBAM,IND,41.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
43,YUVAL,SHEMLA,ISR,39.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
44,NIMROD,MARCUS,ISR,37.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
45,PETER,KURIC,SVK,37.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
46,OSCAR,BAUDRAND,CAN,26.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
47,GABRIELE,MORONI,ITA,25.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
48,DILLON,COUNTRYMAN,USA,25.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
49,MAXIMILLIAN,MILNE,GBR,21.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
50,STEFAN,SCHERZ,AUT,19.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
51,ALEX,KHAZANOV,ISR,19.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
52,GEVA,LEVIN,ISR,16.66,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
53,CAMPBELL,HARRISON,AUS,16.33,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
54,NATHAN,MARTIN,LUX,14.07,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
55,MIKEL ASIER,LINACISORO MOLINA,ESP,11.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
56,SLAV,KIROV,BUL,10.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
57,GUY,MCNAMEE,CAN,9.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
