Rank,Name,,Country,Qualification,Semi-final,Final
1,JANJA,GARNBRET,SLO,5t5z 9 5,4t4z 4 4,4t4z 4 4
2,ORIANE,BERTONE,FRA,3t5z 6 7,3t4z 4 5,3t4z 7 4
3,BROOKE,RABOUTOU,USA,3t5z 7 13,4t4z 9 6,2t4z 2 11
4,ZÉLIA,AVEZOU,FRA,4t5z 9 13,3t4z 9 8,2t4z 8 10
5,NATALIA,GROSSMAN,USA,3t5z 10 7,3t4z 4 6,1t4z 1 9
6,AI,MORI,JPN,3t4z 4 6,3t4z 6 8,1t2z 1 6
7,OCEANIA,MACKENZIE,AUS,2t5z 4 12,3t4z 12 14,
8,JESSICA,PILZ,AUT,2t4z 3 11,3t4z 19 14,
9,FLAVY,COHAUT,FRA,2t5z 3 9,3t3z 9 4,
10,AYALA,KEREM,ISR,3t4z 5 9,3t3z 15 13,
11,JULIJA,KRUDER,SLO,2t4z 4 6,2t4z 2 12,
12,MARTINA,BURŠÍKOVÁ,SVK,2t4z 4 7,2t3z 8 4,
13,PETRA,KLINGLER,SUI,2t5z 5 8,2t3z 9 4,
14,ANASTASIA,SANDERS,USA,3t5z 4 19,2t3z 12 15,
15,KYRA,CONDIE,USA,2t5z 7 16,2t3z 13 6,
16,FRANZISKA,STERRER,AUT,2t4z 4 7,2t2z 4 2,
17,ELNAZ,REKABI,IRI,3t4z 6 4,1t4z 1 21,
18,MOLLY,THOMPSON-SMITH,GBR,2t4z 3 6,1t3z 1 12,
19,AFRA,HÖNIG,GER,2t4z 4 7,1t3z 3 16,
20,IEVGENIIA,KAZBEKOVA,UKR,2t5z 3 10,1t3z 10 12,
21,LUCIA,DÖRFFEL,GER,2t4z 5 10,,
21,MANON,HILY,FRA,2t3z 4 5,,
21,LAURA,ROGORA,ITA,2t3z 4 5,,
24,MIHO,NONAKA,JPN,2t4z 7 7,,
25,ANASTASIA,KOBETS,UKR,2t2z 3 2,,
25,ALANNAH,YIP,CAN,2t4z 10 8,,
27,STASA,GEJO,SRB,1t5z 2 11,,
27,ERIN,MCNEICE,GBR,2t4z 11 15,,
29,CLOE,COSCOY,USA,2t3z 4 6,,
29,RYU,NAKAGAWA,JPN,1t4z 1 7,,
31,MADISON,FISCHER,CAN,2t3z 6 6,,
31,MIA,KRAMPL,SLO,1t4z 2 7,,
33,VALENTINA,AGUADO,ARG,1t4z 2 8,,
33,HOLLY,TOOTHILL,GBR,2t3z 6 7,,
35,SANDRA,HOPFENSITZ,GER,1t4z 2 9,,
35,HANNAH,MEUL,GER,2t3z 7 7,,
35,GIORGIA,TESIO,ITA,1t4z 2 9,,
38,SUNNIVA EIK,HAAVE,NOR,2t3z 7 10,,
39,JOHANNA,FÄRBER,AUT,1t4z 2 12,,
39,NOA,SHIRAN,ISR,2t3z 8 7,,
41,IZIAR,MARTÍNEZ ALMENDROS,ESP,1t4z 3 6,,
41,CAMILLA,MORONI,ITA,1t5z 1 19,,
43,KATJA,DEBEVEC,SLO,1t5z 2 7,,
43,SOFYA,YOKOYAMA,SUI,1t4z 3 8,,
45,JAIN,KIM,KOR,1t4z 3 11,,
45,CHAEHYUN,SEO,KOR,1t4z 1 8,,
47,ELISKA,ADAMOVSKA,CZE,1t3z 1 6,,
47,MAYA,DREAMER,ISR,1t4z 4 10,,
49,HÉLÈNE,JANICOT,FRA,1t3z 1 3,,
49,ANDREA,KÜMIN,SUI,1t3z 1 8,,
49,VITA,LUKAN,SLO,1t3z 1 8,,
49,ZHILU,LUO,CHN,1t3z 1 8,,
49,YEJOO,SEO,KOR,1t3z 1 8,,
54,NONOHA,KUME,JPN,1t3z 1 4,,
54,BABETTE,ROY,CAN,1t3z 1 4,,
54,MICHAELA,SMETANOVA,CZE,1t3z 1 4,,
57,MIRIAM,FOGU,ITA,1t3z 1 12,,
57,AIDA,TORRES ILLAMOLA,ESP,1t3z 1 5,,
59,ANNE,ACKRE,NOR,1t3z 1 14,,
59,ANON,MATSUFUJI,JPN,1t3z 1 7,,
61,NATALIE,BÄRTSCHI,SUI,1t3z 2 4,,
61,LISA,KLEM,NED,1t3z 2 6,,
63,KYLIE,CULLEN,USA,1t3z 2 5,,
63,LYNN,VAN DER MEER,NED,1t2z 1 3,,
65,REGINE,STORÅ,NOR,1t2z 1 5,,
65,ALEKSANDRA,TOTKOVA,BUL,1t3z 4 10,,
