Rank,Name,,Country,Qualification,Semi-final,Final
1,JAKOB,SCHUBERT,AUT,1300.0,144.8,183.6
2,COLIN,DUFFY,USA,280.5,157.0,160.7
3,TOMOA,NARASAKI,JPN,550.0,148.7,156.7
4,SORATO,ANRAKU,JPN,1415.0,184.9,149.1
5,TOBY,ROBERTS,GBR,550.0,164.7,143.4
6,ADAM,ONDRA,CZE,830.0,144.1,141.2
7,DOHYUN,LEE,KOR,1300.0,129.7,127.1
8,PAUL,JENFT,FRA,820.0,126.3,102.8
9,MEJDI,SCHALCK,FRA,1130.0,125.9,
10,AO,YURIKUSA,JPN,553.0,121.6,
11,SEAN,BAILEY,USA,485.0,111.5,
12,YANNICK,FLOHÉ,GER,565.0,109.9,
13,ALEXANDER,MEGOS,GER,895.0,106.9,
14,MICKAEL,MAWEM,FRA,1007.0,105.6,
15,SASCHA,LEHMANN,SUI,359.5,101.2,
16,MEICHI,NARASAKI,JPN,299.5,97.8,
17,YOSHIYUKI,OGATA,JPN,528.0,92.8,
18,NICOLAI,UZNIK,AUT,565.0,91.6,
19,YUNCHAN,SONG,KOR,353.33,91.2,
20,SAM,AVEZOU,FRA,620.0,82.7,
21,MANUEL,CORNU,FRA,240.0,,
22,JACK,MACDOUGALL,GBR,224.0,,
23,SEAN,MCCOLL,CAN,218.5,,
24,STEFANO,GHISOLFI,ITA,216.5,,
25,NICOLAS,COLLIN,BEL,200.5,,
26,YUFEI,PAN,CHN,175.0,,
27,JESSE,GRUPPER,USA,169.5,,
28,MARTIN,STRANIK,CZE,162.5,,
29,ALBERTO,GINÉS LÓPEZ,ESP,148.0,,
30,ZAN,LOVENJAK SUDAR,SLO,144.5,,
31,SIMON,LORENZI,BEL,142.5,,
32,HANNES,VAN DUYSEN,BEL,141.5,,
33,MARCELLO,BOMBARDI,ITA,130.5,,
34,JONGWON,CHON,KOR,127.83,,
35,HAMISH,MCARTHUR,GBR,94.0,,
36,FILIP,SCHENK,ITA,92.0,,
37,HANNES,PUMAN,SWE,79.33,,
38,ANZE,PEHARC,SLO,66.57,,
39,LUKA,POTOCAR,SLO,50.0,,
40,ZACH,GALLA,USA,47.5,,
41,JAMES,POPE,GBR,46.0,,
42,CHINGKHEINGANBA,MAIBAM,IND,41.5,,
43,YUVAL,SHEMLA,ISR,39.0,,
44,NIMROD,MARCUS,ISR,37.5,,
45,PETER,KURIC,SVK,37.0,,
46,OSCAR,BAUDRAND,CAN,26.5,,
47,GABRIELE,MORONI,ITA,25.5,,
48,DILLON,COUNTRYMAN,USA,25.0,,
49,MAXIMILLIAN,MILNE,GBR,21.5,,
50,STEFAN,SCHERZ,AUT,19.5,,
51,ALEX,KHAZANOV,ISR,19.0,,
52,GEVA,LEVIN,ISR,16.66,,
53,CAMPBELL,HARRISON,AUS,16.33,,
54,NATHAN,MARTIN,LUX,14.07,,
55,MIKEL ASIER,LINACISORO MOLINA,ESP,11.0,,
56,SLAV,KIROV,BUL,10.0,,
57,GUY,MCNAMEE,CAN,9.5,,
58,EDVARDS,GRUZITIS,LAT,9.0,,
59,NIMRÓD SEBESTYÉN,TUSNÁDY,HUN,8.5,,
60,GIORGIO,TOMATIS,ITA,7.5,,
60,PUTRA,TRI RAMADANI,INA,7.5,,
62,GERGŐ,VÁLYI,HUN,6.57,,
63,MUSAUWIR,MUSAUWIR,INA,5.5,,
64,HECTOR,LOPEZ VALDEZ,MEX,5.0,,
64,FREDRIK,SERLACHIUS,SWE,5.0,,
66,FELIPE,HO FOGANHOLO,BRA,4.5,,
67,KINDAR,MCNAMEE,CAN,4.33,,
68,RAM,LEVIN,ISR,4.0,,
69,MEL,JANSE VAN RENSBURG,RSA,4.0,,
70,REZA,KOLASANGIAN,IRI,3.57,,
71,DYLAN,PARKS,AUS,3.33,,
72,MAXIM,PARE,AUS,3.0,,
73,VICTOR,BAUDRAND,CAN,3.0,,
74,ARDCH,INTRACHUPONGSE,THA,2.66,,
74,JOAQUIN,URRUTIA,CHI,2.66,,
76,LUKE,GOH WEN BIN,SGP,2.57,,
76,NIKOLAY,RUSEV,BUL,2.57,,
